AAPL,ABT,ACN,AEP,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BHI,BK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DELL,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FCX,FDX,GD,GE,GILD,GOOG,GS,HAL,HD,HNZ,HON,HPQ,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,NWSA,ORCL,OXY,PEP,PFE,PG,PM,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WAG,WFC,WMB,WMT,XOM?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	
?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	?,	
62.55,	36.24,	80.06,	43.83,	46.33,	96.79,	266.88,	83.52,	87.47,	75.41,	98.21,	13.46,	67.5,	45.15,	29.51,	45.89,	114.07,	51.91,	83.37,	57.04,	39.43,	60.64,	59.15,	109.35,	23.47,	57.55,	118.94,	54.16,	13.29,	63.02,	32.77,	56.33,	53.41,	24.15,	55.88,	30.06,	15.35,	28.72,	96.94,	75.22,	22.51,	53.12,	558.46,	160.9,	41.86,	76.61,	72.46,	76.94,	24.13,	203.28,	24.16,	81.77,	52.65,	39.06,	50.84,	101.02,	41.51,	57.23,	93.98,	29,	50.78,	43.05,	107.45,	33.83,	100.16,	46.1,	25.36,	34.36,	62.05,	62.21,	74.78,	15.8,	33.83,	90.33,	78.01,	26.61,	74.71,	86.54,	61.64,	63.64,	62.4,	71.85,	41.55,	150.86,	32.86,	68.49,	54.93,	34.81,	61.28,	76.07,	83.38,	34.05,	92.75,	178.49,	46.1,	47.23,	39.34,	32.92,	73.38,	88.36,	
62.36,	35.89,	79.23,	43.74,	45.56,	94.99,	265.7,	83.3,	86.45,	75.01,	97.11,	13.27,	66.87,	44.83,	29.21,	45.15,	113.42,	51.18,	83.16,	57.3,	39.88,	60,	58.76,	109.13,	23.45,	56.42,	117.86,	53.84,	13.26,	63.57,	33.04,	56.04,	52.59,	23.84,	55.3,	30.04,	15.25,	28.15,	97.61,	74.87,	22.53,	52.32,	559.99,	159.05,	41.46,	74.61,	72.46,	75.85,	23.86,	200.59,	24.27,	81.18,	52.21,	39.65,	50.23,	100.67,	40.17,	56.47,	94.38,	28.84,	50.16,	42.62,	106.87,	33.6,	100.19,	47.04,	25.18,	33.78,	61.8,	61.47,	74.71,	15.3,	33.6,	90.32,	78.23,	26.53,	74.43,	86.08,	62.11,	63.75,	62.27,	71.46,	41.41,	149.93,	33.42,	68.94,	54.68,	35.4,	60.85,	75.99,	83.1,	34.04,	91.82,	178.5,	46.27,	46.77,	39.06,	32.46,	73.62,	87.72,	
61.78,	35.4,	77.61,	43.32,	44.76,	92.37,	267.17,	83.69,	85.21,	73.73,	96.02,	13.02,	66.42,	44.79,	28.34,	44.52,	111.51,	49.98,	81.71,	56.36,	39.17,	58.95,	58.71,	107.66,	23.41,	56.16,	116.52,	52.7,	13.27,	62.35,	32.13,	55.44,	51.36,	23.72,	54.14,	29.87,	14.73,	27.67,	96.33,	74.36,	22.2,	50.12,	556.97,	155.72,	41.23,	73.12,	72.45,	74.84,	23.44,	197.24,	23.64,	80.78,	51.24,	38.91,	49.57,	99.25,	38.81,	55.61,	92.51,	28.74,	49.71,	41.68,	105.48,	33.14,	97.05,	46.37,	24.74,	33.57,	60.79,	60.67,	73.39,	15.62,	33.56,	89.48,	78.37,	26.36,	73.75,	84.75,	61.56,	62.93,	61.3,	70.8,	41.17,	148.36,	33.04,	67.64,	53.33,	34.66,	60.26,	74.02,	82.13,	33.8,	90.59,	175.55,	45.76,	47.36,	38.46,	32.49,	72.95,	86.62,	
60.85,	35.73,	77.58,	43.38,	45.37,	95.19,	267.83,	84.74,	85.84,	75.18,	97.25,	13.13,	67.09,	45.03,	28.83,	45.32,	113.1,	50.78,	81.3,	56.49,	39.22,	59.52,	58.98,	109.55,	23.63,	56.81,	115.58,	52.87,	13.33,	62.37,	32.34,	54.65,	51.52,	24.17,	54.49,	29.96,	14.92,	28.32,	96.09,	75.49,	22.26,	51.35,	567.16,	157.08,	41.82,	75.22,	72.46,	75.78,	23.5,	198.27,	23.6,	81.53,	51.69,	39.04,	49.83,	100,	39.88,	56.15,	92.76,	28.56,	50.21,	42.39,	105.56,	33.23,	96.86,	46.24,	25.12,	33.75,	61.19,	61.57,	74.53,	15.53,	32.8,	89.3,	78.81,	26.96,	73.9,	86.18,	61.39,	63.39,	61.97,	71.9,	41.87,	150.75,	33.55,	67.73,	53.88,	34.46,	60.42,	75.39,	81.94,	34.15,	90.33,	177.66,	47.35,	46.98,	39.33,	33.17,	73.32,	87.18,	
61.32,	36.58,	78.89,	43.84,	46.32,	96.48,	276.87,	83.68,	86.91,	76.96,	99.92,	13.3,	67.52,	45.89,	29.16,	45.8,	115.31,	51.55,	81.93,	57.53,	40.14,	61.05,	59.37,	109.05,	23.58,	57.4,	116.65,	53.5,	13.33,	64.06,	32.78,	55.64,	51.45,	24.15,	55.76,	29.83,	15.2,	28.22,	99,	76.72,	22.72,	52.89,	567,	163.31,	42.62,	76.66,	72.49,	77.16,	24.04,	200.75,	23.54,	81.96,	52.44,	39.64,	50.22,	102.86,	40.76,	56.27,	94.29,	29.12,	50.8,	43.69,	107.93,	33.54,	99.74,	45.85,	26.69,	34.43,	61.77,	61.73,	75.11,	15.72,	33.26,	89.85,	79.63,	27.1,	74.8,	86.27,	60.54,	64.77,	63.95,	72.52,	41.88,	151.38,	33.22,	67.83,	55.08,	34.96,	61.06,	77.16,	83.49,	34.63,	92.04,	178.25,	47.6,	48.12,	39.84,	33.53,	74,	88.35,	
60.91,	36.56,	79.53,	43.61,	46.16,	95.99,	281.07,	84.55,	87.1,	77.2,	99.67,	13.22,	67.79,	45.63,	29.46,	45.62,	115.15,	51.88,	81.11,	57.25,	39.64,	61.25,	59.26,	108.79,	23.45,	57.5,	117.6,	53.57,	13.26,	63.05,	32.76,	55.03,	53.25,	24.29,	55.63,	29.85,	15.18,	28.18,	97.89,	76.2,	22.64,	52.44,	569.74,	164.76,	42.28,	75.68,	?,	76.77,	23.87,	199.46,	23.94,	82.19,	52.52,	39.42,	50.36,	102.2,	40.35,	56.23,	95.49,	28.85,	50.75,	44.21,	107.64,	33.62,	104.25,	46.11,	26.84,	34.24,	62.06,	61.73,	75.66,	15.4,	33.49,	89.05,	79.96,	27.21,	75.11,	85.84,	60.47,	64.33,	65,	71.9,	41.84,	149.58,	33.72,	67.36,	54.08,	35.38,	62.14,	76.65,	83.47,	34.36,	91.69,	180.61,	47.88,	48.35,	39.86,	33.05,	73.44,	88.04,	
60.73,	35.92,	78.42,	43.09,	46.11,	95.62,	274.78,	83.35,	85.24,	75.46,	99.19,	13.05,	67.33,	44.88,	28.81,	45.6,	113.51,	49.9,	80.84,	57.06,	39.14,	60.2,	58.98,	108.5,	23.17,	57.57,	116.41,	52.93,	13.21,	63.02,	32.45,	54.09,	52.05,	24.08,	54.6,	29.67,	14.98,	27.67,	97.28,	75.8,	22.45,	52.44,	543.14,	160.65,	41.51,	75.56,	?,	76.26,	23.63,	198.44,	23.65,	81.75,	51.68,	39.04,	49.69,	101.52,	40.07,	55.7,	94.24,	29.06,	50.79,	43.12,	107.07,	33.55,	102.54,	45.25,	25.79,	33.63,	61.18,	60.83,	74.24,	15.5,	33.02,	88.04,	79.65,	27.26,	75.15,	85.46,	60.11,	63.93,	64.33,	70.07,	41.71,	146.82,	33.51,	67.48,	53.32,	34.07,	62.38,	75.55,	82.8,	34.18,	91.24,	177.97,	47.54,	48.24,	39.27,	32.44,	72.95,	87.4,	
59.98,	35.54,	77.73,	42.93,	45.89,	94.1,	271.67,	83.4,	84.92,	73.69,	98.35,	12.99,	67.31,	44.76,	28.39,	44.9,	112.95,	49.39,	80.54,	56.61,	38.52,	60.12,	58,	107.89,	23.1,	57.29,	114.99,	52.33,	13.21,	62.22,	32.25,	53.6,	50.75,	23.75,	54.08,	28.91,	14.85,	28.23,	96.73,	75.93,	22.38,	51.17,	538.15,	159.22,	41.09,	74.38,	?,	75.44,	24.28,	195.74,	23.41,	80.83,	51.38,	38.93,	49.54,	102.56,	39.79,	55.45,	94.25,	28.8,	50.34,	43.11,	105.91,	33.44,	101.51,	44.96,	25.28,	33.79,	60.45,	61.09,	73.4,	15.25,	32.97,	87.75,	79.24,	27.27,	74.65,	85.86,	59.58,	64.09,	63.37,	69.59,	41.39,	144.51,	33.37,	66.93,	52.64,	33.61,	62.29,	75.3,	82.66,	34.17,	90.27,	177.46,	47.28,	48.05,	38.89,	32.39,	72.55,	86.7,	
60.51,	35.79,	79.07,	43.62,	46.27,	96.18,	275.79,	84.06,	86.47,	74.17,	99.59,	13.14,	68.28,	46.34,	28.8,	45.48,	114.99,	50.24,	82.41,	56.9,	38.74,	61.07,	58.74,	109.35,	23.44,	58.16,	116.61,	51.99,	13.29,	63.52,	33.07,	54.09,	51.48,	24.12,	54.91,	29.21,	15.05,	28.34,	98.96,	75.71,	22.55,	51.95,	554.9,	163.12,	42.54,	74.51,	?,	76.41,	24.3,	198.24,	23.92,	81.96,	52.34,	38.95,	49.6,	103.44,	40.35,	57.02,	94.87,	29.23,	51.48,	43.54,	108.02,	33.59,	103.46,	46,	26.07,	33.52,	60.8,	61.88,	74.71,	14.79,	33.69,	89.77,	79.12,	27.89,	75.45,	86.73,	60.4,	65.02,	64.87,	71.07,	42.07,	149.43,	34.01,	67.08,	54.28,	34.28,	62.87,	76.59,	83.44,	34.23,	91.83,	180.53,	47.98,	48.76,	39.54,	32.07,	72.71,	88.24,	
