@relation COMBINED_TRAINING

@attribute Day numeric
@attribute AAPL numeric
@attribute ABBV numeric
@attribute ABT numeric
@attribute ACN numeric
@attribute AIG numeric
@attribute ALL numeric
@attribute AMGN numeric
@attribute AMZN numeric
@attribute APA numeric
@attribute APC numeric
@attribute AXP numeric
@attribute BA numeric
@attribute BAC numeric
@attribute BAX numeric
@attribute BK numeric
@attribute BMY numeric
@attribute BRK-B numeric
@attribute C numeric
@attribute CAT numeric
@attribute CL numeric
@attribute CMCSA numeric
@attribute COF numeric
@attribute COP numeric
@attribute COST numeric
@attribute CSCO numeric
@attribute CVS numeric
@attribute CVX numeric
@attribute DD numeric
@attribute DIS numeric
@attribute DOW numeric
@attribute DVN numeric
@attribute EBAY numeric
@attribute EMC numeric
@attribute EMR numeric
@attribute EXC numeric
@attribute F numeric
@attribute FB numeric
@attribute FCX numeric
@attribute FDX numeric
@attribute FOXA numeric
@attribute GD numeric
@attribute GE numeric
@attribute GILD numeric
@attribute GM numeric
@attribute GOOGL numeric
@attribute GS numeric
@attribute HAL numeric
@attribute HD numeric
@attribute HON numeric
@attribute HPQ numeric
@attribute IBM numeric
@attribute INTC numeric
@attribute JNJ numeric
@attribute JPM numeric
@attribute KO numeric
@attribute LLY numeric
@attribute LMT numeric
@attribute LOW numeric
@attribute MA numeric
@attribute MCD numeric
@attribute MDLZ numeric
@attribute MDT numeric
@attribute MET numeric
@attribute MMM numeric
@attribute MO numeric
@attribute MON numeric
@attribute MRK numeric
@attribute MS numeric
@attribute MSFT numeric
@attribute NKE numeric
@attribute NOV numeric
@attribute NSC numeric
@attribute ORCL numeric
@attribute OXY numeric
@attribute PEP numeric
@attribute PFE numeric
@attribute PG numeric
@attribute PM numeric
@attribute QCOM numeric
@attribute RTN numeric
@attribute SBUX numeric
@attribute SLB numeric
@attribute SO numeric
@attribute SPG numeric
@attribute T numeric
@attribute TGT numeric
@attribute TWX numeric
@attribute TXN numeric
@attribute UNH numeric
@attribute UNP numeric
@attribute UPS numeric
@attribute USB numeric
@attribute UTX numeric
@attribute V numeric
@attribute VZ numeric
@attribute WAG numeric
@attribute WFC numeric
@attribute WMT numeric
@attribute BIIB numeric

@data
1,75.26,32.96,31.01,66.63,36.08,39.74,86.19,257.31,79.35,75.05,57.77,74.27,11.94,64.41,25.99,31.27,93.2,41.19,89.92,51.15,37.37,59.62,55.2,99.5,19.42,48.35,104.15,43.51,50.48,31.23,51.16,53.59,24.25,52.09,27.65,12.57,28,31.52,93.39,23.18,68.5,20.15,37.53,28.39,361.99,128.67,35.05,61.16,62.49,14.46,189.33,20.06,67.33,42.88,35.73,46.53,87.24,35.16,50.62,85.1,25.79,40.63,33.68,90.99,29.81,94,38.96,19.31,26.26,50.67,61.47,60.58,34.12,74.31,65.97,24.43,65.74,80.51,62.54,55.79,53.7,69.47,40.37,142.69,31.99,56.09,46.16,30.78,53.01,62.09,72.71,31.64,80.87,153.31,41.03,36.61,33.35,66.3,150
2,74.31,32.69,32.19,66.39,35.78,40.15,85.65,258.48,80.41,75.32,58.01,74.66,11.87,64.54,25.7,31.78,93.62,41.33,90.79,51.32,36.95,58.96,55.17,100.52,19.53,48.45,103.71,42.96,50.59,31.32,52.07,52.45,23.79,52.34,27.87,12.81,27.77,31.23,93.74,22.88,68.76,19.93,37.47,29.06,362.2,127.97,35.64,60.99,62.73,14.58,188.29,20,67.24,42.8,35.73,46.72,87.5,34.83,50.7,85.59,25.76,41.2,33.64,90.88,29.82,93.21,39.89,19.27,25.91,51.18,61.15,60.74,33.75,74.61,66,24.37,65.32,79.69,62.26,55.81,54.06,69,40.36,141.55,32.01,57.37,46.18,30.38,50.54,62.18,72.78,31.2,81.17,153.43,40.84,36.35,33.07,65.88,147.86
3,72.24,32.27,32,66.76,35.9,40.75,86.03,259.15,81.77,77.23,58.61,74.87,12.02,65.15,26.39,31.89,93.85,42.37,91.29,51.91,36.93,60.33,55.78,100.2,19.56,48.65,104.25,43.38,51.55,31.78,53.23,52.78,23.75,52.54,28.06,12.92,28.76,31.8,94.05,23.09,68.36,20.02,37.86,29.1,369.35,131.46,35.97,60.87,64.01,14.58,187.06,19.85,68.01,43.55,35.79,48.45,87.83,34.57,50.7,84.85,25.85,41.38,34.45,91.55,29.81,93.96,39.55,19.87,25.42,51.68,62.97,62.57,34.04,75.91,66.1,24.48,65.45,80.3,61.34,56.17,54.37,70.06,40.72,141.61,32.2,57.77,45.8,30.31,50.63,63.26,72.96,31.88,81.82,154.68,41.06,35.77,33.25,66.12,145.93
6,71.81,32.34,32.26,66.47,35.54,40.3,85.59,268.46,78.97,77.21,58.86,73.37,12,65.22,26,31.93,93.45,42.41,91.57,51.04,36.77,61.22,55.17,99.43,19.38,48.69,103.55,43.44,50.35,31.74,53.25,53.51,23.56,52.19,27.69,12.79,29.42,31.69,93.86,22.83,69.12,19.96,38.44,28.9,367.74,131.21,35.97,60.55,64.04,14.61,186.24,19.94,67.87,43.6,35.45,48.39,88.13,33.77,51.57,85.85,25.78,41.87,34.3,91.67,29.73,93.8,39.7,19.49,25.37,51.76,62.62,62.06,33.87,75.95,66.09,24.5,65.01,80.05,61.83,55.54,54.4,70.25,40.01,142.62,32.35,58.45,45.57,30.41,50.63,62.96,72.75,31.59,81.42,155.79,41.42,36.58,33.08,65.49,146.42
7,72.01,31.64,32.27,66.85,35.26,40.39,85.23,266.38,78.53,77.31,59.19,71.44,11.89,65.15,25.64,32.02,93.81,42.4,90.4,51.15,37.02,60.52,54.42,99.24,19.4,48.51,103.08,43.68,50.14,31.28,52.87,52.68,23.3,51.72,27.45,12.71,29.06,31.34,94.25,22.77,67.73,19.74,38.7,28.62,367.02,130.03,35.52,60.91,63.44,14.82,185.98,19.79,67.87,43.69,35.2,48.75,86.95,33.79,51.4,85.88,25.79,41.82,34.5,91.68,29.44,96.3,39.75,19.34,25.24,51.21,60.91,61.25,33.88,77.7,66.29,24.53,64.9,79.9,61.73,54.96,54.3,70.55,39.9,142.1,31.8,57.82,46.52,30.05,49.96,62.92,72.55,31.64,80.44,157.24,40.41,36.72,33.03,65.67,144.39
8,70.88,31.81,32.48,67.33,35.37,40.78,85.73,266.35,78.23,76.97,59.25,73.97,11.35,65.12,25.73,32.2,93.32,41.98,90.83,51.06,37.27,60.67,54.31,99.29,19.39,48.93,103.35,44.05,50.16,31.66,52.03,52.76,23.45,52.19,27.11,12.82,30.59,31.56,95.89,22.99,67.99,19.79,38.94,29.2,369.43,131.27,35.8,60.86,64.22,15.26,185.45,20.12,68.18,43.66,35.19,49.78,87.91,33.89,52.85,85.76,26.15,42.08,34.55,92.55,29.22,97.35,40.14,19.31,25.38,51.26,61.31,61.98,33.9,78.07,66.62,24.96,65.25,79.66,62.67,55.4,53.34,70.24,39.7,142.8,31.7,57.38,46.04,30.48,50.91,63.26,73.37,31.93,81.4,159.64,40.32,36.99,33.03,65.66,144.08
9,71.76,31.91,32.75,66.74,35.41,41.11,84.9,265.34,79.32,76.63,59.77,74.29,11.69,65.15,25.94,32.59,94.65,42.77,91.44,51.67,37.35,61.21,54.54,98.81,19.52,49.86,104.23,43.82,50.17,31.98,52.55,53,23.28,52.61,27.13,13.17,31.3,31.9,96.81,23.5,68.92,19.99,38.97,29.66,371.11,134.25,36.22,61.3,64.1,15.68,185.99,20.45,68.62,44.31,35.12,50.04,88.02,34.54,52.38,86.31,26.4,42.54,35.06,93.01,29.95,97.25,40.32,20.02,25.16,51.36,61.8,61.9,34.34,78.93,67.38,25.23,65.62,81.02,62.57,55.76,53.25,71.27,39.85,142.78,31.82,57.51,46.21,30.89,51.62,63.36,74.51,32.29,81.81,158.37,40.87,37.1,33.68,65.45,143.91
10,71.32,32.14,32.42,67.42,34.84,41.48,84.08,267.94,79.18,76.81,60.21,72.43,11.55,65.65,25.89,32.63,94.39,42.28,91.55,51.53,37.31,60.36,54.33,98.36,19.56,49.93,105.41,43.78,49.96,32,52.92,53.7,23.58,52.51,27.16,13.33,31.72,31.64,96.52,23.46,68.04,19.96,39.04,29.59,370.37,134.02,35.94,61.37,63.99,15.56,187.5,20.64,68.77,44.3,35.08,49.91,87.65,34.81,52.48,86.62,26.51,42.75,34.82,92.42,30.16,97.84,40.74,19.85,25.51,51.9,62.22,61.3,34.29,78.99,67.45,25.01,65.57,82.82,62.69,55.2,53.71,71.75,39.8,142.85,31.73,57.28,46.02,30.88,51.34,63.3,74.25,32.15,82.01,159.02,40.6,37.61,33.4,65.71,143.79
13,68.78,32.37,32.41,67.4,34.67,41.45,84.04,272.73,78.95,76.84,60.18,73.77,11.39,64.77,25.83,32.72,95.36,42.16,91.01,51.93,37.76,59.67,54.51,98.44,20.03,50.5,106.47,43.89,49.97,32.39,52.49,53.18,23.64,52.78,27.28,13.32,30.95,31.39,97.53,23.35,67.67,19.95,38.88,29.56,361.99,133.04,35.24,61.16,64.43,16.32,185.74,20.64,68.97,44.05,35.15,49.62,87.84,34.38,51.97,86.44,26.57,42.9,34.79,93.19,30.22,98.34,40.85,19.75,25.56,51.99,61.74,62.09,34.39,78.6,67.84,25.21,65.96,82.67,62.05,55.08,53.37,70.8,39.69,142.37,31.5,57.58,45.73,30.81,51.87,63.48,75.5,32.12,82.61,158.51,39.93,37.56,33.08,65.4,143.88
14,66.61,32.86,32.08,67.78,34.46,41.43,82.26,271.9,79.01,77.07,59.74,74.15,11.47,63.83,25.89,32.79,95.36,42.51,92.01,51.84,38.03,60.08,55.03,99.21,20.04,50.4,107.03,43.87,50.47,32.21,52.34,52.51,23.74,52.48,27.58,13.61,30.1,31.29,97.77,23.56,67.89,20.02,38.68,29.82,362.83,132.51,35.51,61.62,64.54,15.92,185.62,20.53,68.79,44.51,35.47,50.08,87.94,34.91,51.9,86.42,26.79,42.81,34.78,93.39,30.03,99.17,40.4,20.11,25.87,52.43,61.65,62.66,34.13,78.43,68.13,25.1,66.2,82.53,62.25,55.35,53.19,70.62,39.64,143.04,31.26,58.25,45.58,30.75,52.12,63.53,75.59,31.94,82.76,158.32,39.35,37.81,33.41,66.05,143.01
15,69.37,33.75,31.77,67.43,35.15,41.31,81.52,268.93,79.44,75.99,59.6,71.64,11.69,63.34,25.18,32.82,95.03,42.42,91.55,51.88,38.01,60.12,54.9,99.58,20.08,50.37,107.53,43.6,50.9,31.81,52.53,52.9,23.51,52.06,27.51,13.54,29.85,30.97,98.64,23.51,67.14,19.95,38.58,28.56,357.95,137.89,35.59,61.53,64.4,16.57,185.71,20.74,68.99,44.96,35.47,49.74,87.5,34.75,51.75,86.03,26.9,42.62,34.83,93.69,30.03,99.62,40.09,20.21,25.71,52.51,61.81,62.65,34.07,78.24,68.02,25.09,66.22,81.99,62.58,54.99,53.06,71.24,39.56,142.62,30.79,58.47,45.61,30.97,52.16,63.49,75.9,31.81,82.38,158.07,38.92,37.89,33.39,66.27,142.82
16,68.91,34.59,31.85,67.43,34.82,41.61,81.16,270.48,80.09,76.06,59.72,72.53,11.2,63.97,25.56,32.77,95.3,41.18,92.04,52.42,38.76,59.97,55.14,99.02,20.01,50.77,108.25,43.97,51.77,31.95,52.8,54.17,23.46,52.81,27.87,13.54,30.14,30.81,99.02,23.93,68.31,20.12,38.76,28.74,356.02,137.81,35.63,62.68,64.96,16.48,186.73,21.28,69.29,44.59,35.65,50.12,88.62,35.95,51.95,86.65,27.13,43.82,34.84,94.15,30.22,99.05,40.29,20.42,25.91,52.27,62.96,63.13,34.05,78.34,68.92,25.3,66.54,82.73,62.92,55.44,53.21,71.38,39.65,142.78,30.74,58.61,45.83,31.58,52.88,63.64,76.03,31.44,83.18,157.75,39.5,37.86,33.33,65.92,143.72
17,68.54,35.44,31.81,67.64,34.71,41.72,79.36,272.12,80.58,76.52,58.78,72.32,11.06,63.84,25.65,32.95,95.16,41.6,93.88,52.45,39.07,55.49,55.26,99.26,20.07,50.71,108.73,44.57,51.7,31.94,52.94,54.21,23.75,53.32,28.16,13.43,29.66,30.41,98.91,23.75,67.97,20.82,39.14,28.53,352.61,141.17,36.8,63.08,65.44,16.48,187.52,19.94,69.6,44.61,35.83,50.53,87.89,36.1,51.72,87.12,27.15,44.3,34.8,94.79,30.47,100.18,40.51,22.02,25.91,52.08,63.86,63.85,34.54,78.52,68.97,25.02,66.79,83.51,62.48,55.3,53.51,74.43,40.1,142.77,30.96,58.67,46.32,31.93,53.03,64.04,76.47,31.55,83.71,156.16,39.89,37.72,33.24,66.26,144.28
21,69.19,34.59,31.96,67.98,35.52,42.68,80.53,270.19,81.33,78.44,58.4,71.47,11.27,63.75,26.09,33.32,95.91,41.72,93.98,52.48,38.62,54.68,55.92,100.19,19.93,50.93,109.36,45.36,52.09,32.08,53.63,53.37,23.7,54.21,28.23,13.49,30.73,31.81,99.69,23.67,68.01,20.79,38.96,27.9,351.79,142.64,37.23,63.35,66.01,16.61,189.07,19.86,69.09,44.69,35.28,50.22,89.17,36.53,51.6,87.78,26.65,44.82,35.59,95.35,30.36,100.12,40.71,22.61,25.81,52.27,64.76,64.08,34.36,79.49,68.7,25.16,66.8,83.56,62.48,55.56,53.69,75.89,40.43,143.72,31.12,58.63,46.69,31.87,54.45,64.63,76.88,31.67,84.21,156.93,40.26,37.99,33.34,66.62,144.86
22,70.46,35.9,31.88,68.74,36.06,42.32,80.31,268.11,80.82,77.75,57.94,71.59,11.34,63.4,26.04,33.37,96.48,41.96,93.14,52.65,38.8,54.76,55.52,100.16,19.69,51.42,108.51,45.06,53.29,32.2,52.95,53.38,23.95,54.26,27.8,13.21,30.82,31.66,98.74,23.88,68.73,20.72,38.42,27.84,371.12,142.26,37.09,64.03,65.89,16.38,197.4,19.81,69.24,44.39,35.28,49.24,89.86,36.96,51.38,88.28,26.87,44.53,35.79,95.51,30.24,100.78,40.35,22.31,26.25,51.89,64.66,65.48,34.12,78.84,68.33,25.13,67.51,82.45,62.68,55.4,53.17,76.05,40.45,144.21,31.28,58.2,47.14,31.51,54.35,65.42,76.55,31.76,84.79,156.93,40.12,38.02,33.26,66.54,143.55
23,61.75,35.57,31.87,68.83,36.2,42.07,79.88,273.46,81.98,78.96,58.31,72.59,11.45,64.54,26.24,34.24,97.31,42.74,92.9,53.12,38.4,55.36,56.32,100.92,20.07,50.88,108.97,45.6,53.29,32.53,52.95,55.19,24.45,54.64,28.18,13.21,31.08,31.33,100.81,23.58,67.95,20.82,39.2,28.05,377.48,141.67,37.11,64.89,65.86,16.38,197.12,19.66,69.48,44.52,35.27,49.96,87.22,37.48,51.84,88.12,26.91,45.06,35.29,95.68,30.6,101.3,40.52,22.24,26.27,52.64,64.74,66.84,34.37,79.3,68.73,25.32,67.25,83.31,62.21,53.82,53.28,75.91,40.76,144.8,31.25,58.99,47.12,31.52,54.65,64.69,78.27,31.78,85.61,157.44,39.93,37.94,33.46,66.82,146.41
24,60.3,35.71,31.86,69.67,36.3,42.4,80.65,283.99,82.87,79.93,58.5,72.31,11.54,64.75,26.31,35.08,97.39,42.85,91.92,53.3,38.57,54.84,56.93,100.4,20.2,50.69,109.63,45.84,53.72,32.68,53.62,56.53,24.66,54.83,28.75,13.02,31.54,31.53,101.64,23.71,68.25,21.05,39.68,28.33,377.21,141.18,38.98,65.34,65.94,16.36,197.65,19.66,70.26,45.28,35.21,50,86.42,37.65,51.56,88.5,26.86,45.03,36.08,96.56,30.64,101.14,40.96,22.34,26.51,54.29,64.95,66.71,34.8,79.92,68.98,25.46,69.96,82.99,61.49,53.19,55.46,77.36,40.98,144.97,31.5,58.68,46.75,31.25,54.47,65.14,78.56,31.83,86.45,157.71,40.01,38.16,33.44,66.07,146.2
27,61.66,35.03,32.06,69.56,36.89,42.03,82.75,276.04,82.46,78.36,58.08,71.31,11.4,64.2,26.32,34.81,97.12,42.28,93.72,53.3,38.39,54.53,56.64,100.52,20.11,50.18,109.48,45.67,53.7,32.52,53.21,55.95,24.6,54.66,28.91,13.22,32.47,31.25,102.07,24.01,67.34,21.25,39.44,28.09,375.74,140.88,39.53,65.11,66.51,16.39,197.61,19.75,69.98,44.78,35.17,49.47,83.54,37.42,51.04,89.11,26.89,45.1,36.06,96.62,30.87,100.55,40.46,21.96,26.53,53.27,64.61,66.96,34.96,79.71,69.09,25.31,70.45,82.6,61.5,52.23,54.69,77.13,40.89,145.29,31.6,58.29,46.47,31.47,54.25,64.22,78.62,31.83,86.46,154.27,40.1,38.58,33.41,66.4,149.99
28,62.82,35.43,32.38,69.18,37.41,42.31,83.72,260.35,84.09,79.49,58.45,70.98,11.41,64.13,26.5,34.94,97.24,42.1,94.83,53.67,37.94,54.16,57.49,101.38,19.84,50.18,110.58,45.49,53.33,32.82,55.55,55.66,23.61,54.83,29.05,12.6,30.79,31.65,101.57,24.2,66.61,21.25,39.9,27.72,377.22,143.76,40.12,64.75,66.68,15.87,196.61,19.96,70.73,45.24,35.56,51.05,84.04,37.31,51.47,89.64,26.91,45.24,36.15,97.73,30.87,100.6,41.15,22.23,26.63,52.7,65.05,67.7,35.19,80.92,69.41,26.12,71.63,82.52,61.29,52.25,54.28,77.78,41.14,145.36,32.11,58.49,46.44,31.32,54.71,65.13,78.33,31.99,86.42,154.58,40.79,38.54,33.56,66.92,153.92
29,62.62,35.07,32.27,69.8,37.26,42.69,82.55,272.76,83.08,79.18,58.34,71.88,11.3,64.65,26.53,35.01,96.88,41.89,94.88,53.64,37.86,55.07,56.96,100.56,19.65,50.48,109.87,45.18,53.13,32.7,56.32,55.78,24.02,54.58,28.97,12.4,31.24,31.79,100.45,24.31,65.82,20.99,39.85,27.23,377.29,143.81,39.45,64.79,66.27,15.79,196.25,20.05,70.42,45.25,35.64,50.89,82.51,37.29,51.22,89.4,26.81,45.26,35.7,96.76,30.87,100.43,41,22.61,26.48,52.4,64.65,66.41,34.8,81.12,69.67,26.17,71.7,81.35,61.37,51.54,54.67,76.47,41.06,144.1,31.92,58.15,46.51,31.46,54.51,63.4,77.4,31.81,85.78,152.95,40.89,38.35,33.51,66.79,155.08
30,62.44,34.84,32.92,69.36,37.42,42.39,82.63,265.5,82.49,78.96,57.82,71.19,11.24,64.59,26.39,34.55,96.93,42.11,94.62,51.96,36.94,54.84,54.07,100.38,19.64,50.04,108.64,45.01,53.22,30.43,55.78,55.97,24.03,54.62,29.15,12.42,30.98,31.87,100.53,24.17,63.77,21.04,39.45,27.37,378.22,144.5,39.93,64.48,65.86,15.9,195.81,19.74,70.26,45.18,35.39,50.45,81.25,37.27,51.46,89.99,26.87,45.21,35.78,96.52,30.85,99.08,40.76,22.49,26.1,52.83,65.07,66.39,34.93,83.93,69.32,25.95,71.78,81.82,63.77,50.14,54.79,75.94,41.24,143.03,32.21,57.6,46.86,31.71,53.67,63.54,75.55,31.77,84.31,155.81,40.89,38.44,33.38,66.98,156.08
31,62.18,35.31,32.91,71.2,38.43,43.3,83.44,265,84.07,80.1,58.91,72.15,11.62,65.48,26.57,35.29,98,42.97,95.68,53.15,37.45,55.01,54.84,102.15,19.89,50.42,109.92,45.51,53.92,30.8,56.59,57.21,24.26,55.41,28.77,12.49,29.73,32.3,101.83,24.53,63.37,21.36,40.56,27.45,388.19,146.5,40.32,64.84,66.74,15.85,197.85,20.04,70.51,45.95,35.67,50.93,81.58,37.63,51.49,90.61,27.28,45.52,36.61,97.49,31.33,99.98,39.42,23.19,26.55,52.48,62.54,67.1,35.62,83.37,69.15,26.28,72.51,81.8,64.46,50.13,55.51,77.54,41.03,144.63,32.88,58.31,47.2,32.33,54.21,64.75,76.2,32.05,86.5,156.45,41.78,38.78,33.67,67.49,157.3
34,60.63,35.4,32.55,70.26,37.77,42.42,82.9,259.98,82.3,79.43,58.41,72.48,11.4,65.04,26.42,34.92,96.51,42.16,94.5,52.61,37.05,54.91,54.1,100.51,19.88,49.85,108.69,45,53.24,30.36,55.77,55.69,24.01,54.85,28.51,12.35,28.11,31.95,102.45,24.35,62.11,21.07,39.59,27.25,379.89,144.17,40.1,63.94,66.17,15.58,196.51,19.85,70.44,45.78,35.49,50.32,81.09,37.02,51.05,89.33,26.96,44.87,35.85,96.74,31.04,99.07,38.5,22.57,26.09,52.45,61.59,66.15,34.56,83.66,68.94,25.84,71.87,81.05,63.4,50.46,54.76,77.3,40.84,145.11,32.62,58.02,46.79,31.9,54.19,63.79,76.14,31.63,86.21,154.57,41.74,38.49,33.31,66.67,155.73
