Stock Quotes for AAPL,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,93.52,94.07,93.13,93.52,38223000,93.06
2014-07-02,93.87,94.06,93.09,93.48,28465000,93.02
2014-07-03,93.67,94.1,93.2,94.03,22891800,93.56
2014-07-07,94.14,95.99,94.1,95.97,56468000,95.5
2014-07-08,96.27,96.8,93.92,95.35,65222000,94.88
2014-07-09,95.44,95.95,94.76,95.39,36436000,94.92
2014-07-10,93.76,95.55,93.52,95.04,39686000,94.57
2014-07-11,95.36,95.89,94.86,95.22,34018000,94.75
2014-07-14,95.86,96.89,95.65,96.45,42810000,95.97
2014-07-15,96.8,96.85,95.03,95.32,45477900,94.85
2014-07-16,96.97,97.1,94.74,94.78,53502000,94.31
2014-07-17,95.03,95.28,92.57,93.09,57298000,92.63
2014-07-18,93.62,94.74,93.02,94.43,49988000,93.96
2014-07-21,94.99,95,93.72,93.94,39079000,93.48
2014-07-22,94.68,94.89,94.12,94.72,55197000,94.25
2014-07-23,95.42,97.88,95.17,97.19,92918000,96.71
2014-07-24,97.04,97.32,96.42,97.03,45729000,96.55
2014-07-25,96.85,97.84,96.64,97.67,43469000,97.19
2014-07-28,97.82,99.24,97.55,99.02,55318000,98.53
2014-07-29,99.33,99.44,98.25,98.38,43143000,97.89
2014-07-30,98.44,98.7,97.67,98.15,33010000,97.66
2014-07-31,97.16,97.45,95.33,95.6,56843000,95.13
2014-08-01,94.9,96.62,94.81,96.13,48511000,95.65
2014-08-04,96.37,96.58,95.17,95.59,39958000,95.12
2014-08-05,95.36,95.68,94.36,95.12,55933000,94.65
2014-08-06,94.75,95.48,94.71,94.96,38558000,94.49
2014-08-07,94.93,95.95,94.1,94.48,46711000,94.48
2014-08-08,94.26,94.82,93.28,94.74,41865000,94.74
2014-08-11,95.27,96.08,94.84,95.99,36585000,95.99
2014-08-12,96.04,96.88,95.61,95.97,33795000,95.97
2014-08-13,96.15,97.24,96.04,97.24,31916000,97.24
2014-08-14,97.33,97.57,96.8,97.5,28116000,97.5
2014-08-15,97.9,98.19,96.86,97.98,48951000,97.98
2014-08-18,98.49,99.37,97.98,99.16,47572000,99.16
2014-08-19,99.41,100.68,99.32,100.53,69274700,100.53
2014-08-20,100.44,101.09,99.95,100.57,52612800,100.57
2014-08-21,100.57,100.94,100.11,100.58,33421900,100.58
2014-08-22,100.29,101.47,100.19,101.32,44102400,101.32
2014-08-25,101.79,102.17,101.28,101.54,40144700,101.54
2014-08-26,101.42,101.5,100.86,100.89,33119800,100.89
2014-08-27,101.02,102.57,100.7,102.13,46827400,102.13
2014-08-28,101.59,102.78,101.56,102.25,68389800,102.25
2014-08-29,102.86,102.9,102.2,102.5,44567000,102.5
2014-09-02,103.06,103.74,102.72,103.3,53491400,103.3
2014-09-03,103.1,103.2,98.58,98.94,125233100,98.94
2014-09-04,98.85,100.09,97.79,98.12,85594800,98.12
2014-09-05,98.8,99.39,98.31,98.97,58353200,98.97
2014-09-08,99.3,99.31,98.05,98.36,46277800,98.36
2014-09-09,99.08,103.08,96.14,97.99,189560600,97.99
2014-09-10,98.01,101.11,97.76,101,100741900,101
2014-09-11,100.41,101.44,99.62,101.43,62353100,101.43
2014-09-12,101.21,102.19,101.08,101.66,62626100,101.66
2014-09-15,102.81,103.05,101.44,101.63,61216500,101.63
