Stock Quotes for ABBV,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,56.42,57.2,56.17,56.89,6869800,56.46
2014-07-02,57.46,58.11,56.92,58.11,6198500,57.67
2014-07-03,57.9,58.27,57.65,58.22,3828900,57.78
2014-07-07,57.91,58.15,57.39,57.4,4736300,56.97
2014-07-08,56.68,56.97,55.48,55.69,9297300,55.27
2014-07-09,55.56,55.64,54.82,55.01,11516300,54.6
2014-07-10,54.5,55.88,54.28,55.79,7553100,55.37
2014-07-11,55.34,56.6,54.48,54.96,13586800,54.96
2014-07-14,53.89,55.05,53.72,54.85,30823300,54.85
2014-07-15,54.52,54.69,53.39,53.44,16796400,53.44
2014-07-16,53.25,53.67,51.82,53.65,23291200,53.65
2014-07-17,53.21,55,52.88,53.52,18699000,53.52
2014-07-18,53,55.12,53,54.91,42456000,54.91
2014-07-21,54.14,54.45,53.91,54,22334900,54
2014-07-22,53.82,54.38,53.75,54.05,14724300,54.05
2014-07-23,54.48,54.81,54.07,54.48,15011300,54.48
2014-07-24,54.22,54.56,53.97,54.08,11409600,54.08
2014-07-25,54.4,54.49,53.03,53.18,11680900,53.18
2014-07-28,53.42,54,53.17,53.74,10466000,53.74
2014-07-29,53.55,53.66,53.24,53.43,16171500,53.43
2014-07-30,53.28,53.89,53.03,53.75,12659500,53.75
2014-07-31,53.13,53.4,52.3,52.34,15479900,52.34
2014-08-01,52.03,52.64,51.75,52.48,11593200,52.48
2014-08-04,52.58,53.4,52.37,53.29,10440600,53.29
2014-08-05,52.77,53.19,52.45,52.79,12765800,52.79
2014-08-06,51.48,52.66,51.37,52.05,18112900,52.05
2014-08-07,51.59,52.71,51.42,52.43,17171700,52.43
2014-08-08,52.72,52.89,52.29,52.82,13117700,52.82
2014-08-11,53,53.65,52.77,53.31,10063300,53.31
2014-08-12,53.22,53.3,52.57,52.84,8524600,52.84
2014-08-13,52.97,53.64,52.75,53.6,9004400,53.6
2014-08-14,53.62,54.23,53.53,54.19,7959800,54.19
2014-08-15,54.34,54.59,53.58,53.9,10109300,53.9
2014-08-18,54.39,54.52,53.84,54.31,7370500,54.31
2014-08-19,54.48,55.31,54.18,55.29,9159300,55.29
2014-08-20,54.82,55.18,54.69,55.06,7612200,55.06
2014-08-21,54.79,55.12,54.68,54.96,8063200,54.96
2014-08-22,54.87,55.27,54.36,55.2,9314600,55.2
2014-08-25,55.38,55.92,55.18,55.87,7553500,55.87
2014-08-26,55.68,55.94,55.64,55.75,9231700,55.75
2014-08-27,55.85,55.85,55.4,55.7,11022600,55.7
2014-08-28,55.52,55.68,55.25,55.6,7277900,55.6
2014-08-29,55.75,55.8,55.24,55.28,7487200,55.28
2014-09-02,55.43,55.53,54.96,55.07,7354900,55.07
2014-09-03,55.16,55.53,54.83,55.51,7562100,55.51
2014-09-04,55.36,55.6,55.09,55.54,10019400,55.54
2014-09-05,55.49,55.94,54.87,55.94,9914300,55.94
2014-09-08,55.78,55.95,55.37,55.57,6568800,55.57
2014-09-09,55.53,57.18,55.43,56.95,17558900,56.95
2014-09-10,56.9,57.32,56.51,57.19,8740300,57.19
2014-09-11,57,57.88,56.85,57.85,9943900,57.85
2014-09-12,57.85,58.77,57.74,57.88,15556200,57.88
2014-09-15,57.75,58.15,57.47,57.93,8632700,57.93
