Stock Quotes for ABT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,32.3,32.45,31.64,32.05,20266400,31.01
2013-01-03,32.9,33.38,32.74,33.27,22148200,32.19
2013-01-04,33.33,33.43,32.85,33.07,15820100,32
2013-01-07,33.02,33.34,32.85,33.34,13120000,32.26
2013-01-08,33.29,33.56,33.08,33.35,15042300,32.27
2013-01-09,33.66,33.71,33.09,33.57,11313000,32.48
2013-01-10,33.7,33.94,33.66,33.85,9668400,32.75
2013-01-11,33.88,33.88,33.32,33.37,8554700,32.42
2013-01-14,33.48,33.57,33.14,33.36,6848700,32.41
2013-01-15,33.19,33.36,32.97,33.02,12815200,32.08
2013-01-16,33.15,33.16,32.6,32.7,17500300,31.77
2013-01-17,32.85,32.97,32.67,32.78,20270400,31.85
2013-01-18,32.8,32.87,32.61,32.74,14984300,31.81
2013-01-22,32.78,33,32.55,32.9,18077900,31.96
2013-01-23,33.01,33.15,32.62,32.81,14987600,31.88
2013-01-24,32.65,32.95,32.58,32.8,17422200,31.87
2013-01-25,32.83,32.92,32.7,32.79,15872000,31.86
2013-01-28,32.81,33.11,32.75,33,13671600,32.06
2013-01-29,32.97,33.45,32.96,33.33,14644400,32.38
2013-01-30,33.4,33.4,33.14,33.22,10418800,32.27
2013-01-31,33.16,33.88,33.11,33.88,33862200,32.92
2013-02-01,33.92,34.12,33.61,33.87,18334300,32.91
2013-02-04,33.37,33.66,33.37,33.5,14632500,32.55
2013-02-05,33.68,33.99,33.65,33.84,14138000,32.88
2013-02-06,33.67,34.24,33.67,34.1,13351600,33.13
2013-02-07,34.24,34.39,34.03,34.39,11918500,33.41
2013-02-08,34.39,34.66,34.29,34.41,10237900,33.43
2013-02-11,34.42,34.49,34.24,34.26,7928300,33.28
2013-02-12,34.27,34.5,34.21,34.3,7069100,33.32
2013-02-13,34.29,34.58,34.25,34.46,6688100,33.48
2013-02-14,34.28,34.75,34.28,34.7,8561700,33.71
2013-02-15,34.84,35.1,34.78,35.08,10014100,34.08
2013-02-19,35.18,35.29,34.75,34.82,9585000,33.83
2013-02-20,34.7,34.87,34.51,34.52,7814000,33.54
2013-02-21,34.47,34.49,34.13,34.26,6572700,33.28
2013-02-22,34.18,34.55,34.01,34.55,7902900,33.57
2013-02-25,34.6,34.84,34.25,34.27,8702900,33.29
2013-02-26,34.37,34.44,33.94,34.06,7392400,33.09
2013-02-27,34.05,34.45,33.85,34.26,10667200,33.28
2013-02-28,34.31,34.36,33.79,33.79,16553600,32.83
2013-03-01,33.69,33.91,33.55,33.6,14586800,32.64
2013-03-04,33.51,34.33,33.4,34.31,6613700,33.33
2013-03-05,34.38,34.7,34.37,34.67,7653800,33.68
2013-03-06,34.67,34.7,34.15,34.27,6412100,33.29
2013-03-07,34.3,34.54,34.16,34.43,5666000,33.45
2013-03-08,34.5,34.68,34.35,34.68,5152100,33.69
2013-03-11,34.59,34.95,34.52,34.93,4903400,33.94
2013-03-12,34.83,35,34.8,34.98,4980100,33.98
2013-03-13,34.89,35.03,34.71,35.01,4442400,34.01
2013-03-14,35.03,35.14,34.93,35.14,6809800,34.14
2013-03-15,34.92,35.09,34.13,34.14,13695200,33.17
2013-03-18,33.94,34.01,33.44,33.46,8895900,32.51
2013-03-19,33.52,33.74,33.27,33.54,7540600,32.58
2013-03-20,33.66,33.82,33.5,33.81,6664900,32.85
2013-03-21,33.78,33.82,33.32,33.48,5889800,32.53
2013-03-22,33.5,33.69,33.33,33.69,5058700,32.73
2013-03-25,33.76,34.08,33.57,33.8,7022200,32.84
2013-03-26,33.85,34.35,33.85,34.35,5855400,33.37
2013-03-27,34.13,34.64,34.06,34.61,8637100,33.62
2013-03-28,34.6,35.34,34.53,35.32,11468200,34.31
2013-04-01,35.18,35.31,34.95,35.31,6024900,34.3
2013-04-02,35.45,36.15,35.34,36.12,10956900,35.09
2013-04-03,36.13,36.39,35.9,36.32,10143200,35.29
2013-04-04,36.52,36.89,36.45,36.65,7713000,35.61
2013-04-05,36.37,36.55,36.19,36.31,8250200,35.28
2013-04-08,36.31,36.55,35.93,36.55,5584300,35.51
2013-04-09,36.56,36.75,36.4,36.66,5444700,35.62
2013-04-10,36.73,37.14,36.66,37.1,6689200,36.04
2013-04-11,37.02,37.55,37,37.27,6812200,36.35
2013-04-12,37.11,37.25,36.93,37.13,5373100,36.21
2013-04-15,36.84,37.09,36.11,36.13,8227700,35.23
2013-04-16,36.28,36.48,35.9,36.4,7866000,35.5
2013-04-17,36.84,37.48,36.46,37.28,14361800,36.36
2013-04-18,37.45,37.47,36.61,36.88,7750800,35.97
2013-04-19,37.05,37.3,36.91,37.2,6665900,36.28
2013-04-22,37,37.22,36.56,36.89,5354200,35.98
2013-04-23,37.11,37.34,36.86,37.21,5291200,36.29
2013-04-24,37.27,37.35,36.39,36.52,5434100,35.61
2013-04-25,36.62,36.82,36.45,36.49,5321400,35.59
2013-04-26,36.36,36.7,36.25,36.46,6126800,35.56
2013-04-29,36.49,36.79,36.4,36.73,3111800,35.82
2013-04-30,36.7,36.98,36.48,36.92,6425500,36
2013-05-01,36.77,37.2,36.62,36.89,5458500,35.98
2013-05-02,36.95,37.15,36.83,37.06,4202800,36.14
2013-05-03,37.25,37.25,36.61,36.8,5363500,35.89
2013-05-06,36.75,36.78,35.8,35.85,8604900,34.96
2013-05-07,35.74,36.08,35.58,36.06,8347700,35.17
2013-05-08,36.01,36.29,35.88,36.29,6767500,35.39
2013-05-09,36.19,36.36,36,36.18,4861500,35.28
2013-05-10,36.25,36.41,35.96,36.17,6667100,35.27
2013-05-13,36.05,36.57,36.04,36.35,6217100,35.45
2013-05-14,36.42,37.1,36.22,37.05,6309000,36.13
2013-05-15,37.13,37.7,37.09,37.66,7853100,36.73
2013-05-16,37.45,37.47,36.82,36.83,6137600,35.92
2013-05-17,36.82,36.94,36.29,36.59,7049800,35.68
2013-05-20,36.95,37.93,36.87,37.81,8885200,36.87
2013-05-21,37.85,38,37.57,37.72,6986600,36.78
2013-05-22,37.76,38.77,37.6,37.72,9982400,36.78
2013-05-23,37.49,37.86,37.3,37.48,7067600,36.55
2013-05-24,37.17,37.84,37.11,37.76,5429900,36.82
2013-05-28,37.98,38.64,37.95,38.56,8425100,37.6
2013-05-29,38.26,38.46,37.33,37.72,8678100,36.78
2013-05-30,37.72,37.85,37.47,37.68,7569500,36.75
2013-05-31,37.49,37.65,36.62,36.67,11796200,35.76
2013-06-03,36.63,37.18,36.13,37.16,10555000,36.24
2013-06-04,37.06,37.21,36.53,36.8,6066400,35.89
2013-06-05,36.72,37.16,36.26,36.3,7084800,35.4
2013-06-06,36.24,36.64,36.03,36.64,6912400,35.73
2013-06-07,36.95,37.55,36.9,37.51,5996500,36.58
2013-06-10,37.47,37.58,37.09,37.49,5029900,36.56
2013-06-11,37.14,37.31,36.82,36.83,5128500,35.92
2013-06-12,37.08,37.2,36.42,36.44,5271200,35.54
2013-06-13,36.33,36.8,36.12,36.7,6472000,35.79
2013-06-14,36.68,37.1,36.59,36.81,4817800,35.9
2013-06-17,37.07,37.33,36.72,36.89,6356000,35.98
2013-06-18,36.98,37.64,36.87,37.51,5541500,36.58
2013-06-19,37.27,37.27,36.21,36.21,6741400,35.31
2013-06-20,36.07,36.09,35.07,35.17,8336800,34.3
2013-06-21,35.4,35.86,35.31,35.58,10122700,34.7
2013-06-24,35.29,35.38,34.69,34.97,7535800,34.1
2013-06-25,35.28,35.38,34.87,35.11,6003700,34.24
2013-06-26,35.41,35.79,35.14,35.6,6877400,34.72
2013-06-27,35.77,35.78,35.22,35.36,5625400,34.48
2013-06-28,35.3,35.82,34.87,34.88,20356100,34.01
2013-07-01,34.97,35.47,34.9,35.03,6346900,34.16
2013-07-02,34.97,35.31,34.65,34.86,5793200,34
2013-07-03,34.72,34.72,33.72,34.25,8381100,33.4
2013-07-05,34.58,34.93,34.49,34.92,4664300,34.05
2013-07-08,34.95,35.47,34.94,35.41,7545600,34.53
2013-07-09,35.46,35.56,34.73,34.74,10291400,33.88
2013-07-10,34.8,35.21,34.71,34.74,9108500,33.88
2013-07-11,35.02,35.54,34.77,35.37,9019200,34.63
2013-07-12,35.45,35.57,35.11,35.32,6218100,34.58
2013-07-15,35.23,35.52,35.15,35.48,6487200,34.74
2013-07-16,35.43,35.71,35.33,35.7,8492000,34.96
2013-07-17,35.88,36.48,35.73,35.82,7979400,35.07
2013-07-18,35.92,36.03,35.6,35.7,6896400,34.96
2013-07-19,35.73,35.89,35.52,35.87,7137500,35.12
2013-07-22,35.76,35.94,35.58,35.8,4782400,35.05
2013-07-23,35.93,36.8,35.9,36.68,9104400,35.92
2013-07-24,36.7,36.7,36.2,36.45,6060600,35.69
2013-07-25,36.42,36.6,36.24,36.58,7492500,35.82
2013-07-26,36.59,36.85,36.15,36.78,5387400,36.01
2013-07-29,36.62,36.95,36.5,36.74,5587300,35.97
2013-07-30,36.98,37.11,36.66,36.88,6193400,36.11
