Stock Quotes for ACN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,81.09,81.62,80.91,81.25,2141600,81.25
2014-07-02,81,81.49,80.65,81.06,2400500,81.06
2014-07-03,81.26,81.69,81.22,81.55,1042900,81.55
2014-07-07,81.12,81.32,80.77,81.05,2083500,81.05
2014-07-08,80.99,81.26,80.81,81.11,1815600,81.11
2014-07-09,81.15,81.48,80.53,80.64,2884000,80.64
2014-07-10,80.08,80.42,79.7,79.77,2965000,79.77
2014-07-11,79.88,80.11,79.55,79.77,2586700,79.77
2014-07-14,80.16,80.32,79.26,79.46,2595800,79.46
2014-07-15,79.36,79.86,79.1,79.36,3195000,79.36
2014-07-16,79.87,80.11,79.45,79.74,3423500,79.74
2014-07-17,79.65,80.1,79.18,79.24,2107700,79.24
2014-07-18,79.49,79.79,78.85,79.74,2818900,79.74
2014-07-21,79.85,80.2,79.39,79.8,1985800,79.8
2014-07-22,80,80.67,79.99,80.29,2105700,80.29
2014-07-23,80.4,80.78,80.19,80.59,2483700,80.59
2014-07-24,80.33,80.9,80.23,80.69,2065600,80.69
2014-07-25,80.32,80.83,80.12,80.38,1487600,80.38
2014-07-28,80.18,80.92,79.97,80.65,1799200,80.65
2014-07-29,80.59,80.96,80.46,80.57,2416900,80.57
2014-07-30,80.6,80.87,80.15,80.49,1722500,80.49
2014-07-31,79.91,80.66,79.22,79.28,2745800,79.28
2014-08-01,78.85,79.48,78.35,78.7,2402700,78.7
2014-08-04,78.97,79.49,78.5,79.35,2160900,79.35
2014-08-05,78.96,79.27,78.04,78.45,2150200,78.45
2014-08-06,77.26,78.14,76.87,77.84,3093600,77.84
2014-08-07,78.31,78.59,77.34,77.5,2138100,77.5
2014-08-08,77.72,78.92,77.38,78.87,2523000,78.87
2014-08-11,78.96,79.52,78.61,78.96,2931600,78.96
2014-08-12,78.89,79.25,78.33,78.57,2062500,78.57
2014-08-13,78.99,79.25,78.52,78.99,2103700,78.99
2014-08-14,79.19,79.27,78.88,79.27,1682400,79.27
2014-08-15,79.48,79.93,78.6,79.01,2533800,79.01
2014-08-18,79.41,79.98,79.33,79.81,1920700,79.81
2014-08-19,79.94,80.5,79.65,80.32,1663000,80.32
2014-08-20,80.32,80.49,79.88,80.4,1214500,80.4
2014-08-21,80.66,81.03,80.42,80.82,1360100,80.82
2014-08-22,80.6,80.82,80.4,80.51,1810200,80.51
2014-08-25,81.04,81.6,80.88,80.98,1733300,80.98
2014-08-26,81.3,81.99,81.2,81.62,2432900,81.62
2014-08-27,81.46,81.58,80.76,80.98,1728000,80.98
2014-08-28,80.59,81.8,80.33,81.02,1846100,81.02
2014-08-29,81.32,81.32,80.52,81.06,1416600,81.06
2014-09-02,80.95,81.49,80.91,81.12,1754000,81.12
2014-09-03,81.55,81.96,81.3,81.86,2041300,81.86
2014-09-04,82.14,82.16,81.52,81.76,2781100,81.76
2014-09-05,81.7,82.07,81.47,81.83,2276700,81.83
2014-09-08,81.75,82.05,81.54,81.73,1880100,81.73
2014-09-09,81.7,81.74,80.7,80.95,2173800,80.95
2014-09-10,80.95,81.35,80.7,81.21,1922600,81.21
2014-09-11,81.06,81.53,80.82,81.51,1856200,81.51
2014-09-12,81.3,81.56,80.58,80.97,2801800,80.97
2014-09-15,80.99,81.15,80.45,80.6,1949200,80.6
