Stock Quotes for AEP,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,43.17,43.65,43.14,43.65,3979400,40.63
2013-01-03,43.65,43.86,43.53,43.62,2355300,40.61
2013-01-04,43.64,43.72,43.48,43.55,2679200,40.54
2013-01-07,43.43,43.52,43.17,43.37,2361500,40.37
2013-01-08,43.27,43.4,43.11,43.15,2517400,40.17
2013-01-09,43.1,43.28,42.92,43.16,2064800,40.18
2013-01-10,43.25,43.55,43.12,43.55,2071000,40.54
2013-01-11,43.34,43.59,43.05,43.24,2849600,40.25
2013-01-14,43.24,43.38,43.14,43.24,2047000,40.25
2013-01-15,43.11,43.22,42.98,43.16,2187600,40.18
2013-01-16,43.16,43.28,43.07,43.12,1564500,40.14
2013-01-17,43.01,43.4,42.94,43.2,1902200,40.22
2013-01-18,43.23,43.51,43.02,43.51,2346400,40.5
2013-01-22,43.37,44.02,43.3,44.02,2295300,40.98
2013-01-23,43.91,44.22,43.58,44.1,3530700,41.05
2013-01-24,44.23,44.38,44.04,44.19,2274300,41.14
2013-01-25,44.28,44.47,44.13,44.46,6944000,41.39
2013-01-28,44.51,44.53,44.16,44.49,7392200,41.42
2013-01-29,44.52,45.12,44.48,45.02,8931200,41.91
2013-01-30,45,45.26,44.9,45.11,3019000,41.99
2013-01-31,45.08,45.34,45.04,45.29,2426600,42.16
2013-02-01,45.48,45.48,45.21,45.24,2372700,42.11
2013-02-04,45.16,45.29,44.95,45,3576400,41.89
2013-02-05,45.05,45.3,44.8,44.85,3095700,41.75
2013-02-06,44.34,44.61,44.23,44.58,3153400,41.94
2013-02-07,44.76,44.86,44.35,44.5,2004100,41.86
2013-02-08,44.55,44.63,44.25,44.57,2312800,41.93
2013-02-11,44.57,44.74,44.48,44.73,1372400,42.08
2013-02-12,44.73,44.94,44.6,44.9,1694300,42.24
2013-02-13,44.87,45.04,44.76,44.93,1324500,42.27
2013-02-14,44.76,44.81,44.41,44.77,3665200,42.12
2013-02-15,44.84,45.2,44.76,45.13,4384900,42.46
2013-02-19,45.2,45.68,45.14,45.56,3398700,42.86
2013-02-20,45.63,45.89,45.51,45.57,3319100,42.87
2013-02-21,45.43,45.56,45.23,45.36,2481200,42.67
2013-02-22,45.56,46.18,45.5,46.18,2171700,43.44
2013-02-25,46.25,46.46,45.68,45.68,3086700,42.97
2013-02-26,46.13,46.43,45.76,46.33,3965600,43.59
2013-02-27,46.36,46.71,46.17,46.66,2200100,43.9
2013-02-28,46.62,47.03,46.46,46.79,2456100,44.02
2013-03-01,46.62,46.79,46.36,46.71,2979800,43.94
2013-03-04,46.62,47.52,46.55,47.46,3842200,44.65
2013-03-05,47.54,47.87,47.44,47.66,2806300,44.84
2013-03-06,47.68,47.81,47.43,47.66,1986000,44.84
2013-03-07,47.64,47.88,47.39,47.39,1690800,44.58
2013-03-08,47.59,47.59,47.14,47.49,2298700,44.68
2013-03-11,47.38,47.58,47.28,47.38,2167400,44.57
2013-03-12,47.39,47.52,47.09,47.29,2003200,44.49
2013-03-13,47.3,47.5,47.2,47.44,1359400,44.63
2013-03-14,47.52,47.69,47.3,47.68,2228000,44.86
2013-03-15,47.44,48.15,47.37,47.9,3267700,45.06
2013-03-18,47.72,47.91,47.63,47.69,2019700,44.86
2013-03-19,47.77,47.99,47.5,47.7,1847100,44.87
2013-03-20,47.85,48.19,47.78,48.06,2084700,45.21
2013-03-21,47.9,48.03,47.6,47.63,1921900,44.81
2013-03-22,47.69,48.09,47.65,47.86,1561600,45.02
2013-03-25,48,48.23,47.49,47.66,2029800,44.84
2013-03-26,47.77,48.14,47.64,48.03,1380300,45.18
2013-03-27,47.74,48.19,47.62,48.15,1819600,45.3
2013-03-28,48.17,48.68,48.1,48.63,2803400,45.75
2013-04-01,48.55,48.6,48.39,48.5,1561100,45.63
2013-04-02,48.62,48.88,48.18,48.34,3028400,45.48
2013-04-03,48.42,48.48,47.94,48.1,2125200,45.25
2013-04-04,48.15,48.72,48.15,48.66,2086200,45.78
2013-04-05,48.3,48.83,48.04,48.71,2237200,45.82
2013-04-08,48.65,49.24,48.54,49.23,1891800,46.31
2013-04-09,49.33,49.33,48.97,49,1680200,46.1
2013-04-10,49.07,49.76,49.07,49.64,2556200,46.7
2013-04-11,49.7,50,49.47,49.93,2405400,46.97
2013-04-12,49.84,50.04,49.72,49.98,1685200,47.02
2013-04-15,49.82,49.96,49.07,49.07,2259300,46.16
2013-04-16,49.18,49.57,48.9,49.54,2412900,46.61
2013-04-17,49.42,49.6,48.91,49.37,2681200,46.45
2013-04-18,49.47,49.56,49.16,49.48,2263200,46.55
2013-04-19,49.61,50.1,49.49,49.94,3046800,46.98
2013-04-22,49.95,50.59,49.81,50.37,2396700,47.39
2013-04-23,50.33,50.64,50.13,50.64,2659900,47.64
2013-04-24,50.76,51.14,50.43,50.9,2751500,47.88
2013-04-25,51,51.17,50.65,50.76,7199500,47.75
2013-04-26,50.19,50.88,50.18,50.54,7132800,47.55
2013-04-29,50.73,51.38,50.56,51.31,7912900,48.27
2013-04-30,51.27,51.5,51.12,51.43,2638400,48.38
2013-05-01,51.48,51.6,51.12,51.23,2669700,48.2
2013-05-02,51.23,51.36,50.94,51.17,2163500,48.14
2013-05-03,51.39,51.5,51.02,51.08,2820800,48.05
2013-05-06,50.99,51.1,50.44,50.46,2611700,47.47
2013-05-07,50.55,51.08,50.48,51.07,2580600,48.04
2013-05-08,50.42,50.55,49.9,50.12,3171700,47.61
2013-05-09,50.1,50.25,48.73,48.83,3444800,46.38
2013-05-10,48.78,48.93,48.41,48.82,2691200,46.37
2013-05-13,48.67,48.77,48.44,48.67,2768000,46.23
2013-05-14,48.74,48.96,48.55,48.87,2484100,46.42
2013-05-15,48.86,49.75,48.79,49.41,2862700,46.93
2013-05-16,49.32,49.45,48.99,49.05,2228100,46.59
2013-05-17,49.15,49.65,49.08,49.64,2243200,47.15
2013-05-20,49.59,49.79,49.41,49.47,1751500,46.99
2013-05-21,49.47,49.67,49.1,49.36,2032000,46.89
2013-05-22,49.3,49.88,48.49,48.59,2938900,46.15
2013-05-23,48.18,48.54,46.07,48.28,2947100,45.86
2013-05-24,47.96,48.23,47.62,47.71,2110600,45.32
2013-05-28,47.14,47.23,46.31,46.56,7232600,44.23
2013-05-29,46.16,46.3,45.57,46.19,4280200,43.87
2013-05-30,46.38,47.53,46.05,46.09,3593300,43.78
2013-05-31,45.97,46.71,45.77,45.82,2809700,43.52
2013-06-03,45.8,46.31,45.02,46.14,4676200,43.83
2013-06-04,46.02,46.27,45.78,46.05,3282800,43.74
2013-06-05,45.87,45.93,45.5,45.61,2828800,43.32
2013-06-06,45.64,45.84,45.22,45.67,4674300,43.38
2013-06-07,45.75,46.35,45.63,46.15,4548700,43.84
2013-06-10,46.36,46.49,45.78,45.91,4701600,43.61
2013-06-11,45.56,45.84,45.31,45.36,3272500,43.09
2013-06-12,45.73,46.07,45.1,45.2,3535200,42.93
2013-06-13,45.23,45.95,44.86,45.92,3010200,43.62
2013-06-14,45.8,46.18,45.46,45.51,3946000,43.23
2013-06-17,45.75,46,45.41,45.57,3553500,43.29
2013-06-18,45.61,46.11,45.49,45.9,2853400,43.6
2013-06-19,45.81,45.93,44.78,44.79,4245600,42.54
2013-06-20,44.55,44.55,43.1,43.19,5732500,41.03
