Stock Quotes for AIG,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,54.99,55.71,54.94,55.38,6850700,55.25
2014-07-02,55.08,55.63,55.04,55.25,4718400,55.13
2014-07-03,55.51,55.99,55.36,55.64,3690000,55.51
2014-07-07,55.41,55.49,55.01,55.31,4264400,55.19
2014-07-08,55.1,55.15,54.72,54.93,7342700,54.81
2014-07-09,55.15,55.32,54.73,55.07,4087100,54.95
2014-07-10,54.07,54.57,53.13,54.48,8825100,54.36
2014-07-11,54.31,54.67,54.04,54.52,4044100,54.4
2014-07-14,54.93,55.25,54.87,55.1,5501100,54.98
2014-07-15,55.12,55.52,54.89,55.05,6686000,54.93
2014-07-16,55.34,55.46,54.87,55.04,5175900,54.92
2014-07-17,54.92,55.33,54.66,54.7,7546700,54.58
2014-07-18,54.91,55.26,54.64,55.2,4928400,55.08
2014-07-21,54.74,55.19,54.65,55.11,6565000,54.99
2014-07-22,54.8,55.05,54.54,54.7,8308600,54.58
2014-07-23,54.85,55.13,54.7,55.02,3877500,54.9
2014-07-24,55.2,55.39,54.9,55.17,4241400,55.05
2014-07-25,54.84,54.98,54.15,54.16,7389100,54.04
2014-07-28,54.14,54.17,53.46,53.95,7135500,53.83
2014-07-29,54,54.14,53.31,53.35,6326600,53.23
2014-07-30,53.66,53.74,52.95,53.05,6834900,52.93
2014-07-31,52.6,52.96,51.9,51.98,8272100,51.86
2014-08-01,51.82,52.41,51.61,52.05,9385500,51.93
2014-08-04,52.5,52.76,52.03,52.66,8888200,52.54
2014-08-05,53.53,53.7,51.75,52.2,22628800,52.08
2014-08-06,51.9,52.65,51.9,52.5,9990400,52.38
2014-08-07,52.83,53,51.98,52.06,13327800,51.94
2014-08-08,52.16,52.48,51.98,52.45,8128800,52.33
2014-08-11,52.56,53.04,52.4,52.9,6152200,52.78
2014-08-12,52.96,53.5,52.93,53.35,8064200,53.23
2014-08-13,53.61,53.78,53.35,53.53,8864600,53.41
2014-08-14,53.64,54.27,53.58,54.06,6442800,53.94
2014-08-15,54.32,54.37,53.42,53.99,5886300,53.87
2014-08-18,54.36,54.55,54.09,54.48,5614300,54.36
2014-08-19,54.67,54.9,54.5,54.62,5825400,54.5
2014-08-20,54.49,55.01,54.49,54.87,6276000,54.75
2014-08-21,54.81,55.75,54.73,55.58,8043700,55.45
2014-08-22,55.4,55.55,55.04,55.33,7236200,55.2
2014-08-25,55.7,56.09,55.6,55.89,8407700,55.76
2014-08-26,56.01,56.22,55.89,56.08,4749200,55.95
2014-08-27,56.27,56.31,56,56.16,6376900,56.03
2014-08-28,55.83,55.87,55.47,55.73,5346900,55.6
2014-08-29,55.95,56.09,55.74,56.06,4420100,55.93
2014-09-02,56.29,56.37,55.46,55.8,6048600,55.67
2014-09-03,55.93,56.06,55.56,55.58,5529300,55.45
2014-09-04,55.82,55.95,54.97,55.23,6436800,55.11
2014-09-05,55.06,55.35,54.64,55.04,5861100,54.92
2014-09-08,55.32,55.61,54.94,55.32,7415400,55.2
2014-09-09,55.03,55.25,54.51,55.08,6367700,55.08
2014-09-10,55.11,55.54,55.02,55.35,6888200,55.35
2014-09-11,55.08,55.63,55.03,55.43,4337300,55.43
2014-09-12,55.29,55.5,55.01,55.19,5654300,55.19
2014-09-15,55.11,55.45,54.74,55.4,5698300,55.4
