Stock Quotes for ALL,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,58.93,59.29,58.92,59.12,1789600,58.85
2014-07-02,59.08,59.49,58.89,59,1590200,58.73
2014-07-03,59.22,59.4,58.93,58.97,1530200,58.7
2014-07-07,58.72,58.81,58.4,58.53,2763600,58.27
2014-07-08,58.48,58.72,58.38,58.48,2882000,58.22
2014-07-09,58.38,58.7,58.18,58.48,2808700,58.22
2014-07-10,58.07,58.29,57.69,58.07,2701900,57.81
2014-07-11,57.94,58.25,57.76,58.2,1422800,57.94
2014-07-14,58.5,58.68,58.09,58.28,2224600,58.02
2014-07-15,58.46,58.65,58.31,58.46,2049100,58.2
2014-07-16,58.56,58.67,58.11,58.16,1901700,57.9
2014-07-17,58.03,58.6,57.81,57.82,1970400,57.56
2014-07-18,57.86,58.1,57.52,58.06,2016100,57.8
2014-07-21,57.83,58.13,57.57,58.01,1493900,57.75
2014-07-22,57.8,58.18,57.65,58.09,1881900,57.83
2014-07-23,58.13,58.49,58.12,58.33,1260500,58.07
2014-07-24,58.25,58.57,58.13,58.49,1138100,58.23
2014-07-25,58.25,58.34,57.88,57.94,1193000,57.68
2014-07-28,57.92,57.96,57.36,57.94,2130600,57.68
2014-07-29,57.23,57.79,57.03,57.05,3314600,56.79
2014-07-30,57.1,57.18,56.63,56.89,3104200,56.63
2014-07-31,58.19,59.89,57.2,58.45,6258600,58.19
2014-08-01,58.5,58.73,57.75,58.14,3260300,57.88
2014-08-04,58.35,59,58.12,58.96,5669000,58.69
2014-08-05,58.92,59.28,58.73,58.85,3138900,58.58
2014-08-06,58.72,59.59,58.72,59.58,2474000,59.31
2014-08-07,59.71,59.97,59.13,59.31,3130400,59.04
2014-08-08,59.55,59.7,58.99,59.67,2628400,59.4
2014-08-11,59.81,59.87,59.4,59.56,2272600,59.29
2014-08-12,59.6,60.19,59.58,60.15,3453200,59.88
2014-08-13,60.25,60.47,60.03,60.11,2574500,59.84
2014-08-14,60.19,60.79,60.19,60.78,2512900,60.5
2014-08-15,60.95,61.12,60.38,60.69,2418600,60.42
2014-08-18,60.97,61.3,60.89,61.28,2058300,61
2014-08-19,61.22,61.29,61.05,61.09,1624900,60.81
2014-08-20,61.12,61.44,60.91,61.4,1449600,61.12
2014-08-21,61.4,61.56,61.1,61.51,2367600,61.23
2014-08-22,61.27,61.47,61.09,61.22,1978400,60.94
2014-08-25,61.52,62.01,61.38,61.91,1893800,61.63
2014-08-26,61.88,62.09,61.74,61.86,1876400,61.58
2014-08-27,61.6,61.68,61.42,61.53,1666500,61.53
2014-08-28,61.33,61.54,61.13,61.15,1847100,61.15
2014-08-29,61.26,61.5,61.06,61.49,1934700,61.49
2014-09-02,61.73,61.97,61.52,61.83,1827100,61.83
2014-09-03,62.09,62.09,61.61,61.64,1479400,61.64
2014-09-04,61.67,61.87,61.32,61.37,1563800,61.37
2014-09-05,61.39,61.47,61.1,61.35,1871800,61.35
2014-09-08,61.84,61.84,61.2,61.39,1203700,61.39
2014-09-09,61.29,61.36,60.73,60.84,1757600,60.84
2014-09-10,61.06,61.15,60.79,60.89,1475800,60.89
2014-09-11,60.8,61.24,60.78,61.21,1764800,61.21
2014-09-12,61.08,61.27,60.76,61,2215700,61
2014-09-15,61.15,61.87,61.09,61.62,2063000,61.62
