Stock Quotes for AMGN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,100.61,101.25,97.22,99.13,5009900,96.79
2013-06-04,99.03,100.36,97.12,97.29,3164700,94.99
2013-06-05,97,98.33,94.57,94.6,4995200,92.37
2013-06-06,95.01,97.53,94.15,97.49,4670200,95.19
2013-06-07,98.77,100.26,98.32,98.81,3576300,96.48
2013-06-10,98.95,99.44,97.87,98.31,2901300,95.99
2013-06-11,97.26,99.01,96.62,97.93,2064500,95.62
2013-06-12,98.97,99.5,95.97,96.37,2579600,94.1
2013-06-13,96.38,98.7,95.94,98.51,2958100,96.18
2013-06-14,98.23,98.9,96.92,97.42,3126400,95.12
2013-06-17,98.72,100.09,98.5,99.08,3082500,96.74
2013-06-18,99.12,102.29,99.07,101.5,3329000,99.1
2013-06-19,101.69,102,99.15,99.18,3825500,96.84
2013-06-20,98.52,98.58,95.91,96.28,3875100,94.01
2013-06-21,97.08,99.12,95.06,98.28,6938000,95.96
2013-06-24,96.73,97.23,95.41,96.14,3745400,93.87
2013-06-25,97.64,98.75,95.64,96.38,3068900,94.1
2013-06-26,97.33,100.17,97.25,99.6,2975900,97.25
2013-06-27,100.48,100.62,98.35,98.99,2998200,96.65
2013-06-28,98.74,99.88,97.78,98.66,5269700,96.33
2013-07-01,100.2,101.72,97.28,97.49,4898700,95.19
2013-07-02,96.79,97.28,95.4,96.06,4006100,93.79
2013-07-03,95.21,96.5,95.05,95.81,2132600,93.55
2013-07-05,96.92,97.9,96.78,97.64,2233500,95.34
2013-07-08,98.46,99.22,97.9,98.18,2464300,95.86
2013-07-09,98.89,99.68,98.07,98.33,2085600,96.01
2013-07-10,98.16,102.33,98.02,102.06,4175500,99.65
2013-07-11,103.64,103.65,101.17,103.26,3567100,100.82
2013-07-12,103.56,104.27,102.24,104.27,3710500,101.81
2013-07-15,104.25,104.65,102.93,104.45,2532900,101.98
2013-07-16,104.27,104.9,103.54,104.05,1895700,101.59
2013-07-17,104.5,104.95,103.89,104.31,2184200,101.85
2013-07-18,104.55,106,104.27,104.77,2296700,102.3
2013-07-19,105.26,109.68,104.07,109.39,5448700,106.81
2013-07-22,108.25,109.1,107.82,108.95,2857100,106.38
2013-07-23,109.21,109.21,106.44,106.62,2560600,104.1
2013-07-24,107.44,107.49,105.88,106.6,1860200,104.08
2013-07-25,106.51,109.68,105.36,109.51,3355500,106.92
2013-07-26,109.02,109.88,108.41,109.6,2516500,107.01
2013-07-29,109.58,109.8,108.42,109.37,2027600,106.79
2013-07-30,109.92,111.3,109.4,111.2,3982200,108.57
2013-07-31,107.88,109.55,106.44,108.29,4432400,105.73
2013-08-01,109.6,109.88,108.42,109.39,2396200,106.81
2013-08-02,109.93,109.99,108.2,109.06,2103200,106.49
2013-08-05,108.9,108.97,107.26,107.43,1839700,104.89
2013-08-06,107,107.4,104.57,105.22,3633400,102.74
2013-08-07,104.59,113.3,103.31,112.4,9915200,109.75
2013-08-08,111.74,111.9,109.35,110.38,4758700,107.77
2013-08-09,108.93,111.38,108.36,109.63,2825300,107.04
2013-08-12,108.78,109.42,108.15,108.21,1854200,105.66
2013-08-13,108.63,108.92,107.03,107.86,2683300,105.31
2013-08-14,107.03,108.22,106.52,106.64,2170500,104.58
2013-08-15,105.94,108.52,104.59,105.76,3267800,103.72
2013-08-16,105.76,106.8,104.84,104.91,2525400,102.88
