Stock Quotes for AMZN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,325.86,333.2,325.1,332.39,3173600,332.39
2014-07-02,333.2,336.76,331.66,332.85,2681300,332.85
2014-07-03,334.83,338.3,333.08,337.49,1944300,337.49
2014-07-07,337.5,337.55,332.52,333.55,2128900,333.55
2014-07-08,333.1,333.74,321.4,323.81,4271600,323.81
2014-07-09,324.71,330.2,323.15,329.97,3166100,329.97
2014-07-10,324.34,329.98,322.65,327.92,2665000,327.92
2014-07-11,334.71,347,334.71,346.2,8300800,346.2
2014-07-14,347.03,355.77,345.36,355.32,5609900,355.32
2014-07-15,353.72,355.59,349.4,354.44,4170900,354.44
2014-07-16,355.62,359.32,353,355.9,3503600,355.9
2014-07-17,353.44,356.96,351.38,352.45,3636000,352.45
2014-07-18,354.4,359.68,352.08,358.66,3407400,358.66
2014-07-21,358.1,361.71,356.72,359.76,2278400,359.76
2014-07-22,355.25,362.93,355.25,360.84,2888900,360.84
2014-07-23,359.05,360.63,356.62,358.14,2687300,358.14
2014-07-24,359.98,364.85,358.52,358.61,7000000,358.61
2014-07-25,317.3,324.87,314.76,324.01,17846500,324.01
2014-07-28,324.25,324.82,316.5,320.41,5932000,320.41
2014-07-29,321.98,322.9,319.5,320,2883800,320
2014-07-30,321.45,322.73,318.5,322.51,3969000,322.51
2014-07-31,320.01,320.68,311.86,312.99,5192000,312.99
2014-08-01,313.69,315.83,304.59,307.06,7441500,307.06
2014-08-04,308.84,316.18,308.5,313.65,4200900,313.65
2014-08-05,313.3,314.55,310.06,312.32,2852100,312.32
2014-08-06,310.83,315.78,310.2,313.89,2296900,313.89
2014-08-07,315.21,315.88,309.65,311.45,2935600,311.45
2014-08-08,311.94,317.32,310.66,316.8,2705900,316.8
2014-08-11,318.48,320.38,316.88,318.33,2468600,318.33
2014-08-12,318.89,321.31,316.95,319.32,1915800,319.32
2014-08-13,327.6,331.72,326.14,326.28,4939100,326.28
2014-08-14,327.8,334.09,326.71,333.21,3420400,333.21
2014-08-15,334,335,328.32,333.63,3896700,333.63
2014-08-18,335.48,337.8,333.77,334.53,2485400,334.53
2014-08-19,334.87,335.81,333.01,335.13,1713800,335.13
2014-08-20,334.68,337.16,334.02,335.78,1810500,335.78
2014-08-21,336.48,336.58,332.23,332.91,1971100,332.91
2014-08-22,332.99,334.08,330.8,331.59,2211200,331.59
2014-08-25,333.21,336.77,332.71,334.02,1957700,334.02
2014-08-26,337,344.36,334.55,341.83,3638200,341.83
2014-08-27,342.09,346.67,341.34,343.18,2961600,343.18
2014-08-28,340,341.79,338.8,340.02,2252700,340.02
2014-08-29,341.76,341.82,337.68,339.04,1939500,339.04
2014-09-02,339.98,342.5,337.16,342.38,2326000,342.38
2014-09-03,342.54,343.27,337.55,339,1993700,339
2014-09-04,343.69,349.38,343.58,345.95,3952200,345.95
2014-09-05,346.3,346.83,342.5,346.38,2107000,346.38
2014-09-08,344.54,345.81,339.04,342.34,2955300,342.34
2014-09-09,341.61,341.76,329.18,329.75,4634000,329.75
2014-09-10,334.3,334.98,328.82,331.33,3797400,331.33
2014-09-11,329.94,333.01,326.39,330.52,2720200,330.52
2014-09-12,329.56,332.89,328.79,331.19,3429300,331.19
2014-09-15,330.91,331.33,319,323.89,4000400,323.89
