Stock Quotes for APA,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,80,80.75,79.53,80.74,3468800,79.35
2013-01-03,80.6,82.44,80.04,81.82,3095200,80.41
2013-01-04,82.2,83.72,81.91,83.2,3094800,81.77
2013-01-07,81.8,81.99,80.12,80.35,4713400,78.97
2013-01-08,80.17,80.25,79.4,79.91,2721300,78.53
2013-01-09,80.43,80.51,79.25,79.6,2535000,78.23
2013-01-10,80.2,80.72,79.68,80.71,2264600,79.32
2013-01-11,80.6,80.81,79.95,80.57,1942300,79.18
2013-01-14,80.36,80.89,79.92,80.33,1448600,78.95
2013-01-15,79.81,80.44,79.32,80.4,1926200,79.01
2013-01-16,80.19,80.97,79.94,80.83,2106100,79.44
2013-01-17,80.96,81.54,80.4,81.32,2163600,80.09
2013-01-18,81.33,82,81.25,81.82,2988300,80.58
2013-01-22,81.79,82.6,80.91,82.58,2724300,81.33
2013-01-23,82.45,82.95,81.95,82.06,2269700,80.82
2013-01-24,82.16,83.77,82.13,83.24,3445100,81.98
2013-01-25,83.51,84.48,83.5,84.15,3382600,82.87
2013-01-28,84.45,84.45,83.1,83.73,2444800,82.46
2013-01-29,83.73,85.58,83.57,85.38,3713400,84.09
2013-01-30,85.41,86.35,84.21,84.36,3304400,83.08
2013-01-31,84.13,84.42,83.5,83.76,2939700,82.49
2013-02-01,84.6,85.5,83.87,85.36,3340600,84.07
2013-02-04,84.76,84.8,83.36,83.57,3097200,82.3
2013-02-05,83.95,85.62,83.9,85.24,2882700,83.95
2013-02-06,84.54,85.16,84.1,84.91,2253300,83.62
2013-02-07,85.1,85.1,83.52,83.74,2584600,82.47
2013-02-08,84.13,85.18,84.11,84.65,2181700,83.37
2013-02-11,84.81,85.47,83.73,83.81,2207500,82.54
2013-02-12,84.06,84.43,83.33,84.18,2735900,82.9
2013-02-13,84.18,84.43,83.7,84.33,3167700,83.05
2013-02-14,83.72,84,80.11,80.33,8654200,79.11
2013-02-15,80.08,80.16,76.61,76.85,10830300,75.68
2013-02-19,76.84,77.36,76.27,77.3,5854800,76.13
2013-02-20,77.22,77.26,75.41,75.48,5908600,74.34
2013-02-21,75.2,75.64,74.48,75.11,4568900,73.97
2013-02-22,75.42,75.85,74.78,75.4,2984000,74.26
2013-02-25,76.04,76.04,73.25,73.25,3972400,72.14
2013-02-26,73.69,74.19,72.62,73.56,4187600,72.44
2013-02-27,73.35,74.8,73.35,74.38,3952600,73.25
2013-02-28,74.26,74.8,73.85,74.27,3507000,73.14
2013-03-01,73.56,74.12,72.76,73.75,3794200,72.63
2013-03-04,73.45,73.85,72.2,72.73,4528400,71.63
2013-03-05,73.21,73.44,72.72,72.85,3305400,71.75
2013-03-06,73.38,73.77,73.01,73.55,3099500,72.43
2013-03-07,74.51,76.48,74.24,75.65,5420100,74.5
2013-03-08,76.06,76.17,75.42,75.65,2494800,74.5
2013-03-11,75.43,75.73,74.51,75.51,2730300,74.37
2013-03-12,75.53,75.87,75.16,75.27,2289400,74.13
2013-03-13,75.18,75.6,75.07,75.28,1938800,74.14
2013-03-14,75.45,75.99,75.23,75.48,2647200,74.34
2013-03-15,75.13,76.24,74.7,75.68,4665500,74.53
2013-03-18,74.68,76.34,74.67,75.72,3283600,74.57
2013-03-19,75.78,75.91,74.14,74.66,2835800,73.53
2013-03-20,75.27,75.53,74.35,75.37,2577700,74.23
2013-03-21,74.91,75.33,74.12,74.15,2885600,73.03
2013-03-22,74.48,75.25,74.23,74.47,2948300,73.34
2013-03-25,74.65,75.15,74.29,74.63,2806800,73.5
2013-03-26,75.05,75.21,74.3,74.4,3880100,73.27
2013-03-27,74.01,75.98,73.68,75.93,4444600,74.78
2013-03-28,75.93,78.08,75.86,77.16,6026100,75.99
2013-04-01,77.21,77.25,75.7,76.71,2755400,75.55
2013-04-02,76.87,76.87,75.84,76.16,2567100,75.01
2013-04-03,76.07,76.09,74.4,74.85,3144500,73.72
2013-04-04,74.96,75.65,74.4,75,2449900,73.86
2013-04-05,74.1,74.79,73.58,74.2,3406300,73.08
2013-04-08,74.2,74.77,73.97,74.64,2176800,73.51
2013-04-09,74.6,75.87,74.03,75.49,2359500,74.35
2013-04-10,75.75,76.12,75.24,75.63,2509400,74.48
2013-04-11,75.89,76.78,75.69,76.52,2978100,75.36
2013-04-12,75.95,76.02,74.99,75.09,3672500,73.95
2013-04-15,74.34,74.52,72.59,72.62,3983400,71.52
2013-04-16,73.38,74,70.52,72.05,5598000,70.96
2013-04-17,71.41,72,70.6,71.45,5052800,70.37
2013-04-18,70.18,71.05,69.85,70.82,4833900,69.94
2013-04-19,71.25,71.3,68.57,68.84,5657300,67.99
2013-04-22,69.12,69.45,67.91,69.21,3213200,68.35
2013-04-23,69.5,70.77,69.17,70.46,3528400,69.59
2013-04-24,70.82,71.49,70.52,71.34,3159100,70.46
2013-04-25,71.61,73.26,71.12,72.48,3698600,71.58
2013-04-26,72.57,72.69,71.4,72.27,2106200,71.37
2013-04-29,72.63,73.67,71.71,73.16,2172100,72.25
2013-04-30,73.55,73.94,72.41,73.88,3337100,72.96
2013-05-01,73.45,73.88,72.53,73.42,3278700,72.51
2013-05-02,73.68,73.97,72.51,73.8,2391800,72.89
2013-05-03,74.3,75.91,74.3,75.24,2591500,74.31
2013-05-06,75.25,76.34,75.01,76.02,2210800,75.08
2013-05-07,76.51,77.58,76.31,76.7,2844000,75.75
2013-05-08,76.8,77.83,76.1,77.76,3702000,76.8
2013-05-09,78.51,81.85,78.51,81.47,9767700,80.46
2013-05-10,81.07,83.41,80.62,83.33,5826600,82.3
2013-05-13,81.84,83.5,81.84,83.28,4690000,82.25
2013-05-14,83.41,83.8,82.61,83.03,3521500,82
2013-05-15,82.73,82.81,80.85,81.89,3303100,80.87
2013-05-16,81.9,81.94,80.88,80.89,3029500,79.89
2013-05-17,81.03,81.69,80.55,81.3,4376200,80.29
2013-05-20,81.3,84.2,81.23,84.08,4728900,83.04
2013-05-21,83.96,84.86,83.68,84.36,3206600,83.31
2013-05-22,84.33,85.52,83.12,83.37,3961000,82.34
2013-05-23,81.27,81.88,80.74,81.85,4890200,80.84
2013-05-24,81.45,81.86,80.97,81.66,1873100,80.65
2013-05-28,82.71,83.2,81.41,82.39,3051700,81.37
2013-05-29,81.71,85.14,81.54,84.29,4128500,83.25
2013-05-30,83.91,85.15,83.11,84.75,3585100,83.7
2013-05-31,84.4,85.29,82.09,82.13,3875100,81.11
2013-06-03,82.71,84.58,82.12,84.57,5404500,83.52
2013-06-04,84.13,84.92,83.5,84.35,2648600,83.3
2013-06-05,84.99,86.31,84.68,84.74,4577800,83.69
2013-06-06,85,85.86,84.22,85.8,3539900,84.74
2013-06-07,85.75,86.1,84.59,84.73,4017500,83.68
2013-06-10,84.93,85.82,84.37,85.61,3812800,84.55
2013-06-11,84.58,84.93,84.15,84.4,3810600,83.35
2013-06-12,85,85.36,84.26,84.45,5127500,83.4
2013-06-13,84.14,85.24,83.9,85.12,2531000,84.06
2013-06-14,85.44,85.61,84.49,84.89,2514400,83.84
2013-06-17,85.34,86.92,85.29,86.52,3371800,85.45
2013-06-18,86.45,87.57,86.26,87.12,2980400,86.04
2013-06-19,87.23,87.57,86.57,86.57,3405800,85.5
2013-06-20,85.61,85.85,84.2,84.93,4891000,83.88
2013-06-21,85.56,85.64,84.45,85.04,4977300,83.99
2013-06-24,83.72,84.27,81.67,82.18,4594700,81.16
2013-06-25,82.87,83.12,82.3,82.64,3147400,81.62
2013-06-26,83.21,83.59,82.85,83.17,2421500,82.14
2013-06-27,83.55,84.22,83.3,84.06,2605600,83.02
2013-06-28,83.61,84.59,83.29,83.83,3273100,82.79
2013-07-01,84.21,84.32,83.03,83.3,4718400,82.27
2013-07-02,83.22,84.33,81.47,82.13,5069700,81.11
2013-07-03,81.77,81.93,79.5,80.23,5293200,79.24
2013-07-05,81.77,83.01,81.28,82.17,5102300,81.15
2013-07-08,82.52,82.88,81.32,81.45,3257900,80.44
2013-07-09,81.87,82.19,80.75,81.46,3758600,80.45
2013-07-10,81.4,81.43,80.13,80.33,4649600,79.33
2013-07-11,80.95,81.94,80.07,81.69,4688100,80.68
2013-07-12,81.57,82.57,81.45,82.41,2286100,81.39
2013-07-15,82.39,83.21,82.13,82.97,2733400,81.94
2013-07-16,82.96,83.22,81.45,82.03,2830800,81.01
2013-07-17,82.06,82.52,81.8,82.51,2763000,81.49
2013-07-18,82.51,83.68,82.47,83.6,2929400,82.76
2013-07-19,85.25,85.41,83.89,84.98,5977400,84.13
2013-07-22,84.9,84.97,83.71,83.9,3147200,83.06
2013-07-23,83.89,84.15,83.3,83.57,1917300,82.73
2013-07-24,83.31,83.56,81.86,82.51,2298500,81.69
2013-07-25,82.54,83.31,81.9,82.77,2184700,81.94
2013-07-26,82.29,82.41,81.73,82.06,1880800,81.24
2013-07-29,81.8,81.92,80.49,81.15,2458500,80.34
2013-07-30,81,81.05,79.99,80.58,2333500,79.77
2013-07-31,80.77,81.95,80.25,80.25,3034300,79.45
2013-08-01,81.85,82.33,80.52,81.68,2916200,80.86
2013-08-02,81.25,82.29,80.89,82,3843100,81.18
2013-08-05,81.97,82.48,81.46,82.31,2438000,81.49
2013-08-06,82.29,82.49,81.62,82.26,3302600,81.44
2013-08-07,82.12,82.54,81.35,81.94,3248600,81.12
2013-08-08,82,83.51,81.92,83.18,2332000,82.35
2013-08-09,83.04,83.51,82.38,83.2,1845200,82.37
2013-08-12,82.56,83.37,82.4,82.7,1369100,81.87
2013-08-13,82.87,83,82.14,82.51,1837100,81.69
2013-08-14,82.41,82.56,80.72,80.74,3349600,79.93
2013-08-15,80.34,80.42,79.56,80.27,2642300,79.47
2013-08-16,80.05,80.18,78.83,78.99,3453300,78.2
2013-08-19,78.42,78.45,75.28,75.37,6771700,74.62
2013-08-20,75.8,76.99,75.07,76.27,4362300,75.51
2013-08-21,76.49,77.87,76.3,77.22,4464500,76.45
2013-08-22,77.47,79.34,77.16,78.99,2402200,78.2
2013-08-23,79.28,79.92,78.4,79.8,2466000,79
2013-08-26,79.95,80.8,79.69,79.73,2306300,78.93
2013-08-27,78.22,79.23,78.16,78.57,2879700,77.78
2013-08-28,78.72,80.31,78.64,79.17,2377800,78.38
2013-08-29,78.91,79.05,78.42,78.64,1737300,77.85
2013-08-30,84.86,85.99,84.15,85.68,13946800,84.82
2013-09-03,86.5,86.69,84.41,84.79,4539500,83.94
2013-09-04,84.56,86,84.5,85.53,3669500,84.67
2013-09-05,85.98,86.73,85.76,86.19,3765300,85.33
2013-09-06,86.19,87.17,85.81,86.51,2794200,85.65
2013-09-09,86.06,87.03,86.01,86.66,2411800,85.79
2013-09-10,87.65,87.76,86.85,87.26,3453300,86.39
2013-09-11,86.62,87.23,86.23,87.03,3094800,86.16
2013-09-12,87.03,87.63,86.76,87.2,2334100,86.33
2013-09-13,87.08,87.42,86.43,86.81,1932800,85.94
2013-09-16,87.78,87.86,86.91,87,2793000,86.13
2013-09-17,87.82,88.74,87.55,88.25,3331200,87.37
2013-09-18,88.05,89.17,87.44,88.93,2608000,88.04
2013-09-19,89,89.11,88.05,88.47,1658700,87.59
2013-09-20,88.54,88.61,87.6,87.85,4749900,86.97
2013-09-23,87.5,87.82,87,87.37,1810800,86.5
2013-09-24,87.5,87.88,86.57,87,2072100,86.13
2013-09-25,87.28,87.55,86.59,86.63,2203500,85.76
2013-09-26,86.92,87,86.03,86.49,2030300,85.63
2013-09-27,86.24,86.9,86.06,86.25,1849900,85.39
2013-09-30,85.43,85.59,84.75,85.14,2061300,84.29
2013-10-01,84.76,86.84,84.76,86.47,2491700,85.61
2013-10-02,85.96,86.46,84.97,86.07,2725300,85.21
2013-10-03,86.08,86.46,85.28,85.63,1662000,84.77
2013-10-04,85.56,87.29,85.36,87,1982800,86.13
2013-10-07,86.04,87.16,85.63,86.82,1910500,85.95
2013-10-08,87.04,87.45,85.98,86.1,2614700,85.24
2013-10-09,86.42,86.48,84.95,85.92,2162300,85.06
2013-10-10,86.62,87.68,86.44,87.62,2005800,86.74
2013-10-11,86.88,88.31,86.8,87.95,1764400,87.07
2013-10-14,87.24,89.33,87.13,88.62,1608600,87.73
2013-10-15,88.52,89.59,88.18,88.73,2721700,87.84
2013-10-16,89,90.74,89,90.23,2965800,89.33
2013-10-17,90,90.64,89.68,90.57,2231400,89.66
2013-10-18,90.77,91.65,90.57,91.26,2761400,90.55
2013-10-21,90.6,91.13,88.81,89.59,3557700,88.89
2013-10-22,89.85,90.6,89.21,89.7,1799200,89
2013-10-23,89.26,89.59,88.09,88.74,1981200,88.05
2013-10-24,88.73,90.24,88.47,89.77,2026000,89.07
2013-10-25,90.11,90.53,89.77,90.45,1705600,89.74
2013-10-28,90.53,90.72,90,90.36,1757600,89.65
2013-10-29,90.55,91.21,90.41,90.85,1563900,90.14
2013-10-30,90.64,91.18,88.21,88.93,2157700,88.24
