Stock Quotes for APC,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,87.85,89.09,87.39,88.55,3049600,87.47
2013-06-04,88.08,88.62,86.78,87.52,2557900,86.45
2013-06-05,87.1,87.57,86.19,86.26,2162800,85.21
2013-06-06,86.36,87.29,85.34,86.9,2965200,85.84
2013-06-07,87.66,88.78,87.42,87.98,2307700,86.91
2013-06-10,88.12,88.53,87.43,88.08,1886100,87.1
2013-06-11,86.45,87.27,85.82,86.2,2615700,85.24
2013-06-12,87.46,87.46,85.44,85.88,2315400,84.92
2013-06-13,85.99,87.65,85.81,87.45,2409900,86.47
2013-06-14,87.74,87.77,85.69,86.11,2014600,85.15
2013-06-17,87,87.7,86.35,87.05,2000000,86.08
2013-06-18,87.38,87.85,86.66,87,2848900,86.03
2013-06-19,86.92,87.78,86.25,86.26,2658800,85.3
2013-06-20,84.86,85.24,82.68,83.11,3742300,82.18
2013-06-21,83.63,83.9,82.1,83.44,4077200,82.51
2013-06-24,82.27,84.16,80.44,82.97,4247500,82.04
2013-06-25,83.99,85.41,83.78,85.08,4294800,84.13
2013-06-26,85.85,86.8,84.79,86.34,4001900,85.38
2013-06-27,87.05,87.49,85.98,86.03,2146000,85.07
2013-06-28,85.45,86.75,85.17,85.93,2454300,84.97
2013-07-01,86.33,87.85,86.21,86.79,2780300,85.82
2013-07-02,86.86,87.91,86.44,86.77,2410000,85.8
2013-07-03,86.69,87.06,86.08,86.93,1460900,85.96
2013-07-05,87.48,88.53,87,88.38,1583700,87.39
2013-07-08,88.72,89.2,88.09,88.3,2410900,87.31
2013-07-09,88.77,89.36,88.28,88.36,2475400,87.37
2013-07-10,88.54,89.62,88.13,88.62,2581900,87.63
2013-07-11,89.94,90.8,89.29,90.61,2763100,89.6
2013-07-12,90.3,90.85,89.43,90.7,3129700,89.69
2013-07-15,90.67,90.68,89.08,89.11,3317000,88.11
2013-07-16,89.22,89.37,87.85,88.24,3576800,87.25
2013-07-17,88.43,89.49,88.36,88.88,1841300,87.89
2013-07-18,89.31,90.32,89.31,90.26,3716700,89.25
2013-07-19,90.57,92.86,90.27,92.85,3409600,91.81
2013-07-22,92.45,92.9,91.05,91.05,3233100,90.03
