Stock Quotes for AXP,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,95.42,96.24,95.28,95.35,3026300,95.09
2014-07-02,95.19,95.78,95.06,95.21,1595500,94.95
2014-07-03,95.58,95.94,95.22,95.84,1633800,95.58
2014-07-07,95.5,95.66,95.12,95.4,1962800,95.14
2014-07-08,94.92,95.01,93.57,94.57,2828700,94.31
2014-07-09,95.44,95.55,94.41,94.74,2645500,94.74
2014-07-10,93.55,94.81,93.16,94.46,2230000,94.46
2014-07-11,94.27,94.59,93.75,94.47,2108500,94.47
2014-07-14,95.23,95.58,94.43,94.54,2388000,94.54
2014-07-15,94.79,95.16,94,94.45,3499200,94.45
2014-07-16,94.81,95.09,94.27,94.47,2738000,94.47
2014-07-17,93.96,94.7,92.91,92.99,3110800,92.99
2014-07-18,93.32,93.93,93.1,93.53,3363000,93.53
2014-07-21,93.29,93.4,92.38,92.88,2321800,92.88
2014-07-22,93.51,94.06,93.22,93.37,2411600,93.37
2014-07-23,93.19,93.59,92.82,93.28,1984800,93.28
2014-07-24,93.33,93.62,92.85,93.15,2898200,93.15
2014-07-25,92.74,93.07,91.58,91.93,3903500,91.93
2014-07-28,91.9,92.03,90.9,91.86,4274000,91.86
2014-07-29,91.83,92.23,91.51,91.71,4773300,91.71
2014-07-30,92.11,92.32,90.04,90.91,5069300,90.91
2014-07-31,90.07,90.26,87.99,88,7561100,88
2014-08-01,87.41,87.74,85.75,86.47,12258300,86.47
2014-08-04,86.6,87.24,86.45,86.93,5743800,86.93
2014-08-05,86.65,87.02,85.89,86.36,5004400,86.36
2014-08-06,86.04,86.79,86,86.4,4805600,86.4
2014-08-07,86.79,87.14,85.89,86.02,4539100,86.02
2014-08-08,86.09,87.51,85.91,87.47,4206700,87.47
2014-08-11,87.92,88.16,86.94,86.95,3354600,86.95
2014-08-12,87,87.09,86.7,87.08,3106600,87.08
2014-08-13,87.44,88.07,87.16,87.4,2590600,87.4
2014-08-14,87.5,87.8,87.1,87.27,3498800,87.27
2014-08-15,87.78,87.88,86.23,86.6,3290800,86.6
2014-08-18,87.29,87.48,86.98,87.16,2662100,87.16
2014-08-19,87.58,88.28,87.45,88.12,3523700,88.12
2014-08-20,88.01,88.65,87.9,88.49,3142900,88.49
2014-08-21,88.64,89.33,88.59,89.14,3019300,89.14
2014-08-22,88.89,89.51,88.83,88.88,2796200,88.88
2014-08-25,89.56,90.22,89.32,89.59,3718600,89.59
2014-08-26,89.61,89.93,89.08,89.15,2920600,89.15
2014-08-27,89.25,89.59,88.99,89.24,2632300,89.24
2014-08-28,88.84,89.33,88.61,89.02,3324900,89.02
2014-08-29,89.37,89.7,89.09,89.55,2672700,89.55
2014-09-02,89.9,90.13,89.28,89.72,3592100,89.72
2014-09-03,90.13,90.49,90,90.14,2930800,90.14
2014-09-04,90.11,90.46,89.42,89.65,2594100,89.65
2014-09-05,89.64,89.74,89.02,89.61,2571200,89.61
2014-09-08,89.4,89.83,88.62,88.93,3617600,88.93
2014-09-09,88.85,88.9,87.75,87.9,4014300,87.9
2014-09-10,88.1,88.66,88.01,88.41,3452700,88.41
2014-09-11,88.01,88.6,87.88,88.42,2757000,88.42
2014-09-12,88.18,88.3,87.44,87.64,4724500,87.64
2014-09-15,88.35,88.35,87.11,87.38,3983800,87.38
