Stock Quotes for BHI,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,41.67,42.14,40.98,42.13,4605200,41.31
2013-01-03,42.04,43.07,41.55,42.55,4456800,41.72
2013-01-04,42.53,43.6,42.44,43.53,3245500,42.68
2013-01-07,43.17,43.2,42.66,43.01,2785600,42.17
2013-01-08,42.44,42.44,41.77,42.36,3289700,41.53
2013-01-09,42.5,42.62,42.09,42.41,2460800,41.58
2013-01-10,42.81,43.1,42.7,43.03,1818300,42.19
2013-01-11,43.1,43.19,42.67,43.01,2142500,42.17
2013-01-14,42.9,43.03,41.93,42.01,3350800,41.19
2013-01-15,41.82,42.35,41.64,42.19,2966800,41.37
2013-01-16,42.1,42.56,42.02,42.47,1887000,41.64
2013-01-17,42.62,42.89,42.34,42.73,2514300,41.9
2013-01-18,42.99,44.3,42.99,44.3,8071200,43.44
2013-01-22,44.2,45.14,43.76,44.85,6218400,43.97
2013-01-23,44.9,45.5,44.3,45.21,5592700,44.33
2013-01-24,45.25,45.52,44.54,44.92,2699000,44.04
2013-01-25,45.4,46.9,45.26,45.61,5110600,44.72
2013-01-28,45.71,46.19,45.4,45.62,2858200,44.73
2013-01-29,45.56,45.94,45.3,45.85,2975200,44.96
2013-01-30,45.75,45.93,44.82,44.95,4611100,44.07
2013-01-31,44.68,45.07,44.48,44.72,4279300,43.99
2013-02-01,45.14,45.25,44.62,45.03,3732800,44.3
2013-02-04,44.71,44.92,44.34,44.37,2362100,43.65
2013-02-05,44.66,45.1,44.35,45.09,2483800,44.36
2013-02-06,44.73,45.39,44.4,45.22,3449700,44.49
2013-02-07,45.32,45.55,44.77,44.84,2847200,44.11
2013-02-08,44.99,45.65,44.91,45.65,2118900,44.91
2013-02-11,45.1,45.62,45.1,45.4,3001300,44.66
2013-02-12,45.35,45.83,45.24,45.82,2155500,45.08
2013-02-13,45.86,46.24,45.83,46.13,2369500,45.38
2013-02-14,46.07,47.77,46.02,47.26,6129100,46.49
2013-02-15,47.43,47.53,46.26,46.58,4132800,45.82
2013-02-19,46.85,47.15,46.59,46.65,4087700,45.89
2013-02-20,47.02,47.05,46.05,46.08,4753300,45.33
2013-02-21,45.82,45.82,44.93,45.56,3621000,44.82
2013-02-22,45.87,46.03,45.16,45.8,2267300,45.06
2013-02-25,46.06,46.46,44.2,44.25,2866500,43.53
2013-02-26,44.55,44.81,43.65,44.46,2994300,43.74
2013-02-27,44.25,45.41,44.25,45.22,2490000,44.49
2013-02-28,45.11,45.26,44.56,44.82,3045000,44.09
2013-03-01,44.5,44.54,43.71,44.39,3059200,43.67
2013-03-04,44.24,44.37,43.04,43.54,3788800,42.83
2013-03-05,43.91,44.49,43.52,44.19,3285700,43.47
2013-03-06,44.45,44.51,43.85,44.42,2288900,43.7
2013-03-07,44.56,45.4,44.42,45.24,4139900,44.51
2013-03-08,45.39,46.1,45.38,46.08,3980900,45.33
2013-03-11,45.92,45.99,45.52,45.84,3354400,45.1
2013-03-12,45.89,46.29,45.52,46.29,3871500,45.54
2013-03-13,46.27,46.51,45.88,46.03,2162000,45.28
2013-03-14,46.13,47.24,45.98,47.22,3770400,46.45
2013-03-15,47.16,48,47.05,47.96,6777800,47.18
