Stock Quotes for BIIB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,317.03,326.23,315.24,324.74,1179500,324.74
2014-07-02,325.25,332.78,324.01,331,1183800,331
2014-07-03,330.8,332.93,328.23,331.15,700600,331.15
2014-07-07,329.4,332.97,324,325.68,802300,325.68
2014-07-08,324,324.6,316.91,317.59,1235700,317.59
2014-07-09,322.62,322.87,313.61,320.14,1027100,320.14
2014-07-10,317.1,321.41,315,319.12,825300,319.12
2014-07-11,320,323.44,316.04,322.22,946900,322.22
2014-07-14,325.12,325.12,319.06,319.75,876500,319.75
2014-07-15,320.76,321.81,311.92,312,1391100,312
2014-07-16,313.83,313.83,302.55,303.74,1803800,303.74
2014-07-17,301.85,307.99,298.31,299.29,1651300,299.29
2014-07-18,301.12,305.82,298.64,304.1,1550700,304.1
2014-07-21,303.04,304.24,300.4,302.5,1027800,302.5
2014-07-22,305.18,308.68,302.94,303.67,1200100,303.67
2014-07-23,335,343.59,331,337.6,4143000,337.6
2014-07-24,337.6,339.83,335.22,336.79,1599900,336.79
2014-07-25,334.78,337.5,332.77,335.45,1068600,335.45
2014-07-28,334.68,338.34,332.1,336.39,995600,336.39
2014-07-29,337,344.07,335.7,341.73,1286000,341.73
2014-07-30,344.45,349,343.02,344.52,1303300,344.52
2014-07-31,342.72,342.86,333.35,334.39,1168500,334.39
2014-08-01,332.93,337.82,325.85,329.83,1319300,329.83
2014-08-04,330.08,330.94,325.76,326.55,989300,326.55
2014-08-05,325.58,328.55,322.14,325.23,1125300,325.23
2014-08-06,324.06,328.49,322,325.2,940600,325.2
2014-08-07,326,327.36,319.8,320.6,872700,320.6
2014-08-08,320.88,326.4,319.32,324.05,1196900,324.05
2014-08-11,327.3,327.44,319.07,320.34,983000,320.34
2014-08-12,319.96,325.64,317,324.96,1045600,324.96
2014-08-13,325.51,335.39,324.13,334.64,1449200,334.64
2014-08-14,335.05,338.51,333.66,337.01,1319200,337.01
2014-08-15,339.25,343.03,330.7,342.47,1722400,342.47
2014-08-18,347.59,348.4,342.09,344.6,1223600,344.6
2014-08-19,344.82,348.49,343.29,345.84,815700,345.84
2014-08-20,343.68,345.46,340.67,342.58,700100,342.58
2014-08-21,342.73,344.42,337.19,338.65,663700,338.65
2014-08-22,339.84,341.9,337,339.97,677300,339.97
2014-08-25,342.54,345.75,341.08,342.7,719300,342.7
2014-08-26,343.39,343.6,340.01,342.99,836800,342.99
2014-08-27,343.46,343.76,338.54,343.36,972100,343.36
2014-08-28,341.14,343.83,339.52,341.24,643800,341.24
2014-08-29,343.63,343.63,339.18,343.04,700100,343.04
2014-09-02,345.47,347.79,340.6,342.68,715600,342.68
2014-09-03,343.37,345.81,342.17,344.12,735700,344.12
2014-09-04,344.37,344.44,333.78,334.83,827700,334.83
2014-09-05,335.04,335.75,321,330.48,1910600,330.48
2014-09-08,329.28,331.85,326.74,331.31,927200,331.31
2014-09-09,330.74,330.74,326.03,326.83,840800,326.83
2014-09-10,325.99,333,325.99,332.08,811100,332.08
2014-09-11,330.41,332.81,324.74,327.11,925300,327.11
2014-09-12,327.31,328.16,321.11,323.39,802500,323.39
2014-09-15,323.4,323.97,315.71,320.12,1062800,320.12
