Stock Quotes for BMY,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,47.1,49.57,46.75,47.59,27384300,45.89
2013-06-04,47.03,48.18,46.4,46.83,21511100,45.15
2013-06-05,46.73,47.08,45.77,46.17,13964000,44.52
2013-06-06,46.38,47.29,45.92,47,12443300,45.32
2013-06-07,47.09,47.5,46.85,47.5,11199700,45.8
2013-06-10,47.6,47.82,47.11,47.31,7340400,45.62
2013-06-11,47,47.72,46.75,47.29,9303200,45.6
2013-06-12,47.59,47.93,46.56,46.57,8841600,44.9
2013-06-13,46.27,47.25,46.25,47.17,8511600,45.48
2013-06-14,47.25,47.49,46.77,46.8,7540700,45.12
2013-06-17,46.97,47.08,46.13,46.44,9537100,44.78
2013-06-18,46.6,47,46.46,46.85,7155500,45.17
2013-06-19,46.6,47.03,46.03,46.05,7826000,44.4
2013-06-20,45.81,45.87,44.32,44.58,12529600,42.98
2013-06-21,45.01,46.07,44.83,45.73,15314100,44.09
2013-06-24,45.32,45.96,44.89,45.47,8740100,43.84
2013-06-25,45.77,45.77,45.07,45.18,6949000,43.56
2013-06-26,45.56,46.72,45.23,46.47,9040900,44.81
2013-06-27,46.57,46.85,46.17,46.3,5895700,44.64
2013-06-28,46.01,46.53,44.68,44.69,16318900,43.09
2013-07-01,45.06,45.54,44.63,44.82,10018400,43.22
2013-07-02,44.42,44.9,43.87,43.99,10519200,42.75
2013-07-03,43.95,43.95,42.96,43.32,7264400,42.1
2013-07-05,43.74,44.25,43.41,44.18,5466800,42.93
2013-07-08,44.06,44.42,43.9,43.97,6756500,42.73
2013-07-09,44.28,44.69,44.14,44.54,6101000,43.28
2013-07-10,44.46,45.05,44.46,44.86,5258900,43.59
2013-07-11,45.5,46.14,45.38,46.03,8572800,44.73
2013-07-12,45.66,46.01,45.25,45.81,8591000,44.52
2013-07-15,45.66,45.68,45.04,45.16,5919500,43.89
2013-07-16,45.19,45.52,44.89,44.99,4515600,43.72
2013-07-17,45.18,45.44,44.51,44.51,8247000,43.25
2013-07-18,44.62,44.64,43.85,43.95,8158300,42.71
2013-07-19,43.99,44.34,43.53,44.19,9116500,42.94
2013-07-22,44.26,45,44.14,45,7308500,43.73
2013-07-23,45.02,45.32,44.71,45.19,6990000,43.92
2013-07-24,45.21,45.39,44.51,44.59,5237400,43.33
2013-07-25,43.83,45.45,43.5,43.93,13016300,42.69
2013-07-26,43.82,44.27,43.15,44.22,8223600,42.97
2013-07-29,44.1,44.32,43.7,43.76,8874900,42.53
2013-07-30,44.02,44.05,43.04,43.33,9836800,42.11
2013-07-31,43.38,43.65,43.19,43.24,7961700,42.02
2013-08-01,43.7,44.23,43.46,43.99,7702600,42.75
2013-08-02,44.07,44.28,43.76,43.84,6180300,42.6
2013-08-05,43.71,43.99,43.4,43.62,5975500,42.39
2013-08-06,43.74,44.39,43.45,44.14,6843400,42.89
2013-08-07,43.96,44.07,43.69,43.74,4702800,42.51
2013-08-08,44.02,44.19,43.39,44,5931500,42.76
2013-08-09,43.79,44.1,43.49,43.69,4189100,42.46
2013-08-12,43.39,43.45,43.01,43.11,6177700,41.89
