Stock Quotes for BRK-B,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,126.72,127.64,126.66,127.24,2885300,127.24
2014-07-02,127.08,127.73,126.83,127.73,2599700,127.73
2014-07-03,127.91,129.39,127.81,129.3,2511400,129.3
2014-07-07,129.15,129.15,128.17,128.7,2875600,128.7
2014-07-08,128.24,129.09,128.17,128.22,3052400,128.22
2014-07-09,128.49,128.87,128.31,128.75,1923800,128.75
2014-07-10,128,128.72,127.61,128.45,2788600,128.45
2014-07-11,128.3,128.72,127.93,128.63,1819800,128.63
2014-07-14,129,129.28,128.68,128.98,1541600,128.98
2014-07-15,128.68,129.17,128,128.49,2931200,128.49
2014-07-16,128.66,128.75,127.88,128.11,2297600,128.11
2014-07-17,127.92,128.12,126.4,126.52,2834500,126.52
2014-07-18,126.91,128.45,126.88,128.28,3563500,128.28
2014-07-21,127.92,128.75,127.62,128.58,1787200,128.58
2014-07-22,129,129,128.23,128.42,1786200,128.42
2014-07-23,128.24,128.58,128.05,128.13,1527600,128.13
2014-07-24,128.39,128.68,128.06,128.35,2241300,128.35
2014-07-25,128.02,128.17,127.4,127.55,1807700,127.55
2014-07-28,127.55,128.45,126.63,128.37,1966900,128.37
2014-07-29,128.26,128.66,127.36,127.36,2346600,127.36
2014-07-30,127.51,128.42,126.83,127.74,2066400,127.74
2014-07-31,127.24,127.76,125.37,125.43,3630600,125.43
2014-08-01,125,126.95,122.72,125.83,3947900,125.83
2014-08-04,128.06,130.03,127.08,129.72,4876800,129.72
2014-08-05,129.7,129.75,127.36,127.99,3303500,127.99
2014-08-06,127.97,129.57,127.51,129.11,2719300,129.11
2014-08-07,129.69,129.88,128.52,128.95,3443100,128.95
2014-08-08,128.8,130.95,128.62,130.9,3761100,130.9
2014-08-11,131.41,132.8,130.94,131.95,2782400,131.95
2014-08-12,132.24,133.19,131.66,133.06,2742900,133.06
2014-08-13,133.34,133.43,132.46,133.08,2850400,133.08
2014-08-14,133.23,135.38,133.14,135.3,4481900,135.3
2014-08-15,135.79,135.8,133.13,134.34,3940500,134.34
2014-08-18,135.47,135.47,134.68,135.03,2960400,135.03
2014-08-19,135.85,135.85,134.52,134.9,2284200,134.9
2014-08-20,135,135.1,134.45,134.91,2329800,134.91
2014-08-21,135.24,136.82,135.04,136.81,3328000,136.81
2014-08-22,136.41,136.6,135.56,135.75,2417200,135.75
2014-08-25,136.43,136.75,136.07,136.23,2305900,136.23
2014-08-26,136.69,136.75,136.12,136.25,2144700,136.25
2014-08-27,136.61,136.69,136.01,136.52,1893400,136.52
2014-08-28,136.28,136.51,135.88,136.11,2114000,136.11
2014-08-29,136.18,137.25,136.01,137.25,2898100,137.25
2014-09-02,138.03,138.27,137.06,137.96,3319300,137.96
2014-09-03,138.5,138.5,137.34,137.73,2789600,137.73
2014-09-04,137.97,138.55,137.42,137.95,2563100,137.95
2014-09-05,137.71,138.35,137.34,138.07,3475900,138.07
2014-09-08,138.17,138.9,138.05,138.28,2536000,138.28
2014-09-09,138.34,138.42,136.68,136.89,2959500,136.89
2014-09-10,137.27,137.95,137.16,137.72,2037900,137.72
2014-09-11,137.17,137.97,137,137.92,2016900,137.92
2014-09-12,137.92,138.18,136.76,137.09,3291300,137.09
2014-09-15,137.73,138.13,137.01,138.04,2859500,138.04
