Stock Quotes for C,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,47.42,47.9,47.22,47.46,16699800,47.45
2014-07-02,47.54,48.25,47.5,48.01,16774600,48
2014-07-03,48.38,48.71,48.07,48.24,13643100,48.23
2014-07-07,48.05,48.11,47.59,47.98,12052300,47.97
2014-07-08,47.7,47.73,47.25,47.42,13808800,47.41
2014-07-09,47.47,47.67,47.2,47.38,14195300,47.37
2014-07-10,46.71,47.05,46.55,46.9,18671600,46.89
2014-07-11,46.82,47.01,46.57,47,15205700,46.99
2014-07-14,48.67,48.83,48.35,48.42,36149700,48.41
2014-07-15,48.82,49.46,48.82,49.29,34419100,49.28
2014-07-16,49.49,49.87,49.4,49.82,23590400,49.81
2014-07-17,49.5,49.98,49.16,49.18,23847600,49.17
2014-07-18,49.49,49.81,49.31,49.56,15453900,49.55
2014-07-21,49.16,49.47,49.07,49.35,10920200,49.34
2014-07-22,49.6,49.83,49.38,49.6,13125500,49.59
2014-07-23,49.61,50.59,49.36,50.18,20099200,50.17
2014-07-24,50.22,50.47,49.96,50.09,13282600,50.08
2014-07-25,49.99,50.2,49.94,50.03,10082900,50.02
2014-07-28,49.95,50.08,49.54,49.7,12070400,49.69
2014-07-29,49.73,49.87,49.42,49.42,13165800,49.41
2014-07-30,49.67,50.27,49.63,50,15327600,49.99
2014-07-31,49.56,49.92,48.91,48.91,23550900,48.91
2014-08-01,48.59,49.03,47.9,48.1,21822700,48.1
2014-08-04,48.45,48.5,48.06,48.34,14277000,48.34
2014-08-05,48.26,48.49,47.65,47.89,15912700,47.89
2014-08-06,47.75,48.53,47.75,48.14,13038300,48.14
2014-08-07,48.5,48.63,47.89,48.06,12377000,48.06
2014-08-08,48.06,48.5,47.78,48.45,12001500,48.45
2014-08-11,48.55,48.6,48.23,48.39,9130300,48.39
2014-08-12,48.21,48.68,48.05,48.44,9238600,48.44
2014-08-13,48.62,48.89,48.53,48.75,8602600,48.75
2014-08-14,48.83,49.15,48.74,49.13,9693100,49.13
2014-08-15,49.29,49.48,48.32,48.72,16215300,48.72
2014-08-18,49.05,49.58,48.97,49.51,13199700,49.51
2014-08-19,49.53,50.25,49.52,49.7,13073300,49.7
2014-08-20,49.63,49.92,49.46,49.8,9039500,49.8
2014-08-21,49.97,51.22,49.8,51.07,24162400,51.07
2014-08-22,50.94,51.67,50.73,50.93,20002900,50.93
2014-08-25,51.28,51.99,51.28,51.63,17502900,51.63
2014-08-26,51.52,52.39,51.46,52.13,18384700,52.13
2014-08-27,52.12,52.27,51.68,51.86,13398400,51.86
2014-08-28,51.52,51.62,51.28,51.39,10255900,51.39
2014-08-29,51.53,51.83,51.46,51.65,8981300,51.65
2014-09-02,51.78,51.98,51.44,51.96,11452100,51.96
2014-09-03,52.24,52.53,52.04,52.23,15116800,52.23
2014-09-04,52.25,52.88,52.22,52.47,15694900,52.47
2014-09-05,52.31,52.49,51.72,52.3,17484800,52.3
2014-09-08,52.16,52.77,51.91,52.05,13557800,52.05
2014-09-09,51.64,51.78,51.12,51.26,14584100,51.26
2014-09-10,51.24,51.99,51.18,51.83,13013600,51.83
2014-09-11,51.61,52.26,51.52,52.23,14084300,52.23
2014-09-12,52.2,52.86,52.09,52.38,18329200,52.38
2014-09-15,52.37,52.52,51.92,52.31,12805700,52.31
