Stock Quotes for CL,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,57.91,58.67,57.52,58.6,4101400,57.04
2013-06-04,58.8,59.22,58.24,58.87,3066800,57.3
2013-06-05,58.73,58.77,57.9,57.9,2584900,56.36
2013-06-06,57.8,58.22,57.07,58.04,3861600,56.49
2013-06-07,58.51,59.14,58.42,59.1,2980200,57.53
2013-06-10,59.28,59.35,58.65,58.82,2710200,57.25
2013-06-11,58.45,59.24,58.06,58.62,2338900,57.06
2013-06-12,58.99,59.5,58.15,58.16,2344900,56.61
2013-06-13,58.12,58.65,57.19,58.46,2516500,56.9
2013-06-14,58.51,59.01,58.21,58.82,3099100,57.25
2013-06-17,59.1,59.92,59.03,59.64,3724200,58.05
2013-06-18,59.7,59.92,59.48,59.7,3156100,58.11
2013-06-19,59.67,59.8,57.98,58,4256400,56.46
2013-06-20,57.6,57.72,55.69,55.87,7546900,54.38
2013-06-21,56.39,57.09,56.01,56.81,6013600,55.3
2013-06-24,56.28,56.74,55.47,56.15,4418700,54.65
2013-06-25,56.49,56.66,55.86,56.22,4152100,54.72
2013-06-26,56.78,57.2,56.42,57,4130400,55.48
2013-06-27,57.51,57.83,57.14,57.39,2983100,55.86
2013-06-28,57.1,57.67,56.8,57.29,5508900,55.76
2013-07-01,57.6,58.66,57.58,57.95,3727600,56.41
2013-07-02,57.94,58.2,57.5,57.72,3355700,56.18
2013-07-03,57.54,57.94,57.19,57.82,2443200,56.28
2013-07-05,58,58.22,57.11,57.86,2501300,56.32
2013-07-08,57.98,58.64,57.98,58.58,2492100,57.02
2013-07-09,59.03,59.24,58.82,58.98,2916100,57.41
2013-07-10,58.99,59.27,58.49,58.62,2434900,57.06
2013-07-11,59.24,59.36,58.63,58.95,4292100,57.38
2013-07-12,58.98,59.23,58.67,59.14,2651200,57.56
2013-07-15,59.24,59.27,58.58,58.82,3302400,57.25
2013-07-16,58.71,58.8,58.09,58.48,3068000,56.92
2013-07-17,58.6,58.71,58.07,58.36,2873500,56.81
2013-07-18,58.33,58.99,58.21,58.8,3242900,57.23
2013-07-19,58.47,58.92,58.25,58.88,3135900,57.65
2013-07-22,58.76,59.07,58.45,58.65,2303700,57.42
2013-07-23,58.61,58.79,58.23,58.41,2627100,57.18
2013-07-24,58.5,58.66,58.2,58.47,3935200,57.24
2013-07-25,58.7,59.9,58.5,59.62,4558000,58.37
2013-07-26,59.46,60.26,59.15,60.25,4022400,58.99
2013-07-29,59.99,60.36,59.85,60.08,2992400,58.82
2013-07-30,60.4,60.68,59.91,60.24,3269000,58.98
2013-07-31,60.34,60.67,59.85,59.87,3867500,58.61
2013-08-01,60.27,60.82,60.24,60.56,2799300,59.29
2013-08-02,60.26,60.58,60.01,60.53,2508800,59.26
2013-08-05,60.49,61.08,60.46,60.98,2965100,59.7
2013-08-06,60.82,61.25,60.76,60.99,2586100,59.71
2013-08-07,60.8,61.17,60.65,60.94,2469800,59.66
2013-08-08,61.27,61.5,60.5,60.91,2817000,59.63
2013-08-09,60.83,61.05,60.47,60.68,1656000,59.41
2013-08-12,60.3,60.98,60.24,60.96,2276400,59.68
2013-08-13,61,61.2,60.79,61.08,2430100,59.8
2013-08-14,61,61.14,60.44,60.67,2383200,59.4
2013-08-15,60.3,60.58,59.69,59.81,2814400,58.56
2013-08-16,59.52,59.67,59.12,59.47,3130100,58.22
2013-08-19,59.28,59.38,58.91,59.15,2351400,57.91
2013-08-20,59.24,59.62,59.02,59.09,1946300,57.85
2013-08-21,59,59.05,58.44,58.51,3036800,57.28
2013-08-22,58.47,58.59,58.25,58.45,3035500,57.22
2013-08-23,58.51,59.08,58.44,59.03,2728900,57.79
2013-08-26,59.08,59.25,58.2,58.22,1960700,57
2013-08-27,57.56,57.9,57.41,57.64,2780300,56.43
2013-08-28,57.51,57.51,57.14,57.27,2641000,56.07
2013-08-29,57.09,57.56,56.94,57.25,2627300,56.05
