Stock Quotes for CMCSA,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,53.86,54.34,53.69,54.11,11240700,53.89
2014-07-02,54.2,54.6,54.04,54.56,9186900,54.33
2014-07-03,54.74,54.97,54.51,54.9,7634900,54.67
2014-07-07,54.55,54.75,53.86,54.18,11241400,53.96
2014-07-08,53.92,54.22,53.25,53.31,14614200,53.09
2014-07-09,53.56,54.74,53.41,54.73,15854000,54.5
2014-07-10,54.32,54.78,54.08,54.36,10154300,54.13
2014-07-11,54.31,54.64,54.17,54.55,7054500,54.32
2014-07-14,54.79,55.25,54.37,55.05,13698200,54.82
2014-07-15,54.86,55.17,54.59,54.89,9857700,54.66
2014-07-16,55.11,55.53,54.88,55.05,18578900,54.82
2014-07-17,54.53,55.16,54.1,54.2,15354500,53.98
2014-07-18,54.74,54.74,54.22,54.54,11599000,54.31
2014-07-21,54.12,54.46,53.5,53.82,17685000,53.6
2014-07-22,54.75,55.24,54.22,54.63,15889100,54.4
2014-07-23,54.53,55,54.25,54.71,13355900,54.48
2014-07-24,54.96,55.25,54.71,55.13,13103800,54.9
2014-07-25,55.14,55.21,54.23,54.39,9967700,54.16
2014-07-28,54.52,54.82,54.09,54.73,8785800,54.5
2014-07-29,55.29,56.49,54.94,54.99,18245900,54.76
2014-07-30,55.19,55.45,54.92,55.41,12961500,55.18
2014-07-31,54.99,55.05,53.63,53.73,15263400,53.51
2014-08-01,53.54,53.88,53.15,53.39,9951700,53.17
2014-08-04,53.4,54.08,53.4,53.85,10926600,53.63
2014-08-05,53.86,53.86,52.91,53.18,13669500,52.96
2014-08-06,52.97,53.4,52.79,52.9,10034500,52.68
2014-08-07,53.11,53.19,52.52,52.68,11739600,52.46
2014-08-08,52.69,53.56,52.69,53.5,11842300,53.28
2014-08-11,53.58,54.18,53.54,53.75,7808500,53.53
2014-08-12,53.59,54.13,53.59,53.8,8307400,53.58
2014-08-13,54.09,54.37,53.92,54.11,9125900,53.89
2014-08-14,54.19,54.42,54.08,54.37,6538600,54.14
2014-08-15,54.8,54.89,54.15,54.63,10707600,54.4
2014-08-18,54.97,55.1,54.48,54.73,7593200,54.5
2014-08-19,54.69,54.89,54.41,54.5,7347100,54.27
2014-08-20,54.31,54.79,54.31,54.64,7338700,54.41
2014-08-21,54.64,54.83,54.35,54.44,7474600,54.21
2014-08-22,54.27,54.59,53.92,54.18,8144600,53.96
2014-08-25,54.35,54.73,54.2,54.65,9416200,54.42
2014-08-26,54.75,54.75,54.33,54.56,9240100,54.33
2014-08-27,54.69,54.9,54.36,54.56,8134700,54.33
2014-08-28,54.32,54.66,54.28,54.52,5571100,54.29
2014-08-29,54.88,54.93,54.43,54.72,6758600,54.49
2014-09-02,54.71,54.97,54.35,54.78,9535100,54.55
2014-09-03,54.74,55.05,54.62,54.87,8950100,54.64
2014-09-04,55.24,55.39,54.83,54.88,13184400,54.65
2014-09-05,55,55.79,54.87,55.7,14202700,55.47
2014-09-08,55.51,56,55.42,55.88,11805400,55.65
2014-09-09,55.74,56.77,55.64,56.61,20056500,56.38
2014-09-10,56.54,57.05,56.04,56.91,13539000,56.67
2014-09-11,56.87,57.13,56.56,56.98,9697000,56.74
2014-09-12,56.9,57.14,56.67,57.08,11287800,56.84
2014-09-15,57.16,57.49,56.88,57.02,13048100,56.78
