Stock Quotes for COF,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,61.18,62,60.81,61.91,3295800,60.64
2013-06-04,61.88,62.26,61.11,61.26,2851700,60
2013-06-05,61.07,61.36,59.89,60.19,3487200,58.95
2013-06-06,60.13,60.79,59.67,60.77,2939900,59.52
2013-06-07,61.31,62.39,61.25,62.33,3684100,61.05
2013-06-10,62.34,62.94,62.18,62.54,2270900,61.25
2013-06-11,61.9,62.17,61.27,61.46,2624200,60.2
2013-06-12,61.86,62.11,61.12,61.38,2058200,60.12
2013-06-13,61.43,62.49,61.16,62.35,2414700,61.07
2013-06-14,62.2,62.22,60.58,61.01,3501800,59.76
2013-06-17,61.42,62.04,60.87,62,3936700,60.72
2013-06-18,61.93,62.28,61.79,62.1,3661900,60.82
2013-06-19,62.25,62.39,61.62,61.81,3641500,60.54
2013-06-20,61.72,62.5,61.39,61.62,5222200,60.35
2013-06-21,62.09,62.16,60.71,61.36,4593700,60.1
2013-06-24,60.93,61,59.81,59.97,3147200,58.74
2013-06-25,60.51,61.42,60.42,61.11,2926000,59.85
2013-06-26,61.6,61.88,61.15,61.57,2749400,60.3
2013-06-27,62,63,61.84,62.69,2650400,61.4
2013-06-28,62.41,63.12,61.77,62.81,3694400,61.52
2013-07-01,63.17,63.99,63.09,63.59,2924300,62.28
2013-07-02,63.64,64.72,63.59,64.24,4959500,62.92
2013-07-03,63.82,64.14,63.33,63.92,1510700,62.61
2013-07-05,64.53,65.66,64.29,65.66,2449100,64.31
2013-07-08,66.07,66.33,65.28,65.54,3291200,64.19
2013-07-09,65.93,66.14,65.38,65.53,2890200,64.18
2013-07-10,65.53,65.53,64.6,64.91,3139700,63.57
2013-07-11,65.71,65.93,65.1,65.81,2801100,64.46
2013-07-12,65.99,66.96,65.82,66.81,2192500,65.44
2013-07-15,67.63,67.7,66.17,66.85,2027500,65.48
2013-07-16,66.76,67.08,65.94,66.68,1973900,65.31
2013-07-17,66.77,67.06,65.97,66.9,3077500,65.52
2013-07-18,66.9,67.52,66.42,67.05,3839800,65.67
2013-07-19,69.06,70,68.22,69.14,5275800,67.72
2013-07-22,69.27,69.4,68.8,69.19,3198300,67.77
2013-07-23,69.24,69.38,68.74,69.01,2417700,67.59
2013-07-24,69.14,69.49,68.67,68.72,2191000,67.31
2013-07-25,68.06,68.76,67.25,68.72,3715200,67.31
2013-07-26,68.5,68.78,67.86,68.76,2549300,67.35
2013-07-29,68.42,68.54,68.18,68.45,1942100,67.04
2013-07-30,68.97,69.22,68.26,69.17,3325100,67.75
2013-07-31,69.13,69.52,68.5,69.02,5287900,67.6
2013-08-01,69.48,69.79,68.88,69.7,3170400,68.56
2013-08-02,69.46,69.72,69.35,69.59,2535200,68.46
2013-08-05,69.37,69.64,69.13,69.5,1998300,68.37
2013-08-06,69.44,69.53,68.84,69.29,2698100,68.16
2013-08-07,69.03,69.03,67.87,67.93,3996100,66.82
2013-08-08,68.48,68.81,68.17,68.42,2734200,67.31
2013-08-09,68.41,68.83,68.17,68.23,2402000,67.12
2013-08-12,68,68.5,67.74,68.42,1890200,67.31
2013-08-13,68.38,68.88,67.91,68.56,1386300,67.44
2013-08-14,68.45,68.76,68.34,68.36,1487900,67.25
2013-08-15,68.08,68.25,66.82,67.01,2639900,65.92
2013-08-16,66.89,67.69,66.84,67.16,2403800,66.07
2013-08-19,66.87,67.22,65.89,65.91,2155300,64.84
2013-08-20,65.96,67.04,65.67,66.59,1981500,65.51
2013-08-21,66.38,66.82,65.85,66.16,1853200,65.08
2013-08-22,66.58,67.03,66.19,66.68,1462700,65.59
2013-08-23,67.06,67.06,66.1,66.67,1145800,65.58
2013-08-26,66.58,66.81,66,66,1352500,64.92
2013-08-27,65.39,65.63,64.15,64.31,2850300,63.26
2013-08-28,64.35,64.57,63.65,64.04,3039300,63
2013-08-29,63.91,64.84,63.69,64.38,1685500,63.33
2013-08-30,64.46,64.7,64.24,64.55,2026100,63.5
2013-09-03,65.31,65.6,63.99,64.4,1834000,63.35
2013-09-04,64.34,65.2,64.21,65.03,1782400,63.97
2013-09-05,65,65.98,64.92,65.58,1815000,64.51
2013-09-06,65.64,65.73,64.34,65.38,1699700,64.31
2013-09-09,65.49,66.48,65.34,66.46,1883500,65.38
2013-09-10,67,68.02,66.81,67.85,2572900,66.74
2013-09-11,67.89,68.1,67.33,67.62,2218400,66.52
2013-09-12,67.57,68.19,67.55,67.95,2912000,66.84
2013-09-13,67.96,68.18,67.32,67.49,1950400,66.39
2013-09-16,68.19,68.7,67.47,67.65,3057500,66.55
2013-09-17,67.91,69.24,67.84,69.12,3308800,67.99
2013-09-18,68.96,69.65,68.69,69.28,2644900,68.15
2013-09-19,69.55,69.76,68.85,69.04,1911700,67.92
2013-09-20,69.09,69.56,68.95,69.1,3306600,67.97
2013-09-23,68.75,68.84,67.97,68.45,2590800,67.33
2013-09-24,68.34,69.38,67.85,68.49,3254500,67.37
2013-09-25,68.72,69.7,68.37,69.19,3168000,68.06
2013-09-26,69.07,69.84,68.88,69.12,1821800,67.99
2013-09-27,68.74,69.11,68.6,68.92,2162800,67.8
2013-09-30,68.48,69.05,68.07,68.74,2940500,67.62
2013-10-01,69.04,70,68.95,69.79,2768700,68.65
2013-10-02,69.44,69.55,68.88,69.55,2480500,68.42
2013-10-03,69.16,69.7,68.38,68.78,2289200,67.66
2013-10-04,68.88,70.49,68.73,70.32,3046400,69.17
2013-10-07,69.63,69.65,68.82,68.88,2587000,67.76
2013-10-08,68.88,69.14,67.6,67.83,3565700,66.72
2013-10-09,67.9,68.38,67.36,68.1,2626300,66.99
2013-10-10,69.1,70.91,69.08,70.76,3158600,69.61
2013-10-11,70.75,71.94,70.62,71.91,2294900,70.74
2013-10-14,71.62,72.35,71.08,72.1,3674400,70.93
2013-10-15,71.93,72.17,71.29,71.59,4403000,70.42
2013-10-16,71.89,72.65,71.83,72.25,3925300,71.07
2013-10-17,72.1,72.54,71.63,72.15,4603700,70.97
2013-10-18,72.8,72.99,70.95,71.6,6241700,70.43
2013-10-21,71.8,71.95,71.16,71.27,3603300,70.11
2013-10-22,71.45,71.62,70.52,71,4767400,69.84
2013-10-23,70.86,70.86,70.15,70.54,3294000,69.39
2013-10-24,70.82,70.85,70.12,70.65,3095400,69.5
2013-10-25,70.59,70.82,70.07,70.38,3311200,69.23
2013-10-28,70.37,71.13,70.02,70.77,2322300,69.62
2013-10-29,70.87,71.38,70.84,70.93,2659100,69.77
2013-10-30,70.82,71,69.68,69.8,3201700,68.66
2013-10-31,69.58,69.67,68.67,68.67,4563300,67.55
2013-11-01,68.79,69.45,68.63,69.39,2470600,68.26
2013-11-04,69.52,69.69,69.16,69.61,2578600,68.48
2013-11-05,69.5,70.15,69.12,69.96,2748500,68.82
2013-11-06,70.48,70.48,68.92,69.29,3264700,68.45
2013-11-07,69.59,69.9,68.82,68.85,2946500,68.02
2013-11-08,68.9,70,68.85,69.59,3932300,68.75
2013-11-11,69.63,69.95,69.46,69.68,2086100,68.84
2013-11-12,69.66,69.88,69.32,69.51,2515300,68.67
2013-11-13,69.28,70.07,68.8,70.06,3378900,69.22
2013-11-14,70.13,70.88,70.11,70.69,2641000,69.84
2013-11-15,70.4,70.93,70.24,70.37,2738800,69.52
2013-11-18,70.44,70.58,69.32,69.42,3286800,68.58
2013-11-19,69.42,69.59,69.02,69.25,2335700,68.42
2013-11-20,69.89,69.91,68.74,68.8,2884700,67.97
2013-11-21,69.25,69.85,69.06,69.63,2755000,68.79
2013-11-22,69.96,69.96,69.04,69.61,3018400,68.77
2013-11-25,69.73,70.78,69.6,70.41,2474500,69.56
2013-11-26,70.54,71.12,70.39,70.81,2322700,69.96
2013-11-27,71.09,71.6,70.84,71.51,1967300,70.65
2013-11-29,71.69,72.18,71.32,71.63,1699700,70.77
2013-12-02,72.65,73,71.86,72.1,3869000,71.23
2013-12-03,71.92,72.15,71.35,71.63,4238700,70.77
2013-12-04,71.28,72.64,71.15,72.35,3459500,71.48
2013-12-05,72.25,72.42,71.6,71.94,3508500,71.07
