Stock Quotes for COST,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,109.92,111.05,108.57,110.88,2341400,109.35
2013-06-04,110.86,111.81,109.9,110.66,1855200,109.13
2013-06-05,110.12,110.59,108.88,109.17,2018400,107.66
2013-06-06,109.54,111.13,109.38,111.09,2186800,109.55
2013-06-07,111.24,111.95,110.17,110.58,2013400,109.05
2013-06-10,110.93,111.03,109.64,110.31,1563900,108.79
2013-06-11,109.75,111,109.52,110.02,1066300,108.5
2013-06-12,110.75,110.82,109.11,109.4,1320200,107.89
2013-06-13,109.17,111.14,109.02,110.88,1230500,109.35
2013-06-14,110.37,111.62,110.33,111,1318000,109.47
2013-06-17,111.75,112.5,110.94,111.7,1441700,110.16
2013-06-18,111.54,112.2,111.2,112.09,1250200,110.54
2013-06-19,112.23,112.59,110.14,110.19,1458600,108.67
2013-06-20,109.73,109.73,107.38,107.56,2211900,106.07
2013-06-21,108.39,109.58,107.9,108.65,3111500,107.15
2013-06-24,107.46,110.6,107.44,109.64,1832300,108.12
2013-06-25,110.68,110.68,109.24,110.25,1607800,108.73
2013-06-26,110.45,111.47,110.1,111.18,1539200,109.64
2013-06-27,111.57,112.35,111.24,111.49,922200,109.95
2013-06-28,111.21,112.22,110.52,110.57,1853600,109.04
2013-07-01,111.55,111.81,110.32,110.43,1112700,108.9
2013-07-02,110.63,111.87,110.45,110.85,1279700,109.32
2013-07-03,110.43,111.29,110.06,110.91,752200,109.38
2013-07-05,112.24,112.31,110.71,111.76,1366700,110.22
2013-07-08,112.34,112.97,112.07,112.62,1525200,111.06
2013-07-09,113.09,113.6,112.75,113.35,1360800,111.78
2013-07-10,113.48,114.04,113.31,113.65,1274300,112.08
2013-07-11,114.84,115.94,114.34,115.89,1549900,114.29
2013-07-12,115.47,116.88,115.2,116.46,2233300,114.85
2013-07-15,116,116.24,115.12,115.89,1156500,114.29
2013-07-16,116.17,116.74,115.55,116.53,1295200,114.92
2013-07-17,116.96,117.7,116.35,117.4,1276900,115.78
2013-07-18,117.34,117.6,116.4,117.06,1180700,115.44
2013-07-19,117.58,118.14,116.57,118.07,1639200,116.44
2013-07-22,118.82,118.83,117.65,118.05,1158000,116.42
2013-07-23,118.37,119.15,118.29,119.1,1079600,117.45
2013-07-24,119,119.39,117.25,117.9,1726900,116.27
2013-07-25,117.09,117.68,116.66,117.45,1352200,115.83
2013-07-26,116.77,117,115.54,116.57,1863100,114.96
2013-07-29,116.48,117.7,116.24,117.14,1198100,115.52
2013-07-30,117.84,118.31,116.77,116.93,1162500,115.31
2013-07-31,117.55,118.1,116.97,117.42,1925200,115.8
2013-08-01,118.07,118.6,117.65,118.34,1255700,116.7
2013-08-02,118.3,119.5,117.92,119.37,1503600,117.72
2013-08-05,119.45,120.2,118.94,120.07,1336700,118.41
2013-08-06,119.24,119.92,119.02,119.5,1308500,117.85
2013-08-07,119.15,119.52,118.46,119.34,1297600,118
2013-08-08,118.06,118.91,116.08,117.39,2372700,116.07
2013-08-09,116.86,117.25,115.37,115.63,1676800,114.33
2013-08-12,115.59,116.21,115.02,115.73,1596800,114.43
2013-08-13,116.34,116.35,114.75,115.65,1230300,114.35
2013-08-14,115.15,115.25,113.59,113.78,1656500,112.5
2013-08-15,112.46,112.78,111.51,111.79,1656600,110.53
2013-08-16,111.77,112.51,111.65,111.9,1651000,110.64
2013-08-19,111.9,112.94,111.8,112.08,1259500,110.82
