Stock Quotes for CVX,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,122.35,124.12,122.35,124.09,7256900,118.94
2013-06-04,122.82,123.65,122.14,122.96,7675500,117.86
2013-06-05,122.34,123.1,121.31,121.57,7745600,116.52
2013-06-06,121.27,121.49,118.66,120.59,10141500,115.58
2013-06-07,121.22,121.97,120.14,121.7,6089800,116.65
2013-06-10,122.94,122.98,121.8,122.69,5585600,117.6
2013-06-11,121.87,122.76,121.26,121.45,4548000,116.41
2013-06-12,122.32,122.73,119.61,119.97,5489200,114.99
2013-06-13,119.9,121.83,119.81,121.66,4656700,116.61
2013-06-14,121.13,121.68,120.1,120.28,4415300,115.29
2013-06-17,120.45,121.78,120.28,121.22,4046900,116.19
2013-06-18,121.03,121.72,120.86,121.52,4544800,116.48
2013-06-19,121.8,122.38,120.41,120.5,4634300,115.5
2013-06-20,119.54,119.66,117.57,117.95,7624100,113.05
2013-06-21,119.24,119.54,117.26,118.93,10692100,113.99
2013-06-24,117.71,118.03,116.02,116.82,6785700,111.97
2013-06-25,117.75,117.87,116.92,117.45,5983100,112.57
2013-06-26,118.34,118.54,117,118.15,4820700,113.25
2013-06-27,118.52,119.54,118.49,118.71,4459400,113.78
2013-06-28,118.79,119.56,118.14,118.34,6504400,113.43
2013-07-01,118.35,120.01,118,119.08,5053000,114.14
2013-07-02,119.09,120.33,118.59,119.15,4912000,114.2
2013-07-03,119.24,119.3,118.61,119.08,3034800,114.14
2013-07-05,119.69,120.86,119.1,120.51,4386200,115.51
2013-07-08,121.29,122.31,120.98,121.24,4964400,116.21
2013-07-09,122.39,123.74,122.05,123.27,6252900,118.15
2013-07-10,123.45,124.54,122.71,122.9,5549600,117.8
2013-07-11,123.95,124.11,122.51,123.77,7235100,118.63
2013-07-12,123.52,124.15,123.04,124.06,5615000,118.91
2013-07-15,124.11,125.14,124.06,124.68,4062000,119.5
2013-07-16,124.71,125.24,123.55,124.12,4002900,118.97
2013-07-17,124.65,125,124.29,124.35,3634600,119.19
2013-07-18,124.68,125.65,124.64,125.47,4324100,120.26
2013-07-19,125.79,126.91,125.17,126.91,5929900,121.64
2013-07-22,126.71,127.61,126.65,127.03,4056100,121.76
2013-07-23,127.07,127.65,126.7,127.26,3763300,121.98
2013-07-24,127.25,127.63,125.9,126.37,4527800,121.12
