Stock Quotes for DIS,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,85.81,86.87,85.76,86.47,5598100,86.47
2014-07-02,86.58,86.71,86.2,86.44,4439600,86.44
2014-07-03,86.7,86.98,86.5,86.84,3210400,86.84
2014-07-07,86.61,86.82,86.32,86.59,4897800,86.59
2014-07-08,86.19,86.32,85.68,85.86,4733600,85.86
2014-07-09,86,87.29,85.85,87.22,6311200,87.22
2014-07-10,86.53,87.61,86.19,86.86,7249700,86.86
2014-07-11,87,87.36,86.37,86.89,5016000,86.89
2014-07-14,87.46,87.49,86.66,86.76,4012300,86.76
2014-07-15,86.58,86.65,85.54,86.15,7001300,86.15
2014-07-16,86.69,87.63,85.12,85.35,10667200,85.35
2014-07-17,85.33,86.19,84.87,85.03,6885900,85.03
2014-07-18,85.44,85.98,85.17,85.81,4719100,85.81
2014-07-21,85.81,86,85.5,85.74,4799800,85.74
2014-07-22,86.37,86.56,85.51,86.21,4984200,86.21
2014-07-23,86.31,86.53,85.76,86.04,3650200,86.04
2014-07-24,86.5,86.96,86.31,86.8,4168200,86.8
2014-07-25,86.3,86.7,86.05,86.23,4659800,86.23
2014-07-28,86.43,87.22,85.81,87.15,4546800,87.15
2014-07-29,87.29,87.3,86.16,86.2,5478700,86.2
2014-07-30,86.62,87.27,86.09,87.21,7294200,87.21
2014-07-31,86.59,86.95,85.69,85.88,6342400,85.88
2014-08-01,85.39,86.01,85.21,85.38,6759200,85.38
2014-08-04,86.17,87.52,86.01,87.24,8250200,87.24
2014-08-05,87.14,87.24,86.02,86.75,9340400,86.75
2014-08-06,86.18,87.62,86.17,86.59,9789500,86.59
2014-08-07,86.99,87.01,85.23,85.51,7905200,85.51
2014-08-08,85.65,86.89,85.62,86.85,6371300,86.85
2014-08-11,87.07,87.98,87.05,87.5,5047900,87.5
2014-08-12,87.15,87.62,86.78,87.21,4510100,87.21
2014-08-13,87.74,87.95,87.42,87.6,4532300,87.6
2014-08-14,88.03,88.91,87.81,88.61,8218000,88.61
2014-08-15,89.02,89.47,88.69,89.28,8211000,89.28
2014-08-18,89.66,90.37,89.58,89.97,4973300,89.97
2014-08-19,90.13,90.29,89.64,90.09,4142900,90.09
2014-08-20,89.92,90.05,89.67,89.84,3870900,89.84
2014-08-21,90.06,90.53,89.98,90.38,4688600,90.38
2014-08-22,90.13,90.9,90.12,90.49,4756400,90.49
2014-08-25,90.95,91.14,90.3,90.38,3501400,90.38
2014-08-26,90.61,90.67,89.94,90.02,4104300,90.02
2014-08-27,90.14,90.41,89.98,90.37,3728300,90.37
2014-08-28,89.98,90.49,89.96,90.23,2667200,90.23
2014-08-29,90.32,90.38,89.33,89.88,4168500,89.88
2014-09-02,90.18,90.93,90.15,90.8,5567300,90.8
2014-09-03,91.06,91.16,90.67,90.94,3667600,90.94
2014-09-04,90.87,91.2,90.01,90.14,5418500,90.14
2014-09-05,90.14,90.94,90.1,90.94,4597100,90.94
2014-09-08,90.76,90.84,90.16,90.56,4310500,90.56
2014-09-09,90.5,90.54,89.51,89.6,4771000,89.6
2014-09-10,89.54,89.82,88.75,89.52,5053300,89.52
2014-09-11,89.2,90.04,89.06,89.97,4065500,89.97
2014-09-12,90.1,90.2,89.25,89.67,3870200,89.67
2014-09-15,89.74,90.37,89.56,90.08,4881800,90.08
