Stock Quotes for DOW,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,51.55,51.73,51.27,51.54,5349700,51.18
2014-07-02,51.69,51.98,51.51,51.52,4355700,51.16
2014-07-03,51.76,52.19,51.71,52.05,3161500,51.69
2014-07-07,51.62,51.77,51.16,51.23,5189000,50.87
2014-07-08,51.27,51.3,50.49,50.99,5910100,50.63
2014-07-09,51.16,51.4,50.89,51.2,5483400,50.84
2014-07-10,50.62,51.59,50.48,51.12,5943800,50.76
2014-07-11,51.2,51.68,51.01,51.6,4126400,51.24
2014-07-14,51.94,51.94,51.45,51.5,5172900,51.14
2014-07-15,51.75,52.06,51.31,51.54,4636900,51.18
2014-07-16,51.72,52.21,51.63,52.07,5332200,51.71
2014-07-17,51.7,52.13,51.55,51.65,4480600,51.29
2014-07-18,51.72,52.16,51.52,51.69,6451000,51.33
2014-07-21,51.7,52.05,51.6,51.86,5408300,51.5
2014-07-22,52.08,52.36,51.79,52.3,6010500,51.94
2014-07-23,53.04,54.28,52.31,53.89,14033400,53.51
2014-07-24,53.98,54.12,53.4,53.84,8479300,53.47
2014-07-25,53.64,54.14,53.5,53.71,7353400,53.34
2014-07-28,53.84,54.15,53.57,53.7,8733000,53.33
2014-07-29,53.89,54.03,53.44,53.45,5504800,53.08
2014-07-30,53.72,53.8,52.26,52.48,7250800,52.11
2014-07-31,52.12,52.12,51,51.07,8559600,50.71
2014-08-01,51.2,51.25,50.35,50.97,7002000,50.62
2014-08-04,51.19,51.83,50.79,51.68,6038600,51.32
2014-08-05,51.45,51.82,50.93,51.1,6316400,50.74
2014-08-06,50.71,51.55,50.34,51.49,10625900,51.13
2014-08-07,51.74,52.13,51.19,51.32,5933400,50.96
2014-08-08,51.37,52.3,51.24,52.28,7602700,51.92
2014-08-11,52.44,52.8,51.79,51.8,5428800,51.44
2014-08-12,51.8,52,51.41,51.8,4255200,51.44
2014-08-13,52.05,52.67,51.99,52.5,3929300,52.13
2014-08-14,52.56,52.67,52.06,52.13,5175600,51.77
2014-08-15,52.2,52.52,51.65,52.02,7730000,51.66
2014-08-18,52.34,52.89,52.21,52.88,5434100,52.51
2014-08-19,52.99,53.2,52.85,53.08,3642700,52.71
2014-08-20,53.01,53.4,52.97,53.3,3712300,52.93
2014-08-21,53.33,53.47,53.05,53.07,3637800,52.7
2014-08-22,53,53.27,52.85,53.11,3351900,52.74
2014-08-25,53.19,53.4,53,53.13,2900700,52.76
2014-08-26,53.13,53.28,52.92,53.1,3683700,52.73
2014-08-27,53.28,53.93,53.09,53.64,6567200,53.27
2014-08-28,53.53,53.82,53.23,53.64,4923900,53.27
2014-08-29,53.77,53.87,53.49,53.55,4223700,53.18
2014-09-02,53.56,53.64,53.25,53.55,4842200,53.18
2014-09-03,53.7,54.25,53.65,53.9,7804000,53.52
2014-09-04,53.97,54.97,53.87,54.29,10109200,53.91
2014-09-05,54.31,54.92,54.2,54.8,10364400,54.42
2014-09-08,54.77,54.94,54.26,54.31,6391500,53.93
2014-09-09,54.3,54.3,53.37,53.46,6089800,53.09
2014-09-10,53.34,53.46,52.99,53.36,7230800,52.99
2014-09-11,52.9,53.04,52.37,52.88,9608900,52.51
2014-09-12,53.04,53.4,52.38,52.67,7772100,52.3
2014-09-15,52.7,53.29,52.43,53.04,6778300,52.67
