Stock Quotes for DVN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,56.9,57.75,56.72,57.55,2464800,56.33
2013-06-04,57.4,57.73,56.91,57.25,1986400,56.04
2013-06-05,57.15,57.23,56.58,56.64,3001900,55.44
2013-06-06,57.94,58,54.83,55.83,7772100,54.65
2013-06-07,56.18,56.9,55.8,56.85,3352700,55.64
2013-06-10,56.79,56.85,55.89,56.22,1960300,55.03
2013-06-11,55.61,55.72,55.01,55.26,2663400,54.09
2013-06-12,55.75,55.75,54.35,54.54,2686900,53.6
2013-06-13,54.52,55.15,54.22,55.04,2298000,54.09
2013-06-14,55.01,55.23,54.17,54.32,2460600,53.38
2013-06-17,54.83,55.32,54.63,55,2571100,54.05
2013-06-18,54.94,55.58,54.87,55.3,2458600,54.34
2013-06-19,55.26,55.47,54.12,54.13,2951100,53.19
2013-06-20,53.71,53.79,52.53,52.71,4162300,51.8
2013-06-21,53.2,53.55,52.78,53.43,5514300,52.51
2013-06-24,52.83,52.85,51.66,52.03,4363100,51.13
2013-06-25,52.44,53.26,51.95,53.07,3499200,52.15
2013-06-26,53.49,53.5,52.6,52.99,2154100,52.07
2013-06-27,53.3,53.65,52.25,52.36,3876300,51.45
2013-06-28,52.32,52.45,51.67,51.88,3936700,50.98
2013-07-01,52.12,52.75,52,52.28,2865300,51.38
2013-07-02,52.33,53.1,52.29,53.05,3261400,52.13
2013-07-03,52.97,53.57,52.54,53.5,1802000,52.57
2013-07-05,53.73,54.66,53.46,54.56,2797800,53.62
2013-07-08,54.93,55.42,54.67,54.82,2888600,53.87
2013-07-09,55.04,55.71,54.9,55.61,2736600,54.65
2013-07-10,55.73,55.89,55.24,55.27,2696700,54.31
2013-07-11,55.8,56.9,55.52,55.97,3077100,55
2013-07-12,56.06,56.52,55.46,55.65,2371100,54.69
2013-07-15,55.59,56.36,55.37,56.1,2055500,55.13
2013-07-16,56.11,56.42,55.68,56.19,2035500,55.22
2013-07-17,56.24,56.66,56.04,56.17,1378600,55.2
2013-07-18,56.35,57.11,56.2,56.78,2257000,55.8
2013-07-19,56.82,57.99,56.75,57.89,3073600,56.89
2013-07-22,57.75,57.85,57.11,57.29,1843700,56.3
2013-07-23,57.51,57.84,57.04,57.4,2056100,56.41
2013-07-24,57.4,57.4,56.09,56.34,2856400,55.37
