Stock Quotes for EXC,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,31.38,32.01,31.25,31.61,7446200,30.06
2013-06-04,31.52,31.66,31.3,31.59,5335600,30.04
2013-06-05,31.44,31.62,31.18,31.41,6200500,29.87
2013-06-06,31.34,31.59,31.25,31.5,7665900,29.96
2013-06-07,31.52,31.71,31.05,31.36,8881600,29.83
2013-06-10,31.56,31.56,31.15,31.39,7029400,29.85
2013-06-11,31.19,31.68,31.11,31.2,6231400,29.67
2013-06-12,31.32,31.46,30.38,30.4,7517400,28.91
2013-06-13,30.48,30.71,30.12,30.71,7421200,29.21
2013-06-14,30.72,31,30.61,30.63,4795200,29.13
2013-06-17,30.77,30.93,30.59,30.73,5985200,29.23
2013-06-18,30.74,31.15,30.68,31.15,5715700,29.63
2013-06-19,31.07,31.26,30.67,30.68,7551900,29.18
2013-06-20,30.48,30.61,29.84,29.9,8717500,28.44
2013-06-21,30.12,30.58,29.93,30.3,10979800,28.82
2013-06-24,30,30.95,29.84,30.62,10042500,29.12
2013-06-25,30.78,31.3,30.31,31.08,9471300,29.56
2013-06-26,31.23,31.5,31.14,31.35,5649200,29.82
2013-06-27,31.39,31.49,31,31.09,6104200,29.57
2013-06-28,31.09,31.25,30.84,30.88,8028700,29.37
2013-07-01,30.95,31.03,30.19,30.32,6744700,28.84
2013-07-02,30.27,30.62,30.15,30.22,5380600,28.74
2013-07-03,30.13,30.19,29.9,30.08,2435600,28.61
2013-07-05,30,30.06,29.44,29.74,4050000,28.28
2013-07-08,29.77,30.45,29.75,30.45,5742400,28.96
2013-07-09,30.49,30.9,30.48,30.81,5535200,29.3
2013-07-10,30.71,30.74,30.48,30.57,4193700,29.07
2013-07-11,30.81,31.02,30.72,31,4495500,29.48
2013-07-12,31,31.08,30.73,31.04,4027400,29.52
2013-07-15,30.96,31.65,30.9,31.55,4249600,30.01
2013-07-16,31.53,31.57,31.25,31.47,3232800,29.93
2013-07-17,31.61,31.65,31.33,31.43,2700300,29.89
2013-07-18,31.62,31.96,31.6,31.83,4540400,30.27
2013-07-19,31.84,32.05,31.72,32.04,7718300,30.47
2013-07-22,32,32.33,31.96,32.31,4183700,30.73
2013-07-23,32.23,32.42,32.01,32.1,4162400,30.53
2013-07-24,32.02,32.05,31.08,31.18,5500300,29.65
2013-07-25,31.11,31.55,31.05,31.51,4371500,29.97
2013-07-26,31.41,31.66,31.24,31.65,3507600,30.1
2013-07-29,31.44,31.92,31.35,31.69,4472300,30.14
2013-07-30,31.86,32.09,31.45,31.46,5774800,29.92
2013-07-31,31.4,31.43,30.33,30.59,8441500,29.09
2013-08-01,30.58,30.83,30.36,30.8,5356500,29.29
2013-08-02,30.8,30.91,30.46,30.62,6556500,29.12
2013-08-05,30.59,30.95,30.42,30.63,3881300,29.13
2013-08-06,30.54,30.62,30.11,30.25,4950500,28.77
