Stock Quotes for FB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,67.58,68.44,67.39,68.06,33166100,68.06
2014-07-02,68.04,68.3,65.79,66.45,41805900,66.45
2014-07-03,66.86,67,65.76,66.29,25203200,66.29
2014-07-07,66.3,66.57,65.12,65.29,28707100,65.29
2014-07-08,65.06,65.56,62.21,62.76,68855600,62.76
2014-07-09,63.41,65.12,63.15,64.97,51378000,64.97
2014-07-10,63.31,65.34,63.05,64.87,44388200,64.87
2014-07-11,65.28,66.59,64.79,66.34,39167800,66.34
2014-07-14,67.13,68.17,66.9,67.9,38468000,67.9
2014-07-15,67.96,68.09,66.26,67.17,44213200,67.17
2014-07-16,67.54,67.94,67.07,67.66,29541600,67.66
2014-07-17,67.03,67.85,66.04,66.41,38024200,66.41
2014-07-18,66.8,68.46,66.16,68.42,42262200,68.42
2014-07-21,68.81,69.96,68.5,69.4,49431600,69.4
2014-07-22,69.76,69.77,68.61,69.27,40301800,69.27
2014-07-23,69.74,71.33,69.61,71.29,77435900,71.29
2014-07-24,75.96,76.74,74.51,74.98,124006900,74.98
2014-07-25,74.99,75.67,74.66,75.19,45823100,75.19
2014-07-28,75.17,75.5,73.85,74.92,41640000,74.92
2014-07-29,74.72,74.92,73.42,73.71,41126900,73.71
2014-07-30,74.21,75.19,74.13,74.68,36823000,74.68
2014-07-31,74,74.17,72.44,72.65,43909200,72.65
2014-08-01,72.22,73.22,71.55,72.36,43456400,72.36
2014-08-04,72.36,73.88,72.36,73.51,30656900,73.51
2014-08-05,73.2,73.59,72.18,72.69,34820400,72.69
2014-08-06,72.02,73.72,71.79,72.47,30940200,72.47
2014-08-07,73,74,72.7,73.17,38093400,73.17
2014-08-08,73.4,73.43,72.56,73.06,27155700,73.06
2014-08-11,73.46,73.91,73.06,73.44,24544100,73.44
2014-08-12,73.09,73.33,72.22,72.83,27374400,72.83
2014-08-13,73.12,74.25,73.05,73.77,29198500,73.77
2014-08-14,73.97,74.38,73.69,74.3,22182800,74.3
2014-08-15,74.32,74.65,73,73.63,38846600,73.63
2014-08-18,74,74.72,73.96,74.59,23913200,74.59
2014-08-19,74.81,75.58,74.51,75.29,26618600,75.29
2014-08-20,74.97,75.18,74.62,74.81,22878000,74.81
2014-08-21,74.92,75.19,74.41,74.57,20075900,74.57
2014-08-22,74.34,74.73,73.57,74.57,20874600,74.57
2014-08-25,74.94,75.28,74.79,75.02,19691100,75.02
2014-08-26,75,75.99,74.73,75.96,23886100,75.96
2014-08-27,75.27,75.49,74.46,74.63,36238700,74.63
2014-08-28,74,74.43,73.73,73.86,21922800,73.86
2014-08-29,74.3,74.82,74.01,74.82,26224300,74.82
2014-09-02,75.01,76.7,74.82,76.68,34785800,76.68
2014-09-03,77.14,77.48,75.6,75.83,32330200,75.83
2014-09-04,75.89,76.93,75.53,75.95,26625500,75.95
2014-09-05,76.1,77.38,75.6,77.26,29407300,77.26
2014-09-08,77.26,78.17,77.01,77.89,28149300,77.89
2014-09-09,77.59,78.17,76.2,76.67,28769300,76.67
2014-09-10,76.52,77.95,76.51,77.43,29864000,77.43
2014-09-11,77.13,78.36,77.05,77.92,32219000,77.92
2014-09-12,78.02,78.3,77.1,77.48,26676800,77.48
2014-09-15,77.15,77.25,73.43,74.58,49576900,74.58
