Stock Quotes for FCX,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,36.88,37.32,36.83,36.85,11556400,36.55
2014-07-02,37.03,37.99,36.99,37.83,14137300,37.53
2014-07-03,38.16,38.59,38.03,38.51,12172000,38.2
2014-07-07,38.47,38.9,38.29,38.67,12834200,38.36
2014-07-08,38.48,38.9,38.43,38.74,12041400,38.43
2014-07-09,38.95,39.3,38.74,39.04,11054500,38.73
2014-07-10,38.77,39.32,38.51,38.86,13141400,38.55
2014-07-11,38.63,38.81,38.31,38.71,9705600,38.71
2014-07-14,38.63,38.73,38.51,38.7,6388400,38.7
2014-07-15,38.69,38.87,38,38.29,11065000,38.29
2014-07-16,38.62,39,38.62,38.83,8486700,38.83
2014-07-17,38.6,38.85,38.33,38.5,13989000,38.5
2014-07-18,38.55,38.61,38.12,38.35,8608500,38.35
2014-07-21,38.3,38.75,38.27,38.67,7125700,38.67
2014-07-22,38.91,39.04,38.67,38.72,9729300,38.72
2014-07-23,38.7,39.05,38.28,38.55,11610000,38.55
2014-07-24,38.12,38.14,37.3,37.53,15614600,37.53
2014-07-25,37.43,38.22,37.35,37.99,11058700,37.99
2014-07-28,38.05,38.2,37.72,38.06,7513000,38.06
2014-07-29,38.04,38.26,37.88,37.91,7688600,37.91
2014-07-30,38.09,38.22,37.67,37.88,6046000,37.88
2014-07-31,37.51,37.77,37.14,37.22,8271500,37.22
2014-08-01,37.12,37.42,36.47,36.78,9964200,36.78
2014-08-04,37.03,37.32,36.84,37.24,6342900,37.24
2014-08-05,36.9,37.15,36.7,36.93,5880600,36.93
2014-08-06,36.59,37.53,36.57,36.7,9247500,36.7
2014-08-07,36.83,37,35.72,36.15,12659100,36.15
2014-08-08,36.13,36.57,36.01,36.49,5731600,36.49
2014-08-11,36.91,37.07,36.67,36.9,6927200,36.9
2014-08-12,36.74,37.07,36.68,36.88,4620900,36.88
2014-08-13,36.83,36.87,36.32,36.39,7117500,36.39
2014-08-14,35.95,36.08,35.78,36.05,8076800,36.05
2014-08-15,36.14,36.14,35.7,36.1,6950400,36.1
2014-08-18,36.1,36.39,36,36.37,6347200,36.37
2014-08-19,36.27,36.57,36.12,36.29,5773400,36.29
2014-08-20,36.42,37.1,36.38,36.98,9667900,36.98
2014-08-21,36.86,36.9,36.45,36.68,5136100,36.68
2014-08-22,36.62,36.62,36.3,36.44,4091200,36.44
2014-08-25,36.58,36.76,36.4,36.47,4360700,36.47
2014-08-26,36.54,36.63,36.3,36.39,6602000,36.39
2014-08-27,36.58,36.65,36.26,36.44,5740300,36.44
2014-08-28,36.14,36.17,35.63,36.16,7635900,36.16
2014-08-29,36.3,36.48,36.16,36.37,4562400,36.37
2014-09-02,36.04,36.22,35.45,35.49,10882300,35.49
2014-09-03,35.62,35.66,35.21,35.3,6491200,35.3
2014-09-04,35.32,35.67,35.05,35.22,6054700,35.22
2014-09-05,35.16,35.19,34.73,35.02,12000400,35.02
2014-09-08,34.96,35.02,34.74,34.91,7045300,34.91
2014-09-09,34.68,35,34.2,34.44,7736200,34.44
2014-09-10,34.35,34.62,33.91,34.56,7824900,34.56
2014-09-11,34.35,34.73,34.12,34.56,6740500,34.56
2014-09-12,34.39,34.61,34.1,34.24,6336800,34.24
2014-09-15,34.24,34.39,34.11,34.32,4811400,34.32
