Stock Quotes for FDX,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,152,152.84,151.57,152.38,1445000,152.18
2014-07-02,152.27,153.24,152.08,152.27,1236300,152.07
2014-07-03,152.79,153.74,152.54,153.61,660800,153.41
2014-07-07,152.86,153.1,151.38,151.68,1147900,151.48
2014-07-08,151.37,151.59,149.82,151.17,1207200,150.97
2014-07-09,151.61,152.44,150.81,151.32,822400,151.12
2014-07-10,149.87,150.88,149.42,150.26,984300,150.06
2014-07-11,150.15,151.32,149.92,150.64,839100,150.44
2014-07-14,151.65,151.91,150.98,151.07,1149100,150.87
2014-07-15,149.58,152.67,149.58,151.9,1193500,151.7
2014-07-16,152.4,154.5,152.25,154.38,1424700,154.18
2014-07-17,153.35,155.31,151.73,151.9,1811900,151.7
2014-07-18,151.34,153.15,151.23,152.87,1032400,152.67
2014-07-21,152.53,153.31,152.08,152.35,1030500,152.15
2014-07-22,152.89,153.93,152.82,153.29,1314300,153.09
2014-07-23,153.46,153.89,152.6,152.68,966600,152.48
2014-07-24,153.03,153.25,152.33,152.5,1009900,152.3
2014-07-25,152,152.41,150.8,150.86,1269600,150.66
2014-07-28,150.9,151.46,148.3,149.53,1652200,149.33
2014-07-29,148.5,149.86,147.04,147.14,1706200,146.95
2014-07-30,147.36,150.34,147.36,149.36,1390600,149.17
2014-07-31,148.07,149.11,146.64,146.88,1519800,146.69
2014-08-01,146.63,147.99,145.93,146.75,1709100,146.56
2014-08-04,147.31,149.08,146.95,148.83,1444000,148.64
2014-08-05,147.84,148.55,146.15,146.84,860700,146.65
2014-08-06,145.83,146.42,145.08,145.47,1098000,145.28
2014-08-07,146.96,148.41,145.91,146.02,1659200,145.83
2014-08-08,146.23,147.92,145.62,147.85,825500,147.66
2014-08-11,148.81,149.07,147.72,148.28,790900,148.09
2014-08-12,148.32,149.19,148.01,148.43,495400,148.24
2014-08-13,149,149.67,148.92,149.35,622500,149.16
2014-08-14,149.64,149.72,148.61,149.64,529000,149.44
2014-08-15,150.04,150.24,147.5,148.72,1071500,148.53
2014-08-18,149.29,150.45,149.23,150.42,1066900,150.22
2014-08-19,150.51,150.6,149.91,150,1062800,149.8
2014-08-20,150.16,150.96,149.99,150.63,1476600,150.43
2014-08-21,151.03,151.07,150,150.55,817400,150.35
2014-08-22,150.73,150.73,149.04,149.46,1075900,149.27
2014-08-25,150.13,150.54,149.65,149.79,619500,149.59
2014-08-26,150,150.39,149.18,149.28,609100,149.09
2014-08-27,149.25,149.8,148.95,149.1,696600,148.91
2014-08-28,148.79,149,147.03,147.87,1364300,147.68
2014-08-29,148.4,148.49,147.65,147.88,1227400,147.69
2014-09-02,148.72,150.57,148.37,150.4,1416900,150.2
2014-09-03,150.48,152.21,150.37,151.71,1479300,151.51
2014-09-04,152.22,154.24,151.69,152.04,1748300,151.84
2014-09-05,151.55,153.35,150.1,153.3,1208100,153.1
2014-09-08,152.54,153.25,151.89,152.4,1349200,152.4
2014-09-09,152.19,152.4,150.69,151,1001600,151
2014-09-10,150.95,151.07,150.01,150.76,993200,150.76
2014-09-11,150.08,152.99,150.01,152.53,1029100,152.53
2014-09-12,153.18,154.09,152.54,153.77,1564600,153.77
2014-09-15,154,154.32,152.01,154.04,1684600,154.04
