Stock Quotes for FOXA,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,34.26,35.45,34.17,35.3,9850500,35.18
2014-07-02,35.19,35.78,35.17,35.7,7890000,35.58
2014-07-03,35.74,36.21,35.58,36.21,6806200,36.08
2014-07-07,36.06,36.14,35.62,35.69,6243200,35.57
2014-07-08,35.67,35.77,34.97,35.1,12079500,34.98
2014-07-09,35.18,35.98,35.15,35.91,11174500,35.79
2014-07-10,35.46,35.9,35.22,35.71,6190900,35.59
2014-07-11,35.73,35.88,35.29,35.64,10288200,35.52
2014-07-14,35.75,35.93,35.49,35.54,5972800,35.42
2014-07-15,35.46,35.54,34.83,35.19,9962100,35.07
2014-07-16,35.25,35.29,32.69,33,89282600,32.89
2014-07-17,32.99,33.31,32.68,32.77,38800600,32.66
2014-07-18,33.05,33.14,32.58,33.01,29432000,32.9
2014-07-21,32.9,33.15,32.74,32.89,16953400,32.78
2014-07-22,33.08,33.47,32.89,33.34,15797900,33.22
2014-07-23,33.08,33.18,32.56,32.7,24368600,32.59
2014-07-24,32.68,33.01,32.62,32.92,24516000,32.81
2014-07-25,33.47,33.49,32.78,32.81,18561200,32.7
2014-07-28,32.83,32.93,32.42,32.46,17754200,32.35
2014-07-29,32.56,32.64,32.15,32.15,15845800,32.04
2014-07-30,32.25,32.53,31.94,32,27828400,31.89
2014-07-31,31.89,32.27,31.67,31.67,21844600,31.56
2014-08-01,31.71,32.08,31.53,31.94,16580700,31.83
2014-08-04,31.92,32.08,31.5,31.52,18642400,31.41
2014-08-05,31.47,31.78,31.27,31.3,26355800,31.19
2014-08-06,33.2,33.25,32.2,32.33,49969400,32.22
2014-08-07,34.51,34.92,33.69,33.96,42015200,33.84
2014-08-08,33.71,34.41,33.7,34.37,18765000,34.25
2014-08-11,34.52,34.98,34.16,34.77,19259700,34.65
2014-08-12,34.69,35.26,34.59,35.11,17794400,34.99
2014-08-13,35.11,35.45,35.02,35.4,15511200,35.28
2014-08-14,35.29,35.81,35.29,35.76,15799300,35.64
2014-08-15,36.01,36.11,35.68,35.86,17620200,35.74
2014-08-18,36,36.24,35.78,35.97,10115800,35.85
2014-08-19,35.95,36.04,35.63,35.89,9121300,35.77
2014-08-20,36.08,36.08,35.58,35.67,9274200,35.55
2014-08-21,35.67,35.85,35.48,35.73,7833100,35.61
2014-08-22,35.81,35.92,35.51,35.69,6367800,35.57
2014-08-25,35.79,35.95,35.42,35.56,6169600,35.44
2014-08-26,35.57,35.78,35.47,35.56,6620100,35.44
2014-08-27,35.53,35.85,35.47,35.85,6079600,35.73
2014-08-28,35.63,35.81,35.57,35.6,6975800,35.48
2014-08-29,35.77,35.77,35.26,35.42,9515800,35.3
2014-09-02,35.39,35.99,35.39,35.93,8477200,35.81
2014-09-03,36,36.34,35.86,36.3,11825400,36.17
2014-09-04,36.27,36.56,36.1,36.13,11031900,36.01
2014-09-05,35.83,36.33,35.83,36.15,8935100,36.03
2014-09-08,35.9,36.36,35.83,35.88,14029900,35.88
2014-09-09,35.76,35.89,35.47,35.67,8795500,35.67
2014-09-10,35.59,35.71,35.36,35.56,7408600,35.56
2014-09-11,34.83,35.82,34.83,35.3,13305000,35.3
2014-09-12,35.34,35.4,34.96,35.05,12086700,35.05
2014-09-15,34.95,35.07,34.53,34.91,9915300,34.91
