Stock Quotes for GE,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,26.27,26.5,26.26,26.4,28064500,26.18
2014-07-02,26.35,26.65,26.34,26.61,21284100,26.39
2014-07-03,26.81,26.89,26.78,26.86,20513900,26.64
2014-07-07,26.8,26.84,26.68,26.75,25263000,26.53
2014-07-08,26.62,26.65,26.35,26.37,29105600,26.15
2014-07-09,26.43,26.43,26.26,26.32,37820500,26.1
2014-07-10,26.13,26.29,26.1,26.2,33238500,25.98
2014-07-11,26.19,26.55,26.12,26.55,35440200,26.33
2014-07-14,26.63,26.86,26.62,26.66,25273800,26.44
2014-07-15,26.75,26.8,26.55,26.61,41440200,26.39
2014-07-16,26.69,27.15,26.66,27.02,47071000,26.79
2014-07-17,26.92,26.98,26.6,26.61,37548900,26.39
2014-07-18,26.77,26.78,26.25,26.46,55403000,26.24
2014-07-21,26.33,26.33,25.72,25.98,59343000,25.76
2014-07-22,26.07,26.1,25.85,26.02,34534600,25.8
2014-07-23,26.07,26.09,25.91,25.91,32060800,25.69
2014-07-24,25.95,26.08,25.9,25.94,22010800,25.72
2014-07-25,25.97,25.99,25.73,25.79,24634100,25.57
2014-07-28,25.67,25.73,25.44,25.59,32980200,25.38
2014-07-29,25.57,25.72,25.45,25.45,22528900,25.24
2014-07-30,25.58,25.79,25.4,25.64,25838200,25.43
2014-07-31,25.53,25.56,25.15,25.15,37995200,24.94
2014-08-01,25.07,25.36,24.75,25.35,40198800,25.14
2014-08-04,25.33,25.42,25.1,25.27,28410300,25.06
2014-08-05,25.1,25.29,24.95,25.02,27694300,24.81
2014-08-06,25.13,25.57,25.09,25.44,47222600,25.23
2014-08-07,25.61,25.7,25.42,25.5,36167500,25.29
2014-08-08,25.46,25.67,25.3,25.66,22929500,25.45
2014-08-11,25.84,26,25.72,25.79,27873100,25.57
2014-08-12,25.85,25.86,25.59,25.61,21780300,25.4
2014-08-13,25.72,25.92,25.7,25.83,19870100,25.61
2014-08-14,25.89,25.95,25.73,25.88,23322100,25.66
2014-08-15,25.95,25.97,25.51,25.64,28167900,25.43
2014-08-18,25.87,26.07,25.85,26.07,26809900,25.85
2014-08-19,26.14,26.16,26.05,26.05,16137200,25.83
2014-08-20,26.08,26.4,26.01,26.36,28855400,26.14
2014-08-21,26.42,26.45,26.3,26.43,22185000,26.21
2014-08-22,26.34,26.37,26.11,26.15,22784400,25.93
2014-08-25,26.15,26.29,26.02,26.2,21856200,25.98
2014-08-26,26.22,26.28,26.01,26.01,26313600,25.79
2014-08-27,26.05,26.2,26.02,26.13,21176500,25.91
2014-08-28,26.03,26.09,25.96,26.01,13438900,25.79
2014-08-29,26.03,26.09,25.9,25.98,21914000,25.76
2014-09-02,25.89,26.03,25.77,25.85,24378700,25.63
2014-09-03,25.98,26,25.82,25.95,19962200,25.73
2014-09-04,25.99,26.13,25.89,25.96,26891800,25.74
2014-09-05,25.9,26.1,25.8,26.1,21041600,25.88
2014-09-08,26.14,26.27,26.06,26.08,20379700,25.86
2014-09-09,26.07,26.11,25.85,25.9,21666400,25.68
2014-09-10,25.99,26.03,25.85,25.95,19110000,25.73
2014-09-11,25.91,26.09,25.83,26.02,22581000,25.8
2014-09-12,25.97,25.97,25.8,25.87,24639200,25.65
2014-09-15,25.83,25.95,25.75,25.92,15347200,25.7
