Stock Quotes for GILD,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,74.31,75.06,73.87,75.06,7941800,37.53
2013-01-03,75.11,75.85,74.74,74.95,5965400,37.47
2013-01-04,75.2,76.05,74.85,75.72,7126200,37.86
2013-01-07,76.89,77.08,76.2,76.88,7948400,38.44
2013-01-08,76.82,78.41,76.81,77.4,13371400,38.7
2013-01-09,77.46,77.88,76.92,77.87,8257400,38.94
2013-01-10,78.09,78.59,76.96,77.94,8277000,38.97
2013-01-11,78.09,78.47,77.36,78.08,8262400,39.04
2013-01-14,78.44,78.5,77.49,77.77,9162200,38.88
2013-01-15,77.41,78.35,77.08,77.36,9326800,38.68
2013-01-16,77.3,77.45,76.59,77.17,10416000,38.58
2013-01-17,77.39,78.1,76.61,77.53,8848400,38.76
2013-01-18,77.55,78.32,77.4,78.28,9848400,39.14
2013-01-22,78.58,78.68,77.49,77.91,8020800,38.96
2013-01-23,77.87,78.18,76.54,76.84,8987600,38.42
2013-01-24,77.3,78.75,77.09,78.4,11185800,39.2
2013-01-25,78.4,79.37,78.37,79.36,18244800,39.68
2013-01-28,40.06,40.19,39.21,39.44,5978900,39.44
2013-01-29,39.34,40.02,39.29,39.9,8439600,39.9
2013-01-30,39.97,40.39,39.65,39.85,7279700,39.85
2013-01-31,39.75,39.82,39.24,39.45,7956200,39.45
2013-02-01,40.17,41.14,39.94,40.56,13030400,40.56
2013-02-04,40.71,40.9,39.51,39.59,12765200,39.59
2013-02-05,40.15,41.34,40.15,40.54,11527200,40.54
2013-02-06,40.61,40.62,39.55,39.91,11644000,39.91
2013-02-07,39.78,40.46,39.48,40.36,11699400,40.36
2013-02-08,40.32,41.27,40.15,40.9,8968800,40.9
2013-02-11,40.9,41.01,40.16,40.4,11061800,40.4
2013-02-12,40.46,40.95,40.3,40.83,9791000,40.83
2013-02-13,40.96,41.51,40.83,41.4,7962700,41.4
2013-02-14,41.18,41.75,41.11,41.6,8687400,41.6
2013-02-15,41.45,41.71,41.3,41.6,8020500,41.6
2013-02-19,42.25,43.04,42.06,42.28,11548300,42.28
2013-02-20,42.51,42.84,41.88,41.88,9391800,41.88
2013-02-21,41.82,41.85,41.18,41.54,9769500,41.54
2013-02-22,41.66,42.49,41.6,42.45,6138700,42.45
2013-02-25,42.77,43.35,42.06,42.09,9560900,42.09
2013-02-26,42.14,42.42,41.69,42.25,7196000,42.25
2013-02-27,42.39,43.29,42.08,42.89,7986000,42.89
2013-02-28,43.03,43.18,42.71,42.72,10104200,42.72
2013-03-01,42.63,43.5,42.38,43.45,11294500,43.45
2013-03-04,43.53,43.88,43.18,43.87,8814000,43.87
2013-03-05,44.35,45.58,44.35,45.02,15086800,45.02
2013-03-06,45.23,45.45,44.64,45.4,8542200,45.4
2013-03-07,45.1,45.2,44.51,44.95,9176500,44.95
2013-03-08,45.24,45.55,44.51,45.43,6885100,45.43
2013-03-11,45.49,45.95,45.18,45.94,7298000,45.94
2013-03-12,45.97,46.37,45.53,46.18,9915900,46.18
2013-03-13,46.15,46.15,45.61,45.87,6112100,45.87
2013-03-14,45.9,46.14,45.68,45.88,8979700,45.88
2013-03-15,45.81,46,44.96,45.17,14207400,45.17
2013-03-18,44.74,45.01,44.1,44.8,9084200,44.8
2013-03-19,44.81,45,43.78,44.38,9059300,44.38
2013-03-20,44.81,44.82,44.29,44.52,7041300,44.52
2013-03-21,44.45,44.74,44.26,44.54,12615200,44.54
2013-03-22,45.13,45.56,44.84,45.51,8290600,45.51
2013-03-25,46.01,46.13,44.76,44.98,12174000,44.98
2013-03-26,45.15,45.89,45.11,45.76,7122900,45.76
2013-03-27,46.2,47.83,45.92,47.72,18418400,47.72
2013-03-28,47.86,49.48,47.85,48.94,18502100,48.94
2013-04-01,49.01,49.17,47.91,47.98,14403100,47.98
2013-04-02,48.33,48.38,47.97,48.2,15536500,48.2
2013-04-03,48.25,48.37,47.31,47.63,9168000,47.63
2013-04-04,47.91,48.35,47.56,47.74,10050300,47.74
2013-04-05,46.9,47.45,46.53,47.37,10958000,47.37
2013-04-08,47.25,47.61,46.85,47.2,9538000,47.2
2013-04-09,48.09,48.81,47.99,48.3,13126300,48.3
2013-04-10,48.52,49.85,48.5,49.73,10084900,49.73
2013-04-11,50.2,51.97,50.18,51.65,15567100,51.65
2013-04-12,51.66,52.43,51.39,51.93,10697000,51.93
2013-04-15,52.25,52.36,50.62,50.68,13210200,50.68
2013-04-16,51.27,52.05,51.06,52.01,13561900,52.01
2013-04-17,51.7,52.2,50.73,51.94,12453000,51.94
2013-04-18,51.88,52.06,50.53,50.86,9391500,50.86
2013-04-19,50.66,53.98,50.66,53.17,20436500,53.17
2013-04-22,54.12,54.24,53.29,54.05,15188600,54.05
2013-04-23,54.4,55.16,52.58,53.33,13828200,53.33
2013-04-24,53.18,53.52,50.43,50.57,18388700,50.57
2013-04-25,51.3,51.84,50.91,51.43,10862700,51.43
2013-04-26,51.49,52.25,51.29,51.38,9678600,51.38
2013-04-29,51.36,51.63,50.77,51.09,10806000,51.09
2013-04-30,50.75,50.89,49.43,50.64,13550600,50.64
2013-05-01,50.45,50.65,49.86,50.14,9679100,50.14
2013-05-02,52.75,53.21,51.95,52.18,16602700,52.18
2013-05-03,54.55,56.35,54.52,55.15,17089300,55.15
2013-05-06,55.18,55.7,54.12,54.43,13330700,54.43
2013-05-07,54.37,54.6,52.82,53.13,14096100,53.13
2013-05-08,53.13,53.41,51.99,52.38,12612500,52.38
2013-05-09,52.58,53.22,52.25,52.79,9815900,52.79
2013-05-10,52.77,53.15,52.19,52.88,12752600,52.88
2013-05-13,53.12,55.09,52.93,54.47,14485400,54.47
2013-05-14,54.49,56.27,54.4,56.25,16929400,56.25
2013-05-15,56.34,57.1,55.09,56.36,16779100,56.36
2013-05-16,56.6,56.64,54.2,54.96,15554100,54.96
2013-05-17,55.48,56.43,54.65,56.3,13909500,56.3
2013-05-20,56.09,56.78,55.21,55.74,9493700,55.74
2013-05-21,56.14,56.85,55.76,56.47,10085900,56.47
2013-05-22,57,58.06,55.62,55.93,12765800,55.93
2013-05-23,54.89,56.06,54.16,55.48,10768700,55.48
2013-05-24,55.3,56.35,54.9,55.81,8745700,55.81
2013-05-28,56.68,56.82,55.61,56.18,8669400,56.18
2013-05-29,55.94,56.19,54.85,55.63,9677700,55.63
2013-05-30,55.75,56.82,55.45,55.8,9719000,55.8
2013-05-31,56.21,56.21,54.48,54.48,11526200,54.48
2013-06-03,54.56,54.64,51.35,53.12,15319800,53.12
2013-06-04,53.13,53.69,51.92,52.32,11367200,52.32
2013-06-05,51.6,52.66,49.26,50.12,18605900,50.12
2013-06-06,50.38,51.68,49.66,51.35,14267400,51.35
2013-06-07,51.88,53.41,51.81,52.89,12883500,52.89
2013-06-10,53.55,53.56,52.11,52.44,8744200,52.44
2013-06-11,51.9,52.98,51.39,52.44,7277900,52.44
2013-06-12,52.83,53.06,51.14,51.17,9707600,51.17
2013-06-13,51.25,52.1,50.68,51.95,9292700,51.95
2013-06-14,51.89,52.79,51.85,52.23,6216700,52.23
2013-06-17,52.77,53.26,50.82,51.03,10079200,51.03
2013-06-18,50.87,52.05,50.87,51.94,6873600,51.94
2013-06-19,51.82,52.05,50.57,50.6,6406800,50.6
2013-06-20,50.19,50.45,49.02,49.35,11510700,49.35
2013-06-21,49.63,49.93,48.08,48.83,20298000,48.83
2013-06-24,48.2,49.71,46.7,48.93,11453100,48.93
2013-06-25,49.41,50.88,49.31,49.78,12879000,49.78
2013-06-26,50.42,51.63,50.3,51.31,9904400,51.31
2013-06-27,51.7,51.95,50.7,51.01,8249000,51.01
2013-06-28,50.95,51.61,50.62,51.27,9086200,51.27
2013-07-01,51.97,52.8,51.53,51.65,9472900,51.65
2013-07-02,51.7,52.67,51.42,52.23,8566000,52.23
2013-07-03,52.01,52.34,51.63,51.98,2786800,51.98
2013-07-05,52.4,53.49,52.27,53.32,6126900,53.32
2013-07-08,53.6,53.96,53.21,53.32,10022700,53.32
2013-07-09,54.02,54.8,53.35,54.38,8202100,54.38
2013-07-10,54.39,55.5,54.19,55.33,8768300,55.33
