Stock Quotes for GM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,36.25,37.64,36.25,37.59,23414100,37.26
2014-07-02,37.5,38.15,37.37,37.74,17672200,37.41
2014-07-03,37.96,38.11,37.72,37.74,6743700,37.41
2014-07-07,37.91,37.91,37.17,37.44,11129900,37.12
2014-07-08,37.41,37.77,37.2,37.58,11783200,37.25
2014-07-09,37.66,38.13,37.63,37.97,11676300,37.64
2014-07-10,37.48,37.9,37.35,37.75,9898900,37.42
2014-07-11,37.72,38.01,37.59,37.95,6203400,37.62
2014-07-14,38.1,38.13,37.56,37.7,9314600,37.37
2014-07-15,37.61,37.95,37.44,37.58,8615400,37.25
2014-07-16,37.77,37.91,37.46,37.48,10954200,37.15
2014-07-17,37.31,37.67,37.01,37.1,11014700,36.78
2014-07-18,37.34,37.42,37.06,37.41,8741400,37.09
2014-07-21,37.38,37.53,37.05,37.43,6625100,37.11
2014-07-22,37.56,37.9,37.53,37.76,9655800,37.43
2014-07-23,37.79,37.92,37.41,37.41,13865100,37.09
2014-07-24,36.67,36.85,35.32,35.74,35694100,35.43
2014-07-25,35.1,35.29,34.56,35.07,28537300,34.77
2014-07-28,35.03,35.09,34.78,34.9,15051300,34.6
2014-07-29,35.01,35.2,34.43,34.45,16560100,34.15
2014-07-30,34.5,34.66,34.01,34.31,18941700,34.01
2014-07-31,34.15,34.24,33.78,33.82,13408400,33.53
2014-08-01,33.79,34,33.3,33.44,15343800,33.15
2014-08-04,33.76,34.02,33.5,33.61,11486300,33.32
2014-08-05,33.57,33.81,33.15,33.36,11012500,33.07
2014-08-06,33.23,33.67,33.23,33.4,8715400,33.11
2014-08-07,33.56,33.63,32.8,33.11,13526700,32.82
2014-08-08,33.09,33.56,33.09,33.53,9935600,33.24
2014-08-11,33.64,33.85,33.41,33.8,10873700,33.51
2014-08-12,33.75,34.14,33.55,33.7,10304000,33.41
2014-08-13,33.93,34.07,33.78,33.95,7156100,33.66
2014-08-14,33.81,33.96,33.22,33.95,9956800,33.66
2014-08-15,34.05,34.16,33.51,33.84,14153500,33.55
2014-08-18,34.09,34.44,34.04,34.4,10327200,34.1
2014-08-19,34.69,34.75,34.33,34.57,10422900,34.27
2014-08-20,34.49,34.72,34.3,34.53,9112500,34.23
2014-08-21,34.62,34.73,34.46,34.6,6585300,34.3
2014-08-22,34.51,34.52,34.16,34.24,8665700,33.94
2014-08-25,34.43,34.74,34.31,34.67,9546400,34.37
2014-08-26,34.76,35,34.63,34.85,7535000,34.55
2014-08-27,34.92,34.93,34.58,34.71,7118000,34.41
2014-08-28,34.49,34.75,34.22,34.68,5971400,34.38
2014-08-29,34.74,34.85,34.61,34.8,5548700,34.5
2014-09-02,34.88,35.14,34.62,34.8,7824100,34.5
2014-09-03,35.06,35.12,34.46,34.47,11626400,34.17
2014-09-04,34.49,34.92,34.44,34.63,9566300,34.33
2014-09-05,34.59,34.61,34.23,34.58,13671800,34.28
2014-09-08,34.03,34.15,33.15,33.24,22120600,33.24
2014-09-09,33.2,33.3,33.01,33.07,11861000,33.07
2014-09-10,33.12,33.34,33.06,33.29,10471000,33.29
2014-09-11,33.16,33.7,33.15,33.61,10120400,33.61
2014-09-12,33.48,33.6,33.1,33.27,11077900,33.27
2014-09-15,33.16,33.8,33.15,33.63,12509900,33.63
