Stock Quotes for GOOGL,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,587.65,593.66,586.29,591.49,1643200,591.49
2014-07-02,592.26,594.15,589.11,590.78,1195800,590.78
2014-07-03,591.7,594.25,589,593.08,898900,593.08
2014-07-07,593.51,595.65,587.94,590.76,1336700,590.76
2014-07-08,586.37,587.97,574,578.4,2125200,578.4
2014-07-09,578.95,584.1,577,583.36,1372800,583.36
2014-07-10,573,585.25,572.1,580.04,1436200,580.04
2014-07-11,581,588.23,580.58,586.65,1511600,586.65
2014-07-14,590.6,594.86,586.69,594.26,1951600,594.26
2014-07-15,595.15,595.3,585.31,593.06,1673800,593.06
2014-07-16,596.89,597,590.25,590.62,1440800,590.62
2014-07-17,588.97,589.5,576.85,580.82,2935300,580.82
2014-07-18,603.01,606.7,590.92,605.11,4871600,605.11
2014-07-21,601.35,604.16,594.45,598.44,2237900,598.44
2014-07-22,599.7,608.89,599.26,603.57,1881600,603.57
2014-07-23,602.05,607.05,601.35,605.19,1106000,605.19
2014-07-24,605.53,608.91,601,603.01,1355000,603.01
2014-07-25,599.25,601,595.75,598.08,1360000,598.08
2014-07-28,597.75,601.1,592.59,599.02,1358100,599.02
2014-07-29,597.7,598.49,592.17,593.95,1366600,593.95
2014-07-30,595.81,598.45,592.7,595.44,1215100,595.44
2014-07-31,588.96,591.99,577.68,579.55,2309500,579.55
2014-08-01,578.55,583.43,570.3,573.6,2213300,573.6
2014-08-04,576.51,583.82,572.26,582.27,1519400,582.27
2014-08-05,579.38,580.2,570.31,573.14,1643800,573.14
2014-08-06,569.5,578.64,567.45,574.49,1322800,574.49
2014-08-07,576.05,578.31,569.43,571.81,1163000,571.81
2014-08-08,572.02,579.56,569.02,577.94,1493300,577.94
2014-08-11,579,579.69,575.3,577.25,1171300,577.25
2014-08-12,575,575.9,569.91,572.12,1394500,572.12
2014-08-13,576.45,586.13,575.2,584.56,1899400,584.56
2014-08-14,586.69,587.8,580.92,584.65,1272900,584.65
2014-08-15,587.5,589.47,580.76,583.71,1723400,583.71
2014-08-18,587.1,595.05,586.55,592.7,1466000,592.7
2014-08-19,595.59,597.81,594.44,597.11,1043200,597.11
2014-08-20,596.95,596.99,593,595.41,967300,595.41
2014-08-21,594.9,595.25,591.1,592.42,1132000,592.42
2014-08-22,593.27,594.99,589.8,592.54,877200,592.54
2014-08-25,594.77,595.58,589.26,590.57,1295600,590.57
2014-08-26,592,592.05,587.45,588.12,1471700,588.12
2014-08-27,587.81,589.37,580.9,583,1364600,583
2014-08-28,580.02,584.71,577.88,580.32,1405800,580.32
2014-08-29,582.35,582.9,578.24,582.36,1206100,582.36
2014-09-02,582.95,589.3,582.4,588.63,1583000,588.63
2014-09-03,591.73,594.49,586.5,589.52,1579000,589.52
2014-09-04,592.13,598,590.6,593.14,1630800,593.14
2014-09-05,595.13,598.5,593.55,597.78,1799100,597.78
2014-09-08,599.14,603.52,598.02,601.63,1599200,601.63
2014-09-09,600.27,600.6,590.48,591.97,1571200,591.97
2014-09-10,591.74,593.72,587.14,593.42,1160100,593.42
2014-09-11,590,591.95,586.04,591.11,1501400,591.11
2014-09-12,590.39,591.48,583.28,584.9,1851500,584.9
2014-09-15,582.24,583.92,577.01,581.64,1545400,581.64
