Stock Quotes for GS,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,161.56,163.74,159.79,163.56,4557300,160.9
2013-06-04,163.46,165.74,160.5,161.68,3977300,159.05
2013-06-05,161.43,162.89,157.55,158.3,4138300,155.72
2013-06-06,158.3,159.79,156.34,159.68,3243900,157.08
2013-06-07,160.97,166.17,160.59,166.01,5690300,163.31
2013-06-10,166.7,168.2,165.29,167.49,3914200,164.76
2013-06-11,165.35,166.4,163.19,163.31,3858100,160.65
2013-06-12,164.98,164.98,161.07,161.86,3243300,159.22
2013-06-13,161.2,166.39,161.07,165.82,3768500,163.12
2013-06-14,165.74,166.11,162.91,162.92,2970600,160.27
2013-06-17,164.08,165.67,162.9,164.11,2628300,161.44
2013-06-18,164.15,164.87,163.05,164.15,2060700,161.48
2013-06-19,164.16,164.93,161.51,161.56,3557100,158.93
2013-06-20,159.15,159.99,154.84,155.41,6488600,152.88
2013-06-21,157,157.26,152.3,154.25,5390200,151.74
2013-06-24,151.99,152.6,148.71,150.78,4013200,148.32
2013-06-25,152.45,154.31,151.55,153.06,3274600,150.57
2013-06-26,154.48,154.56,150.75,151.66,3580400,149.19
2013-06-27,153.03,154.99,152.61,153.51,2654900,151.01
2013-06-28,152.69,152.77,151,151.25,3011300,148.79
2013-07-01,152.78,154.1,151.7,151.75,2496100,149.28
2013-07-02,151.16,153.19,149.9,150.92,3091600,148.46
2013-07-03,149.62,151.42,149.28,150.43,1267700,147.98
2013-07-05,152.3,153.29,151.5,153.24,2243700,150.74
2013-07-08,154.58,154.8,152.88,153.81,2699100,151.31
2013-07-09,154.99,157.44,153.17,156.94,3127100,154.38
2013-07-10,156.57,157.62,154.67,155.83,2430100,153.29
2013-07-11,158.5,159.74,156.11,157.71,2965700,155.14
2013-07-12,158.62,160.28,158.55,160.11,2844600,157.5
2013-07-15,162.8,163.39,161.16,163,4129900,160.35
2013-07-16,163.92,164.3,159.43,160.24,5972700,157.63
2013-07-17,159.84,161.99,159.5,161.5,3715000,158.87
2013-07-18,161.58,164.58,161.5,164.06,3462700,161.39
2013-07-19,163.75,164.85,162.58,164.36,3329700,161.68
2013-07-22,163.95,166.33,163.88,166.25,2741100,163.54
2013-07-23,166.5,167.41,165.48,166.26,2545400,163.55
2013-07-24,166.75,166.89,164.44,165.04,2548100,162.35
2013-07-25,164.28,166,163.69,165.91,2236200,163.21
2013-07-26,165.05,165.65,164.27,165.26,2372200,162.57
2013-07-29,164.63,164.83,162.02,163.17,2823600,160.51
2013-07-30,163.49,164.01,162.33,162.43,2553300,159.78
2013-07-31,162.53,165.97,162.43,164.03,3700300,161.36
2013-08-01,165.74,167.9,164.88,167.49,3251900,164.76
2013-08-02,166.83,167.9,166.46,167.62,1866700,164.89
2013-08-05,167.28,169.69,166.44,168.32,2618400,165.58
2013-08-06,168.07,168.28,164.47,164.78,3598500,162.1
2013-08-07,164,164.23,162.05,163.45,2131000,160.79
2013-08-08,164.75,166.43,162.83,162.84,2818400,160.19
2013-08-09,162.4,164.1,162.02,162.13,2012000,159.49
2013-08-12,161.73,162.38,160.55,161.69,1982000,159.06
2013-08-13,161.99,164.55,160.95,163.71,2309600,161.04
2013-08-14,163.85,164.8,162.93,163.34,1667400,160.68
2013-08-15,161.91,161.97,160.07,160.75,2206900,158.13
2013-08-16,160.28,162.29,160.03,160.66,2024300,158.04
2013-08-19,160.17,160.79,158.53,158.63,2228400,156.05
2013-08-20,158.72,160.03,157.78,159.56,2288700,156.96
2013-08-21,158.78,159.23,156.51,157.11,3053800,154.55
2013-08-22,157.81,159.66,157.2,159.41,2302700,156.81
2013-08-23,159.59,159.79,158,158.65,1495800,156.07
2013-08-26,158.41,160.7,157.75,157.9,1885200,155.33
2013-08-27,155.72,156.53,152.93,153.23,3672000,150.73
2013-08-28,153,154.15,151.45,152.97,2343200,150.97
2013-08-29,152.37,154.68,152.09,153.63,2133000,151.62
2013-08-30,153.77,153.98,151.33,152.13,2234000,150.14
2013-09-03,154.48,156.04,153.52,154.76,2464800,152.74
2013-09-04,154.76,157.25,154.35,155.74,2194200,153.71
2013-09-05,155.99,158.05,155.57,156.17,2443900,154.13
2013-09-06,156.98,157.71,153.42,156.66,2464000,154.61
