Stock Quotes for HON,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,64.67,65.09,64.16,64.75,5208600,62.49
2013-01-03,64.6,65.5,64.54,65,2974200,62.73
2013-01-04,65.25,66.45,65.25,66.33,4139300,64.01
2013-01-07,66.07,66.8,66,66.36,4264600,64.04
2013-01-08,66.25,66.26,65.54,65.74,2977400,63.44
2013-01-09,66.05,66.54,65.87,66.54,3218100,64.22
2013-01-10,66.87,66.87,66.09,66.42,4421000,64.1
2013-01-11,66.35,66.5,66.1,66.31,2346400,63.99
2013-01-14,66.4,66.76,66.12,66.76,1839600,64.43
2013-01-15,66.27,66.97,66.18,66.88,2273400,64.54
2013-01-16,66.54,66.73,66.38,66.73,2085800,64.4
2013-01-17,67,67.5,66.74,67.31,2269700,64.96
2013-01-18,67.48,67.81,67.14,67.81,3397900,65.44
2013-01-22,67.75,68.4,67.63,68.4,3643000,66.01
2013-01-23,68.3,68.4,68.05,68.27,3284400,65.89
2013-01-24,68.36,69.21,68.05,68.24,4118800,65.86
2013-01-25,69.16,69.25,67.95,68.33,5636400,65.94
2013-01-28,69.21,69.21,68.57,68.92,4427800,66.51
2013-01-29,68.92,69.2,68.6,69.09,3619200,66.68
2013-01-30,68.91,69.21,68.62,68.67,2477100,66.27
2013-01-31,68.4,68.69,68.07,68.24,3526300,65.86
2013-02-01,68.97,69.56,68.62,69.15,3680400,66.74
2013-02-04,68.74,68.94,68.39,68.56,3030800,66.17
2013-02-05,68.98,70.17,68.96,69.88,4577600,67.44
2013-02-06,69.53,70,69.31,69.92,3423600,67.48
2013-02-07,69.92,70.44,69.58,70.37,4108400,67.91
2013-02-08,70.28,70.79,70.18,70.53,3280800,68.07
2013-02-11,70.42,70.46,69.92,70.09,2322700,67.64
2013-02-12,70.07,70.57,69.96,70.42,2044600,67.96
2013-02-13,70.42,70.78,69.89,70.18,2584000,67.73
2013-02-14,70,70.38,69.78,70.09,2883700,67.64
2013-02-15,70.38,70.44,69.77,70.11,3058700,67.66
2013-02-19,70.23,70.95,70.03,70.93,3179800,68.45
2013-02-20,70.81,71.43,70.34,70.35,4208900,67.89
2013-02-21,69.64,69.98,69.34,69.8,4144400,67.76
2013-02-22,70,70.24,69.54,69.89,3615200,67.84
2013-02-25,69.89,70.13,68.95,68.95,5303500,66.93
2013-02-26,69.07,69.55,68.84,69.12,3786100,67.1
2013-02-27,69.1,70.51,69.02,70.35,2710900,68.29
2013-02-28,70.39,70.87,70.1,70.1,3684200,68.05
2013-03-01,69.71,70.26,69.23,70.05,2980000,68
2013-03-04,69.59,69.85,68.9,69.7,3570900,67.66
2013-03-05,70,70.87,69.97,70.68,3752600,68.61
2013-03-06,70.82,71.41,70.8,71.27,3522000,69.18
2013-03-07,71.63,72.36,71.45,72.17,4217300,70.06
2013-03-08,72.67,73.78,72.67,73.7,4927500,71.54
2013-03-11,73.36,73.93,72.95,73.86,3393200,71.7
2013-03-12,73.87,73.9,73.07,73.59,2988100,71.44
2013-03-13,73.73,74.02,73.54,73.95,3393800,71.79
2013-03-14,74.18,74.28,73.42,73.81,4589500,71.65
2013-03-15,73.57,73.86,73.33,73.46,5970700,71.31
2013-03-18,72.72,74.27,72.55,73.89,4259200,71.73
2013-03-19,74.07,74.37,73.43,74.03,4256600,71.86
2013-03-20,74.37,74.87,74.37,74.7,3635700,72.51
2013-03-21,74.59,75,74.44,74.59,4089000,72.41
2013-03-22,74.84,75.23,74.68,75.19,3605400,72.99
2013-03-25,75.45,75.75,74.37,74.86,4344100,72.67
2013-03-26,75.11,75.63,74.92,75.48,3433000,73.27
2013-03-27,75.03,75.2,74.58,75.17,2815600,72.97
2013-03-28,75.15,75.53,75,75.35,3490500,73.15
2013-04-01,75.2,75.28,74.1,74.33,3951200,72.15
2013-04-02,74.73,74.83,73.99,74.21,3563900,72.04
2013-04-03,74.48,74.57,73.18,73.33,4863300,71.18
2013-04-04,73.51,73.78,73.34,73.75,4249400,71.59
2013-04-05,72.69,73.16,72.43,72.98,4331500,70.84
2013-04-08,72.95,73.61,72.78,73.55,3308700,71.4
2013-04-09,73.64,73.72,73.18,73.54,2926800,71.39
2013-04-10,73.53,74.44,73.3,74.41,4390100,72.23
2013-04-11,74.44,74.86,74.2,74.7,3177900,72.51
2013-04-12,74.38,74.53,73.79,74.25,2143800,72.08
2013-04-15,73.87,73.92,72.18,72.2,3377200,70.09
2013-04-16,72.73,73.23,72.48,73.18,2473100,71.04
2013-04-17,72.74,72.74,71.42,71.89,3962700,69.79
2013-04-18,71.85,71.89,70.92,71.47,5337100,69.38
2013-04-19,73.72,74.44,72.66,74.18,6563400,72.01
2013-04-22,74.29,74.89,74.04,74.59,3767400,72.41
2013-04-23,75,75,73.75,74.76,2911700,72.57
2013-04-24,74.97,75.17,74.63,74.83,3761500,72.64
2013-04-25,74.93,75.04,74.43,74.53,5230600,72.35
2013-04-26,74.54,74.68,73.68,73.9,3330800,71.74
2013-04-29,74.02,74.11,73.45,73.8,3000500,71.64
2013-04-30,73.97,73.98,73,73.54,2918100,71.39
2013-05-01,73.2,73.39,72.47,72.53,3171200,70.41
2013-05-02,72.83,74.13,72.81,73.97,3130600,71.81
2013-05-03,74.71,75.7,74.71,75.24,3215000,73.04
2013-05-06,75.28,76.17,75.25,76.08,3608300,73.85
2013-05-07,76.2,77.05,76.13,76.9,2921400,74.65
2013-05-08,76.7,77.55,76.58,77.48,3018400,75.21
2013-05-09,77.44,78.01,77.34,77.78,4044100,75.5
2013-05-10,77.75,78.08,77.23,77.74,2311800,75.47
2013-05-13,77.69,78.02,77.47,77.86,1993100,75.58
2013-05-14,77.84,79.16,77.84,79.16,3047800,76.84
2013-05-15,78.88,79.89,78.53,79.89,3321000,77.55
2013-05-16,79.29,79.29,78.55,78.73,3465000,76.82
2013-05-17,79.23,80.84,79.05,80.75,4064400,78.79
2013-05-20,80.32,81.24,80.23,80.53,2528400,78.58
2013-05-21,80.5,80.87,79.91,80.15,3178400,78.21
2013-05-22,80.16,80.84,79.31,79.59,4134300,77.66
2013-05-23,78.7,79.61,78.55,79.24,3924400,77.32
2013-05-24,79.01,79.42,78.5,79.29,2422900,77.37
2013-05-28,80.28,80.88,79.75,79.77,3314600,77.84
2013-05-29,79.18,79.68,78.54,78.8,3285900,76.89
2013-05-30,79.01,79.85,78.7,79.44,2783100,77.51
2013-05-31,79.21,80.14,78.46,78.46,3283600,76.56
2013-06-03,78.55,79.19,78.02,78.85,2801600,76.94
2013-06-04,78.7,79.23,77.38,77.74,3455400,75.85
2013-06-05,77.49,77.58,76.51,76.7,2710800,74.84
2013-06-06,76.76,77.66,76.3,77.66,2862300,75.78
2013-06-07,78.39,79.22,77.88,79.08,3255800,77.16
2013-06-10,79.24,79.31,78.29,78.68,2351100,76.77
2013-06-11,77.92,78.9,77.68,78.16,1569600,76.26
2013-06-12,78.76,78.94,77.26,77.32,2107400,75.44
2013-06-13,77.34,78.51,77.18,78.31,2388200,76.41
2013-06-14,78.16,78.65,77.86,78.18,2636900,76.28
2013-06-17,78.83,79.97,78.72,79.71,3786500,77.78
2013-06-18,79.87,81.09,79.71,80.85,3223200,78.89
2013-06-19,80.83,80.93,79.68,79.68,3056900,77.75
2013-06-20,79.01,79.29,77.49,77.67,3398300,75.79
2013-06-21,78.31,78.5,77.29,78.25,4407700,76.35
2013-06-24,77.49,77.54,76.15,76.65,3581400,74.79
2013-06-25,77.46,77.99,77.17,77.65,2424400,75.77
2013-06-26,78.5,79.86,78.44,79.75,3634200,77.82
2013-06-27,80.15,81,80.15,80.2,3352000,78.25
2013-06-28,80,80.2,79.3,79.34,3475300,77.42
2013-07-01,79.86,81.09,79.86,80.32,2146600,78.37
2013-07-02,79.24,79.84,77.63,77.88,8982700,75.99
2013-07-03,77.36,78.97,77.32,78.51,2581700,76.61
2013-07-05,79.04,80.08,79.04,80.06,2101100,78.12
2013-07-08,80.48,81.04,80.05,80.67,3859300,78.71
2013-07-09,81.32,81.65,81.14,81.39,2928700,79.42
2013-07-10,81.25,81.75,80.93,81.21,2433500,79.24
2013-07-11,82.17,82.67,81.98,82.57,2489200,80.57
2013-07-12,82.56,82.75,81.87,82.37,2675900,80.37
2013-07-15,82.5,82.68,81.71,82.3,3386300,80.3
2013-07-16,82.35,82.64,81.86,82.03,1890500,80.04
2013-07-17,82.37,82.95,82.23,82.44,2249200,80.44
2013-07-18,82.44,83.29,82.01,82.97,3721100,80.96
2013-07-19,84.38,84.85,82.9,83.57,3182800,81.54
2013-07-22,83.05,83.29,82.75,83.04,2593100,81.03
2013-07-23,83.44,83.59,82.93,83.27,2027700,81.25
2013-07-24,83.41,83.59,82.84,83.01,1991500,81
2013-07-25,82.79,83,82.56,82.85,2573300,80.84
2013-07-26,82.55,82.95,82.3,82.88,2534200,80.87
2013-07-29,82.63,83.12,82.48,82.76,2265800,80.75
2013-07-30,83.24,83.74,82.74,83,2438800,80.99
2013-07-31,83.3,83.8,82.93,82.98,3018300,80.97
2013-08-01,83.8,84.71,83.63,84.56,2238600,82.51
2013-08-02,84.4,84.78,84.05,84.68,2392500,82.63
2013-08-05,84.28,84.71,84.01,84.53,1504000,82.48
2013-08-06,84.46,84.7,83.91,84.16,2074300,82.12
2013-08-07,83.99,84,83.34,83.65,2438400,81.62
2013-08-08,84.1,84.39,83.5,83.51,2108400,81.48
2013-08-09,83.53,83.69,83.11,83.32,2265000,81.3
2013-08-12,82.96,83.55,82.62,83.43,2115200,81.41
2013-08-13,83.48,83.94,83.16,83.69,1453400,81.66
2013-08-14,83.79,83.92,83.22,83.35,1723500,81.33
2013-08-15,82.6,82.7,81.78,82.01,2295300,80.02
2013-08-16,81.65,82.15,81.52,81.96,3577600,80.37
2013-08-19,81.69,82.01,81.4,81.46,2312300,79.88
2013-08-20,81.49,82.19,81.4,81.72,1765000,80.14
2013-08-21,81.6,81.69,80.52,80.58,2904100,79.02
2013-08-22,80.57,81.08,80.38,80.77,2637000,79.21
2013-08-23,80.83,81.58,80.41,81.4,1805600,79.82
2013-08-26,81.51,81.67,80.95,81.05,2047500,79.48
2013-08-27,80.17,80.5,79.09,79.25,3043000,77.72
2013-08-28,79.24,79.74,78.88,79.45,3046900,77.91
2013-08-29,79.25,80.49,79.09,80.06,1813100,78.51
2013-08-30,80.36,80.36,79.26,79.57,1968300,78.03
2013-09-03,80.44,81.03,80.31,80.98,4027900,79.41
2013-09-04,80.4,81.09,80.23,80.96,3338300,79.39
2013-09-05,80.9,81.91,80.69,81.39,1815800,79.81
2013-09-06,81.56,82.23,80.25,81.66,2060100,80.08
2013-09-09,81.84,82.73,81.77,82.43,2270100,80.83
2013-09-10,82.98,84.28,82.8,84.13,2362700,82.5
2013-09-11,84.2,84.4,83.65,84.03,2512700,82.4
2013-09-12,84.08,84.42,83.77,83.78,2016100,82.16
2013-09-13,84.02,84.09,83.32,84.05,1658800,82.42
2013-09-16,85.11,85.33,84.44,85.1,2135200,83.45
2013-09-17,85.14,85.67,85.01,85.45,1986500,83.8
2013-09-18,85.42,86.88,84.9,86.65,2276500,84.97
2013-09-19,86.92,87.55,86.67,86.79,2285300,85.11
2013-09-20,86.61,86.71,85.48,85.48,3460700,83.83
2013-09-23,85.21,85.48,83.98,84.13,3266900,82.5
2013-09-24,84.1,84.96,83.74,84.25,2279000,82.62
2013-09-25,84.33,84.67,83.84,83.84,2248500,82.22
2013-09-26,84.02,84.43,83.72,84.05,1387500,82.42
2013-09-27,83.55,83.81,83.15,83.58,1704500,81.96
2013-09-30,82.8,83.43,82.37,83.04,2489500,81.43
2013-10-01,83.13,83.52,82.86,83.22,2447400,81.61
2013-10-02,82.65,82.88,82.08,82.84,2930800,81.24
2013-10-03,82.63,82.8,81.04,81.45,2633200,79.87
2013-10-04,81.67,82.49,81.31,82.24,2536600,80.65
2013-10-07,81.45,83.4,81.1,82.91,3575700,81.31
2013-10-08,82.8,83.35,81.79,81.82,3047300,80.24
2013-10-09,82,82.5,81.45,81.9,2634400,80.31
2013-10-10,82.85,85.09,82.8,85.09,3602600,83.44
2013-10-11,85.01,86.51,84.9,86.46,3390900,84.79
2013-10-14,85.68,86.14,85.33,85.98,2850700,84.32
2013-10-15,85.76,86,84.97,85.14,1974300,83.49
2013-10-16,85.79,86.17,85.01,85.75,2419100,84.09
2013-10-17,85.39,86.78,85.19,86.74,2679400,85.06
2013-10-18,85.71,85.94,83.7,84.58,7040200,82.94
2013-10-21,84.58,84.84,84.06,84.65,3512500,83.01
2013-10-22,84.97,86.48,84.9,86.16,3334300,84.49
2013-10-23,86.13,86.69,85.54,86.69,2698800,85.01
2013-10-24,86.85,87.43,86.72,87.28,2255900,85.59
2013-10-25,87.2,87.54,86.65,87.5,2747700,85.81
2013-10-28,87.14,87.55,86.91,87.33,1941500,85.64
2013-10-29,87.11,87.52,86.93,87.46,1940800,85.77
2013-10-30,87.52,87.94,86.57,86.72,1827800,85.04
2013-10-31,86.85,87.65,86.5,86.73,2290000,85.05
2013-11-01,86.77,87.77,86.54,86.91,3092500,85.23
2013-11-04,87,87,85.9,86.31,3240400,84.64
2013-11-05,86.05,86.69,85.42,86.34,1975300,84.67
2013-11-06,86.82,87.19,86.39,86.72,1793900,85.04
2013-11-07,86.73,86.99,85.33,85.46,2392100,83.81
2013-11-08,85.52,87.46,85.37,87.44,2741500,85.75
2013-11-11,87.37,87.67,87.08,87.42,2042700,85.73
2013-11-12,87.23,87.4,86.46,86.59,2438100,84.91
2013-11-13,86.36,87.51,86.13,87.51,2659200,85.82
2013-11-14,87.75,88.82,87.4,88.67,2799200,86.95
2013-11-15,88.28,88.77,88.21,88.62,2572300,86.9
2013-11-18,88.88,89.52,88.54,88.68,2416600,86.96
2013-11-19,88.02,88.46,87.7,87.86,1777700,86.6
2013-11-20,88.15,88.15,87.1,87.22,1796600,85.97
2013-11-21,87.41,88.05,87.36,87.94,1618200,86.68
2013-11-22,87.87,88.87,87.68,88.8,1914600,87.53
2013-11-25,89,89.27,88.48,88.59,1664900,87.32
2013-11-26,88.65,89.1,88.42,88.53,1834000,87.26
2013-11-27,88.99,89.41,88.69,88.87,1171000,87.59
2013-11-29,88.83,89.16,88.39,88.51,1156200,87.24
2013-12-02,88.48,88.99,88,88.14,2052500,86.88
2013-12-03,87.95,87.95,86.68,87.07,2317500,85.82
2013-12-04,86.84,87.29,86.19,86.83,2423600,85.58
2013-12-05,86.7,87.3,86.5,86.86,1793400,85.61
2013-12-06,88.08,88.48,87.72,88.32,1653900,87.05
2013-12-09,88.38,88.52,87.73,87.87,1805000,86.61
2013-12-10,87.66,88.28,87.42,87.84,1770400,86.58
2013-12-11,87.78,87.8,86.27,86.45,2887800,85.21
2013-12-12,86.22,86.7,85.92,86.29,2926700,85.05
2013-12-13,86.56,87.38,85.77,86.61,4191700,85.37
2013-12-16,86.94,87.73,86.46,87.37,3131400,86.12
2013-12-17,87.58,87.98,86.44,86.48,3656500,85.24
2013-12-18,86.78,88.48,85.9,88.45,3583500,87.18
2013-12-19,88.07,88.72,87.97,88.64,2558000,87.37
2013-12-20,88.82,90,88.61,89.55,3839700,88.26
2013-12-23,90,90.21,89.36,89.72,2298500,88.43
2013-12-24,89.96,90.61,89.71,90.45,854300,89.15
2013-12-26,90.58,91.22,90.55,91.1,2173300,89.79
2013-12-27,91.33,91.43,91.07,91.14,1065900,89.83
2013-12-30,91.32,91.44,90.79,91,1450300,89.69
2013-12-31,90.87,91.56,90.73,91.37,1456500,90.06
2014-01-02,90.96,91.14,90.05,90.32,1744200,89.02
2014-01-03,90.49,90.96,90.33,90.52,1472500,89.22
2014-01-06,90.95,91.26,90.4,90.43,1955800,89.13
2014-01-07,90.57,91.14,90.47,90.8,1573700,89.5
2014-01-08,90.07,90.8,89.92,90.44,2645300,89.14
