Stock Quotes for HPQ,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,24.46,25.06,24.37,24.9,20681700,24.13
2013-06-04,24.84,25.2,24.42,24.62,16972300,23.86
2013-06-05,24.55,24.66,24.12,24.19,15867900,23.44
2013-06-06,24.2,24.57,23.71,24.25,15147700,23.5
2013-06-07,24.33,24.81,24.26,24.81,12844300,24.04
2013-06-10,24.66,24.82,24.34,24.49,14162400,23.87
2013-06-11,24.27,24.62,24.09,24.24,12508900,23.63
2013-06-12,24.69,25.49,24.69,24.91,22191000,24.28
2013-06-13,24.78,25.28,24.6,24.93,13706100,24.3
2013-06-14,24.93,25.09,24.55,24.74,9749100,24.12
2013-06-17,24.88,25.33,24.85,25.16,13240100,24.53
2013-06-18,25.17,25.55,25.13,25.44,11493200,24.8
2013-06-19,25.41,25.87,25.3,25.43,17328200,24.79
2013-06-20,25.62,25.62,24.57,24.72,17810400,24.1
2013-06-21,24.94,25.05,24.11,24.15,23634800,23.54
2013-06-24,23.94,24,23.19,23.43,15995200,22.84
2013-06-25,23.72,24.28,23.71,23.85,14435200,23.25
2013-06-26,24.19,24.51,23.92,24.01,14482900,23.4
2013-06-27,24.11,24.77,24.09,24.77,15520900,24.15
2013-06-28,24.55,24.92,24.48,24.8,15881500,24.17
2013-07-01,24.95,25.1,24.8,24.93,9981400,24.3
2013-07-02,24.89,25.21,24.79,25.02,10293500,24.39
2013-07-03,24.88,25.27,24.76,25.18,7485900,24.55
2013-07-05,25.29,25.75,25.2,25.58,12804600,24.94
2013-07-08,25.71,25.87,25.11,25.17,11145500,24.54
2013-07-09,25.55,25.62,25.28,25.47,9828700,24.83
2013-07-10,26.08,26.71,25.7,25.93,33179700,25.28
2013-07-11,26.23,26.54,25.99,26.38,20139400,25.71
2013-07-12,26.39,26.5,26.1,26.19,11333800,25.53
2013-07-15,26.33,26.44,26.11,26.38,8270600,25.71
2013-07-16,26.41,26.52,26.19,26.45,10876500,25.78
2013-07-17,26.28,26.49,26.04,26.31,16597500,25.65
2013-07-18,26.24,26.43,25.93,26.33,10687100,25.67
2013-07-19,26.03,26.11,25.06,25.14,24885800,24.51
2013-07-22,25.25,25.69,25.15,25.51,14231500,24.87
2013-07-23,25.62,26.04,25.62,25.73,11201400,25.08
2013-07-24,25.83,26.14,25.78,26.11,11263800,25.45
2013-07-25,26.04,26.28,25.79,26.24,10950300,25.58
2013-07-26,26.01,26.05,25.77,25.99,7457200,25.33
2013-07-29,25.96,26.19,25.61,25.67,9059300,25.02
2013-07-30,25.77,26.05,25.67,25.78,13112000,25.13
2013-07-31,25.8,26.18,25.57,25.68,18035900,25.03
2013-08-01,25.79,26.36,25.7,26.23,9522100,25.57
2013-08-02,26.27,27.78,26.24,27,30178500,26.32
2013-08-05,26.75,27.15,26.75,27.03,8630900,26.35
2013-08-06,27.09,27.12,26.41,26.44,10890500,25.77
2013-08-07,26.36,26.71,26.23,26.69,8030300,26.02
2013-08-08,26.89,26.93,26.46,26.87,9960000,26.19
2013-08-09,26.73,27.1,26.5,26.77,11150100,26.1
2013-08-12,26.67,26.84,26.51,26.74,8746300,26.07
2013-08-13,27.02,27.58,26.97,27.3,17994700,26.61
2013-08-14,27.27,27.32,26.95,27.18,10399900,26.49
2013-08-15,26.76,26.84,25.83,25.95,15054800,25.3
2013-08-16,25.95,26.57,25.92,26.42,15088600,25.75
2013-08-19,26.3,26.53,25.8,25.88,11810500,25.23
2013-08-20,25.87,26.02,25.57,25.84,10686500,25.19
2013-08-21,25.93,26.04,25.23,25.38,25730100,24.74
2013-08-22,23.2,23.24,21.81,22.22,67670500,21.66
2013-08-23,22.22,22.45,22.07,22.4,22067000,21.84
2013-08-26,22.36,22.64,22.25,22.27,17461600,21.71
2013-08-27,22.06,22.38,21.92,21.99,16716300,21.44
2013-08-28,22.03,22.65,22.02,22.61,18371400,22.04
2013-08-29,22.53,22.69,22.37,22.52,11186600,21.95
2013-08-30,22.43,22.47,22.2,22.34,12125500,21.78
2013-09-03,22.49,22.7,22.3,22.37,13731300,21.81
2013-09-04,22.36,22.62,22.27,22.27,13818700,21.71
2013-09-05,22.27,22.27,22.01,22.12,15236700,21.56
2013-09-06,22.29,22.59,22.05,22.42,14231000,21.85
2013-09-09,22.33,22.45,22.24,22.36,10543700,21.94
2013-09-10,22.07,22.42,21.91,22.27,17345600,21.85
2013-09-11,22.31,22.37,22.18,22.27,11297800,21.85
2013-09-12,22.21,22.3,21.81,21.96,19889200,21.55
2013-09-13,21.96,22.13,21.7,22.07,12872600,21.65
2013-09-16,22.29,22.34,21.69,21.74,14837300,21.33
2013-09-17,21.83,22,21.44,21.67,15380500,21.26
2013-09-18,21.52,21.94,21.52,21.8,13116200,21.39
2013-09-19,21.91,21.97,21.27,21.31,17026400,20.91
2013-09-20,21.42,21.59,21.22,21.22,28151400,20.82
2013-09-23,21.21,21.38,20.96,21.2,14024300,20.8
2013-09-24,21.24,21.47,21.02,21.24,13049300,20.84
2013-09-25,21.27,21.42,21.02,21.4,17279700,21
2013-09-26,21.27,21.59,21.24,21.3,10444500,20.9
2013-09-27,21.22,21.45,21.08,21.17,10044100,20.77
2013-09-30,20.94,21.08,20.82,20.99,13650500,20.59
2013-10-01,20.95,21.32,20.95,21.31,10257500,20.91
2013-10-02,21.3,21.62,21.2,21.4,16227800,21
2013-10-03,21.39,21.42,20.8,20.92,12740700,20.53
2013-10-04,20.94,21.31,20.88,21.26,10113700,20.86
2013-10-07,21,21.19,20.83,20.93,13986600,20.54
2013-10-08,20.89,20.94,20.25,20.75,17752400,20.36
2013-10-09,20.77,22.76,20.35,22.6,55970400,22.17
2013-10-10,23.02,23.51,22.06,22.32,33998100,21.9
2013-10-11,22.39,23,22.25,22.8,18149900,22.37
2013-10-14,22.62,22.99,22.4,22.9,11011000,22.47
2013-10-15,22.86,22.96,22.61,22.79,13452500,22.36
2013-10-16,22.93,23.35,22.81,23.28,17397300,22.84
2013-10-17,23.13,23.43,22.97,23.39,9806800,22.95
2013-10-18,23.53,23.63,23.23,23.48,14360400,23.04
2013-10-21,23.52,23.78,23.45,23.55,9412700,23.11
2013-10-22,23.58,24.39,23.49,24.05,16356400,23.6
2013-10-23,23.84,23.97,23.63,23.76,9147000,23.31
2013-10-24,23.78,24.04,23.75,23.88,9049000,23.43
2013-10-25,24.08,24.1,23.8,24,8360500,23.55
2013-10-28,23.99,24.09,23.72,23.86,12371400,23.41
2013-10-29,23.96,24.1,23.64,23.84,11287000,23.39
2013-10-30,23.86,24.3,23.86,24.2,11615700,23.74
2013-10-31,24.13,24.57,24.09,24.37,13802800,23.91
2013-11-01,24.5,26.15,24.5,25.92,34178400,25.43
2013-11-04,25.94,25.94,25.49,25.77,15111900,25.28
2013-11-05,25.71,25.71,25.15,25.47,13095300,24.99
2013-11-06,25.57,25.74,25.43,25.61,12642400,25.13
2013-11-07,25.66,26.28,25.63,25.69,14833500,25.21
2013-11-08,25.58,25.95,25.5,25.94,15117900,25.45
2013-11-11,25.9,26.59,25.76,26.35,12233400,25.85
2013-11-12,26.19,26.59,26.16,26.22,9934200,25.73
2013-11-13,26.14,26.51,26.05,26.49,9289300,25.99
2013-11-14,25.75,25.94,24.84,25.07,26392100,24.6
2013-11-15,25.15,25.31,24.88,25.21,19314800,24.73
2013-11-18,25.32,25.38,24.96,25,11593000,24.53
