Stock Quotes for IBM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,194.09,196.35,193.8,196.35,4234100,189.33
2013-01-03,195.67,196.29,194.44,195.27,3644700,188.29
2013-01-04,194.19,194.46,192.78,193.99,3380200,187.06
2013-01-07,193.4,193.78,192.34,193.14,2862300,186.24
2013-01-08,192.92,193.3,191.6,192.87,3026900,185.98
2013-01-09,193.48,193.49,191.65,192.32,3212000,185.45
2013-01-10,192.65,192.96,191.28,192.88,3608100,185.99
2013-01-11,194.15,195,192.9,194.45,3880400,187.5
2013-01-14,192.82,193.28,191.75,192.62,4172200,185.74
2013-01-15,191.31,192.73,190.39,192.5,4172100,185.62
2013-01-16,192,193.18,191.35,192.59,2962900,185.71
2013-01-17,193.85,194.46,193.24,193.65,3881600,186.73
2013-01-18,194.03,195,193.8,194.47,4559600,187.52
2013-01-22,194.36,196.08,194.01,196.08,7172300,189.07
2013-01-23,203.5,208.58,203.36,204.72,12530500,197.4
2013-01-24,203.91,205.06,203.08,204.42,4447200,197.12
2013-01-25,204.45,205.18,204.13,204.97,3358900,197.65
2013-01-28,204.85,206.22,204.29,204.93,2823700,197.61
2013-01-29,204.34,205.73,203.64,203.9,3617100,196.61
2013-01-30,203.69,204.88,203.19,203.52,2998400,196.25
2013-01-31,203.32,204.47,202.96,203.07,3091400,195.81
2013-02-01,204.65,205.35,203.84,205.18,3370700,197.85
2013-02-04,204.19,205.02,203.57,203.79,3188800,196.51
2013-02-05,204.31,204.75,202.51,202.79,3636900,195.54
2013-02-06,200.39,201.29,199.56,201.02,3624200,194.65
2013-02-07,200.62,200.91,198.68,199.74,3076700,193.41
2013-02-08,199.97,202.09,199.68,201.68,2893300,195.29
2013-02-11,200.98,201.95,199.75,200.16,2944700,193.82
2013-02-12,200.01,200.74,199.02,200.04,2461800,193.7
2013-02-13,200.65,200.95,199.57,200.09,2169800,193.75
2013-02-14,199.73,200.32,199.26,199.65,3294200,193.33
2013-02-15,199.98,201.25,199.82,200.98,3627800,194.61
2013-02-19,200.6,201.89,200.22,200.32,2998300,193.97
2013-02-20,200.62,201.72,198.86,199.31,3715400,193
2013-02-21,198.63,199.07,198.11,198.33,3922900,192.05
2013-02-22,199.23,201.09,198.84,201.09,3107900,194.72
2013-02-25,201.67,202.49,197.51,197.51,3844800,191.25
2013-02-26,198.63,199.9,197.84,199.14,3391600,192.83
2013-02-27,198.89,202.75,198.6,202.33,4185100,195.92
2013-02-28,202.18,203.12,200.79,200.83,4689200,194.47
2013-03-01,200.65,202.94,199.36,202.91,3308300,196.48
2013-03-04,202.59,205.19,202.55,205.19,3693400,198.69
2013-03-05,205.86,207.7,205.69,206.53,3807800,199.99
2013-03-06,207.03,208.49,206.66,208.38,3594800,201.78
2013-03-07,208.29,209.6,208.24,209.42,3884400,202.79
2013-03-08,209.85,210.74,209.43,210.38,3700500,203.72
2013-03-11,210.04,210.2,209.04,210.08,3049700,203.43
2013-03-12,209.4,210.73,209.09,210.55,3591600,203.88
2013-03-13,210.2,212.36,209.77,212.06,3355900,205.34
2013-03-14,212.15,215.86,212.15,215.8,5505500,208.96
2013-03-15,215.38,215.9,213.41,214.92,7930300,208.11
2013-03-18,212.9,214.5,212.64,213.21,3006000,206.46
2013-03-19,214.13,215.12,211.83,213.44,3198600,206.68
2013-03-20,214.76,215.82,214.3,215.06,3019000,208.25
2013-03-21,212.96,213,210.11,212.26,5830400,205.54
2013-03-22,212.21,213.17,211.62,212.08,3031500,205.36
2013-03-25,212.54,212.81,210.05,210.74,3242500,204.06
2013-03-26,211.77,212.5,211.5,212.36,2300300,205.63
2013-03-27,210.96,212.16,210.1,210.89,3223400,204.21
2013-03-28,209.83,213.44,209.74,213.3,3749900,206.54
2013-04-01,212.8,213.5,211.25,212.38,2144500,205.65
2013-04-02,212.92,214.71,211.57,214.36,3116800,207.57
2013-04-03,214.32,214.89,212.63,212.66,3128800,205.92
2013-04-04,212.77,212.93,210.04,211.31,3709500,204.62
2013-04-05,209.1,209.84,206.34,209.41,4148000,202.78
2013-04-08,209.07,209.32,207.33,209.32,2351200,202.69
2013-04-09,209.56,210,208.61,209.22,2577300,202.59
2013-04-10,211.86,212.51,210.47,212,3524200,205.28
2013-04-11,211.5,213.09,210.85,212.92,3655600,206.18
2013-04-12,210.79,211.49,209.78,211.38,3165400,204.68
2013-04-15,210.44,211.69,209.26,209.26,4218100,202.63
2013-04-16,210.84,212,209.2,212,2859500,205.28
2013-04-17,210.53,211.09,209.5,209.67,3269800,203.03
2013-04-18,210.11,210.25,206.15,207.15,6502000,200.59
2013-04-19,195.74,196.5,189.76,190,18847000,183.98
2013-04-22,191.15,191.38,187.68,187.83,9845400,181.88
2013-04-23,189.27,192.55,188.61,191.61,6296100,185.54
2013-04-24,192.16,192.5,191.09,191.71,3693900,185.64
2013-04-25,192.69,195.17,192.32,193.95,4650900,187.81
2013-04-26,194.16,194.71,193.25,194.31,3490300,188.16
2013-04-29,194.78,199.68,194.65,199.15,5932400,192.84
2013-04-30,199.13,202.59,197.35,202.54,7539900,196.12
2013-05-01,201.87,202.17,199.2,199.63,4899100,193.31
2013-05-02,200.12,202.43,199.75,202.39,3945100,195.98
2013-05-03,203.94,205.32,203.75,204.51,4492700,198.03
2013-05-06,203.79,203.99,201.52,202.78,4826500,196.36
2013-05-07,202.81,203.73,201.65,203.63,3451000,197.18
2013-05-08,202.94,204.85,202.51,204.82,3601700,199.26
2013-05-09,204.69,205,202.72,203.24,3542300,197.72
2013-05-10,203.37,204.53,202.82,204.47,3279200,198.92
2013-05-13,204.18,204.47,202.22,202.47,3648400,196.98
2013-05-14,202.09,203.67,202.08,203.21,3699700,197.7
2013-05-15,202.25,203.68,202.04,203.32,4028100,197.8
2013-05-16,204,206.59,204,204.69,4507000,199.14
2013-05-17,205.25,209.5,204.99,208.44,5704100,202.78
2013-05-20,208.02,209.15,207.42,207.6,3614500,201.97
2013-05-21,207.24,209.48,207,208.65,2982900,202.99
2013-05-22,208.5,210.15,206.12,206.99,5186800,201.37
2013-05-23,205.48,208.61,205.13,206.16,5179100,200.57
2013-05-24,204.69,206.43,204.42,205.72,3295800,200.14
2013-05-28,207.44,208.59,207.16,207.78,4011500,202.14
2013-05-29,206.22,208.42,206.04,207.92,3439400,202.28
2013-05-30,206.97,210.99,206.97,209.36,4399700,203.68
2013-05-31,208.59,211.98,208.02,208.02,4949000,202.38
2013-06-03,208.25,210.05,207.33,208.95,3322000,203.28
2013-06-04,208.6,209,205.08,206.19,3598300,200.59
2013-06-05,205.16,206.29,202.4,202.74,4215400,197.24
2013-06-06,203,204.2,201.47,203.8,3679400,198.27
2013-06-07,204.85,206.35,204.11,206.35,2953400,200.75
2013-06-10,206.97,206.98,204.9,205.02,2652300,199.46
2013-06-11,203.17,205.95,202.51,203.98,2814400,198.44
2013-06-12,204.59,205.23,200.51,201.2,3409800,195.74
2013-06-13,201.01,204.4,200.34,203.77,2899500,198.24
2013-06-14,203.97,204.74,201.81,202.2,2804500,196.71
2013-06-17,203.44,205.17,202.55,203.04,3219900,197.53
2013-06-18,203.02,206.09,202.87,204.87,3277800,199.31
2013-06-19,204.44,205.03,201.93,201.94,2846100,196.46
2013-06-20,200.67,201.7,197.28,197.35,4514800,191.99
2013-06-21,198.5,198.52,193.54,195.46,8914800,190.16
2013-06-24,193.99,194.91,191.34,193.54,4356200,188.29
2013-06-25,195.31,195.59,193.15,194.98,3846200,189.69
2013-06-26,195.97,196.23,194.5,194.86,3320200,189.57
2013-06-27,196.05,196.9,195.29,195.65,3514200,190.34
2013-06-28,191.73,192.66,188.41,191.11,10055800,185.92
2013-07-01,192.15,193.8,191.12,191.28,4442400,186.09
2013-07-02,190.78,193.23,190.26,191.5,3657700,186.3
2013-07-03,190.98,194.22,190.51,193.25,1872600,188.01
2013-07-05,194.49,195.16,192.35,194.93,2405400,189.64
2013-07-08,195.6,195.78,194.61,194.98,2947500,189.69
2013-07-09,191.88,192.8,190.78,191.3,5204200,186.11
2013-07-10,191.51,193.43,191.27,192.25,3892000,187.03
2013-07-11,193.78,194.11,192.61,192.8,4177500,187.57
2013-07-12,193.07,193.7,191.59,192.07,4494700,186.86
2013-07-15,192.42,194.89,191.68,194,5674700,188.74
2013-07-16,194.04,194.58,192.68,193.85,3745300,188.59
2013-07-17,194.72,194.89,193.03,194.55,6868400,189.27
2013-07-18,198.27,200.94,195.99,197.99,8393400,192.62
2013-07-19,197.91,197.99,193.24,193.54,6997600,188.29
2013-07-22,193.4,195.79,193.28,194.09,3398000,188.82
2013-07-23,194.21,196.43,194.1,194.98,2863800,189.69
2013-07-24,195.95,197.3,195.86,196.61,2957900,191.27
2013-07-25,196.3,197.83,195.66,197.22,3014300,191.87
2013-07-26,196.59,197.37,195,197.35,2485100,191.99
2013-07-29,196.83,197.19,195.53,196.21,2113700,190.89
2013-07-30,196.99,197.83,195.81,196.01,2663200,190.69
2013-07-31,194.49,196.91,194.49,195.04,3810000,189.75
2013-08-01,196.65,197.17,195.41,195.81,2877700,190.5
2013-08-02,195.5,195.5,193.22,195.16,3874000,189.86
2013-08-05,195.16,195.88,194.35,195.5,2490900,190.19
2013-08-06,192.26,192.51,190.27,190.99,5938500,185.81
2013-08-07,189.6,189.93,188.05,188.56,3901700,184.36
2013-08-08,189.45,189.87,186.79,187.93,4547600,183.74
