Stock Quotes for JNJ,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,84.28,84.71,83.37,84.71,11768500,81.77
2013-06-04,84.72,85.03,83.56,84.1,9972000,81.18
2013-06-05,83.91,85,83.48,83.68,9839100,80.78
2013-06-06,83.59,84.46,82.65,84.46,10671000,81.53
2013-06-07,84.96,85.18,84.4,84.91,8907700,81.96
2013-06-10,85.01,85.71,84.73,85.14,8477100,82.19
2013-06-11,84.76,85.02,84.13,84.69,8967000,81.75
2013-06-12,85.18,85.5,83.7,83.74,8413200,80.83
2013-06-13,83.6,84.96,83.08,84.91,8570000,81.96
2013-06-14,84.71,85.48,84.66,84.91,6357100,81.96
2013-06-17,85.37,86.4,84.98,85.63,8429100,82.66
2013-06-18,85.75,86.44,85.63,86.36,7233600,83.36
2013-06-19,86.43,86.5,84.8,84.86,8288400,81.92
2013-06-20,84.21,84.45,82.12,82.62,15172600,79.75
2013-06-21,83,84.32,82.5,83.2,20715800,80.31
2013-06-24,82.92,85.31,82.81,84.61,14777500,81.67
2013-06-25,85.16,85.59,84.54,85.35,11239400,82.39
2013-06-26,85.95,87.32,85.94,86.99,11966500,83.97
2013-06-27,87.53,87.82,86.49,86.71,8890300,83.7
2013-06-28,86.72,87.38,85.85,85.86,11896300,82.88
2013-07-01,85.72,87.64,85.5,86.63,9905200,83.62
2013-07-02,86.65,87.2,86.21,86.57,8572100,83.57
2013-07-03,86.54,87.04,86.1,86.78,3599900,83.77
2013-07-05,87.58,87.88,86.92,87.87,5403600,84.82
2013-07-08,88.09,88.99,87.97,88.59,12051400,85.52
2013-07-09,88.65,89.08,88.36,88.88,9348600,85.8
2013-07-10,88.88,89.48,88.81,89.24,7067100,86.14
2013-07-11,89.81,89.93,89,89.67,8941300,86.56
2013-07-12,89.69,89.99,89.38,89.99,7590600,86.87
2013-07-15,89.91,90.81,89.76,90.4,13343200,87.26
2013-07-16,91.04,91.66,90.13,90.4,11409200,87.26
2013-07-17,90.58,90.97,89.88,90.13,12832200,87
2013-07-18,90.33,90.95,90.06,90.17,8329300,87.04
2013-07-19,90.24,92.27,90.05,92.23,12506300,89.03
2013-07-22,92.08,92.56,91.61,92.28,9916200,89.08
2013-07-23,92.39,92.86,92.11,92.42,8467700,89.21
2013-07-24,92.65,92.66,91.75,92.36,6846300,89.15
2013-07-25,92,92.75,91.75,92.57,7368000,89.36
2013-07-26,92.32,92.93,91.65,92.83,8663700,89.61
2013-07-29,92.63,93.39,92.61,93.21,7925000,89.98
2013-07-30,93.47,93.97,93.02,93.17,8863000,89.94
2013-07-31,93.23,94.42,93.19,93.5,11365700,90.26
2013-08-01,94.16,94.4,93.7,93.77,11098600,90.52
2013-08-02,93.56,94.39,93.45,94.39,8503100,91.11
2013-08-05,94.05,94.3,93.43,93.8,7192400,90.54
2013-08-06,93.88,93.94,93.5,93.81,6415000,90.55
2013-08-07,93.6,94.03,93.47,93.66,9056900,90.41
2013-08-08,94.27,94.37,92.71,93.34,11090000,90.1
2013-08-09,93.39,93.39,91.78,92.36,12135800,89.15
2013-08-12,92.08,92.77,91.75,92,11012300,88.81
2013-08-13,91.89,93.35,91.76,93.01,10099800,89.78
2013-08-14,92.79,92.95,90.51,90.7,12716800,87.55
2013-08-15,90.32,90.41,89.09,89.55,12010700,86.44
2013-08-16,89.13,89.8,88.77,89.37,14100700,86.27
2013-08-19,89.47,91.25,89.35,90.45,8687000,87.31
2013-08-20,90.55,91.65,89.73,89.73,8559200,86.62
2013-08-21,89.47,89.63,88.68,88.8,7940700,85.72
2013-08-22,88.76,89.03,88.12,88.26,7191900,85.2
2013-08-23,87.93,88.44,87.21,88.41,7714900,85.98
2013-08-26,88.36,88.48,87.39,87.53,6724500,85.13
2013-08-27,86.97,87.08,85.96,86.17,9941200,83.81
2013-08-28,86.36,86.91,85.88,86.53,8829200,84.16
2013-08-29,86.41,87.14,85.99,86.57,5768800,84.2
2013-08-30,86.78,86.78,85.85,86.41,7471300,84.04
2013-09-03,86.89,87.3,86.03,86.42,7590500,84.05
2013-09-04,86.46,87.25,86.25,86.9,8458800,84.52
2013-09-05,87,87.17,86.62,87.04,5647900,84.65
2013-09-06,87.22,87.92,86,87.16,10034900,84.77
2013-09-09,87.39,87.6,87.01,87.56,6819700,85.16
2013-09-10,88.14,88.58,87.85,88.53,8658700,86.1
2013-09-11,88.63,89.27,88.14,89.23,8098100,86.78
2013-09-12,89.3,89.57,88.88,89.01,7938500,86.57
2013-09-13,89.13,89.25,88.2,88.57,7738600,86.14
2013-09-16,89.43,89.57,88.83,89.03,7563700,86.59
2013-09-17,89.05,89.22,88.58,89.06,6291100,86.62
2013-09-18,88.91,89.91,88.3,89.91,10115500,87.44
2013-09-19,90.05,90.2,89.79,90.07,6721000,87.6
2013-09-20,90.2,90.72,89.68,89.68,14708600,87.22
2013-09-23,89.43,89.75,88.81,89.09,7376200,86.65
2013-09-24,89.02,89.2,88.15,88.22,7797500,85.8
2013-09-25,88.42,88.47,87.07,87.08,7493200,84.69
2013-09-26,87.28,87.7,86.72,87.07,6400600,84.68
2013-09-27,86.81,86.94,86.44,86.73,5461100,84.35
2013-09-30,86.33,86.95,86.15,86.69,7962300,84.31
2013-10-01,86.59,87.49,86.26,87.47,6318700,85.07
2013-10-02,87.13,87.29,86.44,87.29,6383400,84.9
2013-10-03,87.19,87.4,86.28,86.58,7724600,84.21
2013-10-04,86.82,87.42,86.56,87.31,6050000,84.92
2013-10-07,86.7,86.98,86.29,86.59,5705200,84.21
2013-10-08,86.62,86.74,85.57,85.61,8669800,83.26
2013-10-09,85.93,86.23,85.5,85.96,8014200,83.6
2013-10-10,86.72,87.78,86.7,87.78,8647900,85.37
2013-10-11,88.62,89.48,88.02,89.45,8449800,87
2013-10-14,88.83,89.89,88.63,89.8,9198600,87.34
2013-10-15,90.33,91.46,89.93,89.93,11024000,87.46
2013-10-16,90.42,91.17,90.16,91.11,8116000,88.61
2013-10-17,90.87,92,90.77,91.97,8569600,89.45
2013-10-18,91.75,92.05,91.14,91.63,9082600,89.12
2013-10-21,91.63,91.63,90.77,91.2,6940500,88.7
2013-10-22,91.53,92.56,91.5,92.36,9635500,89.83
2013-10-23,92.07,92.43,91.52,92.1,6449600,89.57
2013-10-24,92.65,92.99,92.14,92.35,5251000,89.82
2013-10-25,92.04,92.27,91.78,92.09,6076000,89.56
2013-10-28,91.96,92.8,91.92,92.39,6551000,89.86
2013-10-29,92.8,93.18,92.58,93.14,6096700,90.59
2013-10-30,93.27,93.45,92.65,92.79,6295400,90.24
2013-10-31,92.85,93.35,92.32,92.61,7773900,90.07
2013-11-01,92.38,93.58,92.38,93.37,6835900,90.81
2013-11-04,93.46,93.5,92.43,93.03,6862500,90.48
2013-11-05,92.54,92.95,92.28,92.81,5350600,90.26
2013-11-06,93.03,93.2,92.72,93.04,5301300,90.49
2013-11-07,93.19,93.35,92.69,92.69,6116900,90.15
2013-11-08,92.63,94.1,92.56,94.05,7229500,91.47
2013-11-11,93.97,94.64,93.94,94.29,4723100,91.7
2013-11-12,93.98,94.09,93,93.56,7639600,90.99
2013-11-13,93.36,93.45,92.32,93.34,8954300,90.78
2013-11-14,93.4,94.14,93.4,93.92,7045700,91.34
2013-11-15,93.63,94.4,93.55,94.39,7063000,91.8
2013-11-18,94.36,94.6,94.01,94.3,8492000,91.71
2013-11-19,94.27,94.92,94,94.86,6624200,92.26
2013-11-20,94.94,95.47,94.66,95.15,7076500,92.54
2013-11-21,95.46,95.75,95.05,95.2,6896200,92.59
2013-11-22,94.39,95.58,94.39,95.25,6462100,93.28
2013-11-25,95.49,95.99,95.08,95.63,6374600,93.66
2013-11-26,95.58,95.87,94.97,95.06,7267600,93.1
2013-11-27,95.34,95.37,94.61,94.98,4603800,93.02
2013-11-29,95.23,95.5,94.43,94.66,4106800,92.71
2013-12-02,94.41,94.66,93.97,94.28,5827400,92.33
2013-12-03,94.2,94.56,93.51,93.97,9061100,92.03
2013-12-04,93.76,94.25,93.13,93.63,6218500,91.7
2013-12-05,93.42,93.63,92.66,92.97,8666200,91.05
2013-12-06,93.6,94.48,93.42,94.44,7280400,92.49
2013-12-09,94.3,94.48,93.7,94.44,6974500,92.49
2013-12-10,94.58,94.79,93.96,94.14,7576600,92.2
2013-12-11,94.4,94.45,93.03,93.11,9424300,91.19
2013-12-12,92.84,92.86,91.07,91.16,12285700,89.28
2013-12-13,91.46,91.86,91.08,91.35,7909000,89.46
2013-12-16,91.42,92.32,91.16,91.37,6623000,89.48
2013-12-17,91.3,91.33,90.5,90.66,8794000,88.79
2013-12-18,90.95,92.66,89.77,92.64,9691100,90.73
2013-12-19,92.4,92.4,91.42,91.98,7341000,90.08
2013-12-20,91.95,92.75,91.95,92.09,11265000,90.19
2013-12-23,92.56,92.68,91.76,92.03,5312200,90.13
2013-12-24,92.18,92.39,91.85,92.06,3147300,90.16
2013-12-26,91.99,92.54,91.77,92.54,3459100,90.63
2013-12-27,92.77,92.96,92.18,92.35,3511300,90.44
2013-12-30,92.16,92.3,91.73,92.3,4370100,90.39
2013-12-31,92.17,92.22,91.15,91.59,6348200,89.7
2014-01-02,91.14,91.73,91.01,91.03,5919600,89.15
2014-01-03,91.29,92.22,91.26,91.85,5637600,89.95
2014-01-06,91.93,92.75,91.87,92.33,7443500,90.42
2014-01-07,93.04,94.62,92.99,94.29,11063300,92.34
2014-01-08,94.17,94.6,93.88,94.16,9096700,92.22
2014-01-09,94.94,95.38,94.09,94.73,7944700,92.77
2014-01-10,94.64,94.98,94.14,94.74,6697400,92.78
2014-01-13,94.37,94.99,94.06,94.5,9589200,92.55
2014-01-14,94.6,94.9,94.32,94.72,7567300,92.76
2014-01-15,94.65,95.27,94.51,94.8,7390700,92.84
2014-01-16,94.6,95.09,94.23,94.64,8401100,92.69
2014-01-17,94.72,95.17,94.38,95.06,13714400,93.1
2014-01-21,94.93,95.1,92.62,94.03,16368400,92.09
2014-01-22,93.99,94.55,93.54,94.32,8875500,92.37
2014-01-23,93.74,93.8,92.41,92.74,9322300,90.83
2014-01-24,92.12,92.61,90.61,90.61,10604200,88.74
2014-01-27,90.3,90.76,89.85,89.94,8685200,88.08
2014-01-28,90.58,90.6,89.79,90.1,8254400,88.24
2014-01-29,89.47,89.71,88.53,88.9,11160100,87.07
2014-01-30,89.62,89.78,89.01,89.5,6874900,87.65
2014-01-31,89.01,89.34,88.15,88.47,12193800,86.64
2014-02-03,88.75,88.78,86.61,86.78,13944600,84.99
2014-02-04,86.93,87.28,86.09,86.62,11436400,84.83
2014-02-05,86.49,87.67,86.48,87.28,10667300,85.48
2014-02-06,87.63,88.76,87.55,88.75,10037900,86.92
2014-02-07,88.92,90.04,88.61,90.04,9435100,88.18
2014-02-10,90.24,91.08,89.8,91.07,8080200,89.19
2014-02-11,91.09,92.97,90.95,92.97,11556300,91.05
2014-02-12,92.95,92.99,91.95,92.42,7696100,90.51
2014-02-13,92,92.62,91.71,92.56,5926000,90.65
2014-02-14,92.6,92.95,92.03,92.76,5485100,90.85
2014-02-18,92.77,92.85,92.09,92.17,6926500,90.27
2014-02-19,92.15,92.75,91.57,91.64,7693400,89.75
2014-02-20,91.69,92.73,91.31,92.38,8160100,90.47
2014-02-21,91.86,92.25,91.45,91.52,7381500,90.28
2014-02-24,91.45,92.06,91.1,91.11,8406700,89.87
2014-02-25,91.59,91.87,90.66,91.11,6383400,89.87
2014-02-26,91.11,91.54,90.77,91.11,6334100,89.87
2014-02-27,91.16,91.42,90.75,91.36,7040300,90.12
2014-02-28,91.42,92.64,91.06,92.12,9643700,90.87
2014-03-03,91.13,91.98,90.83,91.56,7506700,90.32
2014-03-04,92.47,93.46,92.25,93.34,8796300,92.07
2014-03-05,93.27,93.3,92.38,92.59,6842500,91.33
2014-03-06,93.19,93.65,92.82,92.89,7718300,91.63
2014-03-07,93.37,93.48,92.69,93.32,6792000,92.05
2014-03-10,93.17,93.49,92.79,93.45,4878200,92.18
2014-03-11,93.71,93.75,93.09,93.49,5837200,92.22
2014-03-12,92.82,93.62,92.65,93.6,6154900,92.33
2014-03-13,93.85,94.2,92.98,93,7659400,91.74
2014-03-14,92.88,93.44,92.46,92.81,7337800,91.55
2014-03-17,93.26,94.18,93.18,93.93,5872600,92.65
2014-03-18,93.9,94.24,93.48,93.94,5891900,92.66
2014-03-19,93.89,94.36,92.92,93.59,5937600,92.32
2014-03-20,93.52,94.19,92.96,94.12,5727400,92.84
2014-03-21,94.77,95.93,93.88,95.93,23988800,94.63
2014-03-24,95.3,95.43,94.54,95.2,13944100,93.91
2014-03-25,95.7,97.7,95.7,97.38,14167300,96.06
2014-03-26,97.51,98.47,97.05,97.05,11215100,95.73
2014-03-27,97.08,97.7,96.26,97.28,8694600,95.96
2014-03-28,97.51,98.22,96.96,97.44,8816000,96.12
2014-03-31,98,98.6,97.61,98.23,7545700,96.89
2014-04-01,98.31,98.68,97.37,97.94,7068500,96.61
2014-04-02,98.01,98.39,97.37,98.23,7995600,96.89
2014-04-03,97.97,98.34,97.53,98.26,5471200,96.92
2014-04-04,98.62,99.38,98.32,98.42,10309700,97.08
2014-04-07,98.39,99.36,97.83,97.89,11409200,96.56
2014-04-08,98.03,98.73,97.5,98.06,9601800,96.73
2014-04-09,98.42,99,97.78,98.95,8921300,97.6
2014-04-10,98.86,98.93,96.52,96.54,9667800,95.23
2014-04-11,96.2,97.2,96.05,96.87,8710700,95.55
2014-04-14,97.28,97.36,96.25,97.14,8617200,95.82
2014-04-15,98.45,99.21,98.05,99.2,13999100,97.85
2014-04-16,99.57,99.71,98.07,98.75,11308000,97.41
2014-04-17,98.69,99.65,98.69,98.96,9153500,97.61
2014-04-21,99.01,100.13,98.67,100,7031400,98.64
2014-04-22,100,100.75,99.74,100.18,7937900,98.82
2014-04-23,100.24,100.56,99.92,100.22,5876000,98.86
2014-04-24,100.24,100.37,99.55,99.96,6149900,98.6
2014-04-25,99.97,100.26,99.4,99.79,5895900,98.43
2014-04-28,100.56,101.5,100.12,101.34,8792900,99.96
