Stock Quotes for LLY,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,49.94,50.31,49.19,49.51,8352400,46.53
2013-01-03,49.52,49.85,49.21,49.72,7448100,46.72
2013-01-04,51.06,51.9,50.69,51.56,13587200,48.45
2013-01-07,51.31,51.9,51.01,51.49,6989100,48.39
2013-01-08,51.42,52.02,51.28,51.88,5246100,48.75
2013-01-09,52.19,53.06,52,52.97,7267200,49.78
2013-01-10,53.25,53.53,52.87,53.25,6324400,50.04
2013-01-11,53.36,53.4,52.96,53.11,5126500,49.91
2013-01-14,53.2,53.42,52.75,52.8,6286100,49.62
2013-01-15,52.66,53.36,52.65,53.29,5915600,50.08
2013-01-16,53.17,53.31,52.72,52.93,4467100,49.74
2013-01-17,52.61,53.47,52.52,53.33,4880800,50.12
2013-01-18,53.31,53.77,52.93,53.77,6557400,50.53
2013-01-22,53.72,53.77,53.12,53.44,6089100,50.22
2013-01-23,52.75,52.96,52.2,52.4,10413800,49.24
2013-01-24,52.6,53.26,52.6,53.16,6719100,49.96
2013-01-25,53.17,53.67,53.09,53.21,6028200,50
2013-01-28,53.12,53.25,52.46,52.64,8054100,49.47
2013-01-29,52.76,54.87,52.76,54.32,11003300,51.05
2013-01-30,54.23,54.78,53.99,54.15,6316700,50.89
2013-01-31,54.07,54.16,53.21,53.69,5121400,50.45
2013-02-01,53.55,54.48,53.55,54.2,4205500,50.93
2013-02-04,53.84,53.88,53.47,53.55,4968900,50.32
2013-02-05,53.76,54.39,53.76,54.1,3519900,50.84
2013-02-06,53.93,54.16,53.63,53.93,3575100,50.68
2013-02-07,53.85,53.92,53.22,53.78,5233900,50.54
2013-02-08,53.64,54,53.56,53.72,17142800,50.48
2013-02-11,53.56,54.06,53.48,53.9,18307300,50.65
2013-02-12,53.74,53.91,53.68,53.8,19666700,50.56
2013-02-13,53.4,53.45,53.26,53.44,4385000,50.68
2013-02-14,53.22,53.58,53.18,53.5,4276900,50.74
2013-02-15,53.5,54,53.5,53.59,5482800,50.82
2013-02-19,53.62,54.18,53.6,54.18,3981200,51.38
2013-02-20,54.16,54.68,54.1,54.29,4446300,51.49
2013-02-21,54.11,54.25,53.93,54.02,5512500,51.23
2013-02-22,54.07,54.27,53.53,54.27,5519000,51.47
2013-02-25,54.5,54.93,53.77,53.77,6361000,50.99
2013-02-26,54.08,54.52,53.72,54.43,4772100,51.62
2013-02-27,54.5,54.99,54.26,54.8,3972000,51.97
2013-02-28,54.68,54.98,54.58,54.66,5877500,51.84
2013-03-01,54.31,54.85,54.31,54.78,4592600,51.95
2013-03-04,54.66,54.91,54.53,54.76,4424200,51.93
2013-03-05,54.97,55.74,54.91,55.54,4866800,52.67
2013-03-06,55.58,55.67,54.92,55.08,6787700,52.24
2013-03-07,55.09,55.56,55.08,55.35,3602300,52.49
2013-03-08,55.5,55.59,54.97,55.16,4824800,52.31
2013-03-11,55.06,55.24,54.79,55.07,4766200,52.23
2013-03-12,55.06,55.43,54.95,55.08,3870600,52.24
2013-03-13,55.15,55.27,55,55.06,3623700,52.22
2013-03-14,55.46,55.65,54.81,55.07,5357000,52.23
2013-03-15,54.68,55.13,54.39,55.13,10614700,52.28
2013-03-18,54.63,54.95,54.54,54.66,3926500,51.84
2013-03-19,54.83,54.96,54.5,54.79,3337200,51.96
2013-03-20,55.05,55.45,55.02,55.3,3802800,52.44
2013-03-21,55.04,55.29,54.88,55.08,2702500,52.24
2013-03-22,55.25,55.68,55.13,55.57,2811100,52.7
2013-03-25,55.7,55.79,55.26,55.62,4675200,52.75
2013-03-26,55.9,56.68,55.78,56.29,5107900,53.38
2013-03-27,56.03,56.46,55.95,56.37,3417800,53.46
2013-03-28,56.51,56.94,56.32,56.79,4223200,53.86
2013-04-01,56.67,56.8,56.22,56.61,3668000,53.69
2013-04-02,56.63,57.14,56.29,56.5,4040300,53.58
2013-04-03,56.67,57.23,56.58,56.85,5563600,53.91
2013-04-04,56.85,57.28,56.56,56.93,3016200,53.99
2013-04-05,56.45,56.61,56.22,56.48,3001200,53.56
2013-04-08,56.45,56.82,55.88,56.82,3691900,53.89
2013-04-09,56.96,57.23,56.58,56.74,4145100,53.81
2013-04-10,57.22,57.68,57.21,57.59,3238000,54.62
2013-04-11,57.65,58.26,57.58,58,4048000,55.01
2013-04-12,57.77,58.34,57.36,57.51,4709100,54.54
2013-04-15,57.02,57.75,56.48,56.49,5645800,53.57
