Stock Quotes for LMT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,160.04,161.77,158.59,160.64,1358200,159.43
2014-07-02,160.77,160.88,158.2,158.98,1309800,157.78
2014-07-03,159.8,160.38,159.11,159.9,687200,158.7
2014-07-07,159.25,159.71,157.71,158.3,1164700,157.11
2014-07-08,158.44,158.44,156.96,157.21,970900,156.03
2014-07-09,158.12,158.73,157.43,157.93,827400,156.74
2014-07-10,156.23,159.04,156.23,158.18,815700,156.99
2014-07-11,158.13,160.62,157.93,160.31,1073600,159.1
2014-07-14,160.78,161.98,160.5,161.81,1045100,160.59
2014-07-15,161.73,163.49,161.47,162.62,1312000,161.39
2014-07-16,163.08,163.46,161.15,161.55,947800,160.33
2014-07-17,161.11,163.2,160.56,161.33,1190600,160.11
2014-07-18,161.82,162.54,161.06,162.49,1074700,161.27
2014-07-21,162,163.67,161.19,162.98,1201200,161.75
2014-07-22,164.5,168.18,164.39,167.87,2174500,166.61
2014-07-23,167.76,169.21,167.22,168.1,1808500,166.83
2014-07-24,168.53,170.12,167.82,169.97,1617600,168.69
2014-07-25,169.33,170.69,169.19,170.04,2112300,168.76
2014-07-28,169.99,170.57,168.3,170,1989600,168.72
2014-07-29,170.5,170.66,169.24,169.33,1063100,168.05
2014-07-30,170.24,171.36,168.84,170.18,1077200,168.9
2014-07-31,169.08,169.24,166.97,166.97,1935900,165.71
2014-08-01,166.72,168.77,166.19,167.12,1535900,165.86
2014-08-04,167.56,168.58,167.03,168.29,1196400,167.02
2014-08-05,167.79,169.16,166.56,166.93,1218900,165.67
2014-08-06,166.08,166.08,162.71,163.05,1883000,161.82
2014-08-07,164.28,164.62,162.52,162.95,1087100,161.72
2014-08-08,163.11,166.19,163.1,165.8,1196000,164.55
2014-08-11,166.86,166.93,166,166.15,801800,164.9
2014-08-12,166.15,167.15,165.26,165.78,779500,164.53
2014-08-13,166.15,169.4,166.15,169.09,1081600,167.82
2014-08-14,169.34,170.21,168.86,169.5,1030000,168.22
2014-08-15,169.91,170.5,167.94,169.16,1062400,167.89
2014-08-18,170.2,172.1,170.04,171.52,766400,170.23
2014-08-19,172.02,172.4,171.29,172.13,841100,170.83
2014-08-20,172.15,175.47,172.13,175.31,1351100,173.99
2014-08-21,174.92,175.49,174.18,175.1,1088200,173.78
2014-08-22,174.71,176.13,174.36,175.15,801400,173.83
2014-08-25,175.75,177.07,175.43,176.53,866400,175.2
2014-08-26,176.97,177.01,176.04,176.61,1036500,175.28
2014-08-27,176.99,177.19,176,176.52,1115200,175.19
2014-08-28,174.67,175.05,173.74,174.1,1455800,174.1
2014-08-29,174.76,175.09,173.75,174,1532000,174
2014-09-02,175.14,175.31,173.07,173.8,1547700,173.8
2014-09-03,174.94,175.64,173.21,173.5,1454800,173.5
2014-09-04,173.99,174.49,172.76,173.04,1109000,173.04
2014-09-05,173.17,174.65,172.37,174.58,983600,174.58
2014-09-08,174.52,175.57,174.36,174.77,926500,174.77
2014-09-09,175.6,176.35,174.84,174.94,1418300,174.94
2014-09-10,174.96,175.03,173.72,174.59,2210500,174.59
2014-09-11,174.38,174.77,173.58,174.2,1299200,174.2
2014-09-12,174.17,174.99,173.71,174.43,759400,174.43
2014-09-15,174.42,175.78,173.92,175.6,678500,175.6
