Stock Quotes for LOW,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,48.03,48.42,47.97,48.13,5843800,47.9
2014-07-02,48.16,48.39,48,48.12,3097900,47.89
2014-07-03,48.22,48.44,48.18,48.23,2132400,48
2014-07-07,48.1,48.4,47.97,48.21,4538000,47.98
2014-07-08,48.08,48.15,47.63,47.82,5011300,47.59
2014-07-09,48.01,48.32,47.59,47.86,5830900,47.63
2014-07-10,46.67,47.42,46.48,47.2,8008700,46.97
2014-07-11,47.18,47.51,47.09,47.44,4430800,47.21
2014-07-14,47.7,47.7,47.14,47.22,4358900,46.99
2014-07-15,47.35,47.73,47.27,47.51,5921700,47.28
2014-07-16,47.63,47.77,47.23,47.66,5318100,47.43
2014-07-17,47.42,47.78,47.22,47.3,5010000,47.07
2014-07-18,47.45,47.87,47.38,47.81,5211200,47.58
2014-07-21,47.62,47.76,47.42,47.58,3117900,47.58
2014-07-22,47.59,48.08,47.54,47.79,3222400,47.79
2014-07-23,47.77,48,47.6,47.91,3917900,47.91
2014-07-24,47.98,48.36,47.88,48,3934600,48
2014-07-25,47.81,48.13,47.55,47.7,4531100,47.7
2014-07-28,47.76,47.85,47.35,47.69,3192900,47.69
2014-07-29,47.72,48.26,47.7,48.04,4181400,48.04
2014-07-30,48.2,48.54,48.06,48.47,4380500,48.47
2014-07-31,48.18,48.47,47.85,47.85,4740700,47.85
2014-08-01,47.89,48.13,47.27,47.59,5231200,47.59
2014-08-04,47.61,48.05,47.6,47.91,3528100,47.91
2014-08-05,47.76,48.23,47.55,47.64,4879400,47.64
2014-08-06,47.59,48.22,47.52,48.1,3968500,48.1
2014-08-07,48.26,48.5,47.8,47.92,3175700,47.92
2014-08-08,48.26,49.79,48.2,49.72,7386400,49.72
2014-08-11,49.84,49.95,49.41,49.86,4070500,49.86
2014-08-12,49.78,49.95,49.59,49.83,3287300,49.83
2014-08-13,49.91,50.3,49.62,49.85,4397800,49.85
2014-08-14,49.96,50.41,49.75,50.41,3605200,50.41
2014-08-15,50.56,51.19,49.57,50,6642200,50
2014-08-18,50.5,50.7,50.34,50.45,4816800,50.45
2014-08-19,51.81,52,51.28,51.52,9309800,51.52
2014-08-20,49.95,52.66,49.7,52.33,18405900,52.33
2014-08-21,52.64,53.04,52.49,52.67,7139100,52.67
2014-08-22,52.49,52.9,52.13,52.53,5062200,52.53
2014-08-25,52.8,52.95,52.5,52.7,3779300,52.7
2014-08-26,52.63,52.97,52.56,52.58,4814000,52.58
2014-08-27,52.68,52.84,52.46,52.52,4927900,52.52
2014-08-28,52.15,52.69,52.03,52.54,4357500,52.54
2014-08-29,52.5,52.73,52.26,52.51,3510600,52.51
2014-09-02,52.66,52.94,52.03,52.61,5144200,52.61
2014-09-03,52.7,53.04,52.36,52.91,5820100,52.91
2014-09-04,53,53.7,52.95,53.61,6665100,53.61
2014-09-05,53.53,54.14,53.1,54.11,5073300,54.11
2014-09-08,53.83,54.13,53.46,53.54,4019800,53.54
2014-09-09,53.44,53.54,52.91,53.03,3342000,53.03
2014-09-10,53.11,53.42,52.89,53.39,3265100,53.39
2014-09-11,53.04,53.2,52.67,53.08,6348500,53.08
2014-09-12,53.12,53.38,52.67,52.97,5443500,52.97
2014-09-15,52.95,53.24,52.71,53.13,4418200,53.13
