Stock Quotes for MA,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,506.3,510.27,501,510.27,12278000,50.62
2013-01-03,510.46,515.46,508.15,511,9452000,50.7
2013-01-04,511.15,512.2,507,510.98,11475000,50.7
2013-01-07,512.5,521.3,511.66,519.53,11398000,51.57
2013-01-08,520.03,521.05,514.94,517.82,6983000,51.4
2013-01-09,525.2,532.39,522.67,532.39,11461000,52.85
2013-01-10,532.47,532.47,524.29,527.65,12564000,52.38
2013-01-11,527.51,529.79,525.52,528.68,6424000,52.48
2013-01-14,529.55,529.98,521.23,523.51,9911000,51.97
2013-01-15,522.24,523.4,519.2,522.8,5858000,51.9
2013-01-16,516.43,522.55,515.03,521.29,6190000,51.75
2013-01-17,524.67,526.67,521.3,523.35,5250000,51.95
2013-01-18,519.56,521.5,513.42,521,10769000,51.72
2013-01-22,524.79,524.79,514.63,519.76,7462000,51.6
2013-01-23,519.61,522.46,515.12,517.56,4991000,51.38
2013-01-24,517.93,525.7,517.73,522.26,5869000,51.84
2013-01-25,522.8,522.8,517.24,519.42,7157000,51.56
2013-01-28,520.94,520.94,513.46,514.12,8002000,51.04
2013-01-29,514.12,520.75,514.05,518.48,8833000,51.47
2013-01-30,516.64,521.6,513.9,516,11601000,51.22
2013-01-31,532,535.35,513,518.4,20412000,51.46
2013-02-01,520.81,522.54,513.69,518.71,9949000,51.49
2013-02-04,516.29,518,512.09,514.22,6152000,51.05
2013-02-05,520.37,522.02,516.8,520.69,7983000,51.69
2013-02-06,520.15,523.87,518.1,523.55,6016000,51.97
2013-02-07,521.9,523.3,516.25,519.55,6517000,51.58
2013-02-08,518.46,524.47,518.31,524.47,5214000,52.06
2013-02-11,525.62,526.16,519.23,520.85,5616000,51.7
2013-02-12,520.86,522.13,518.51,519.64,3379000,51.58
2013-02-13,521.25,521.9,516.18,519.21,4096000,51.54
2013-02-14,516.15,523.26,516.15,522.16,6656000,51.83
2013-02-15,516.31,524.94,516.31,523.13,7032000,51.93
2013-02-19,525,526.49,520.96,522.86,4234000,51.9
2013-02-20,522,524.21,512.91,512.91,5377000,50.92
2013-02-21,514,520.93,510.56,519.59,6814000,51.58
2013-02-22,522.91,524.43,517.29,523.83,6591000,52
2013-02-25,525.34,526,510.9,510.9,8672000,50.72
2013-02-26,513.54,515.77,507.36,509.7,7955000,50.6
2013-02-27,510.96,516.17,507.97,515.19,6994000,51.14
2013-02-28,515.19,521.37,513.39,517.82,6148000,51.4
2013-03-01,515,519.51,513.29,518.3,4142000,51.45
2013-03-04,515.98,522.41,515.76,521.41,3486000,51.76
2013-03-05,522.53,530.78,521.85,527.1,5895000,52.33
2013-03-06,525.52,531.23,523.35,527.58,5179000,52.37
2013-03-07,527.72,530,525.7,526.67,6685000,52.28
2013-03-08,530.05,530.32,524.46,529.23,5068000,52.54
2013-03-11,529.58,532.47,528.41,530.89,4091000,52.7
2013-03-12,529.87,530.99,522.23,523.16,4798000,51.93
2013-03-13,522.33,528.37,521.12,527.48,4715000,52.36
2013-03-14,528.55,531.25,526.71,527.18,5567000,52.33
2013-03-15,525.99,528.83,518.22,519.37,11598000,51.56
2013-03-18,515.31,519.66,514.73,515.01,5626000,51.12
2013-03-19,516.22,517.84,508.16,511.6,6309000,50.79
2013-03-20,516,518.7,514.35,518.62,4552000,51.48
2013-03-21,516.44,517.72,513.22,514.01,5505000,51.03
2013-03-22,515.82,518.78,515.53,517.5,5052000,51.37
2013-03-25,520.25,523.96,518.77,519.99,5420000,51.62
2013-03-26,523,537.19,522.22,535.47,9106000,53.16
2013-03-27,532.21,540.73,530.38,538.03,6483000,53.41
2013-03-28,538.4,541.96,536.9,541.13,6689000,53.72
2013-04-01,542.44,546.9,536,537.23,5501000,53.33
2013-04-02,540.7,543.99,539.02,540.59,3696000,53.66
2013-04-03,540.85,542.96,530.39,533.25,5330000,52.94
2013-04-04,532.75,535.64,530.14,534.22,4432000,53.03
2013-04-05,527.04,532.4,526.99,531.6,5783000,52.83
2013-04-08,530.69,535.66,529.78,534.37,3631000,53.11
2013-04-09,534,534.35,523.15,527.64,9011000,52.44
2013-04-10,529.67,537.98,528.43,534.43,4839000,53.11
2013-04-11,534.42,542.32,532.57,541.24,5679000,53.79
2013-04-12,534.65,536.42,529.61,532.99,6794000,52.97
2013-04-15,530.23,533.85,521.71,521.71,5281000,51.85
2013-04-16,523.11,531.58,522.06,531.58,5494000,52.83
2013-04-17,527.25,530.86,524.68,525.76,6310000,52.25
2013-04-18,525.75,526.48,521,521,6434000,51.78
2013-04-19,522.83,523.71,518.56,521.96,5106000,51.87
2013-04-22,522.05,523.69,518.79,522.11,4398000,51.89
2013-04-23,525.94,531.19,523.59,531,3569000,52.77
2013-04-24,531.97,534.75,531.23,532.02,2663000,52.87
2013-04-25,534.13,539,525.15,535.14,3787000,53.18
2013-04-26,534.22,538.16,533.47,535.33,4543000,53.2
2013-04-29,537.48,539.99,535.35,539.01,3809000,53.57
2013-04-30,539.79,552.93,539.57,552.93,7987000,54.95
2013-05-01,538.77,544.85,536.02,539.82,10110000,53.65
2013-05-02,536,547.33,535.69,545.53,9470000,54.22
2013-05-03,551.74,557.66,550.63,553.55,7941000,55.01
2013-05-06,553.6,556.77,547.03,547.73,6063000,54.43
2013-05-07,548.08,551.93,545.44,551.26,4333000,54.78
2013-05-08,551.17,554.96,548.28,553.72,4391000,55.03
2013-05-09,552.95,556.17,549.89,551.88,4387000,54.85
2013-05-10,553.79,557.54,533.79,555.13,4670000,55.17
2013-05-13,553,558.41,553,555.84,3441000,55.24
2013-05-14,557.86,571.25,556.42,569.68,6568000,56.62
2013-05-15,570.34,574.95,569.16,574.36,6555000,57.08
2013-05-16,572.87,573.66,570.14,570.14,4409000,56.66
2013-05-17,574.36,585,572.25,584.78,6242000,58.12
2013-05-20,583.14,588.54,582.02,583.34,4466000,57.97
2013-05-21,584.53,589,582.4,584.85,3918000,58.12
2013-05-22,587,588.29,576.14,576.71,5612000,57.31
2013-05-23,569.77,576.99,568.38,569.73,6476000,56.62
2013-05-24,566.75,572.87,563.32,571.46,3910000,56.79
2013-05-28,580,585.27,575.72,575.74,4709000,57.22
2013-05-29,572.32,576.21,570.45,573.01,3508000,56.95
2013-05-30,573.55,582.64,572.01,576.16,3784000,57.26
2013-05-31,575.2,580.6,569.61,570.25,6107000,56.67
2013-06-03,571.34,575.91,568.66,575.91,5822000,57.23
2013-06-04,575.48,576.9,563.99,568.22,6460000,56.47
2013-06-05,565,568.21,559.28,559.57,5421000,55.61
2013-06-06,557.75,565.16,557.1,564.95,4399000,56.15
2013-06-07,567.75,569.37,563.67,566.25,7163000,56.27
2013-06-10,567.6,569.09,562.66,565.78,4113000,56.23
2013-06-11,562.17,565.24,560,560.44,4334000,55.7
2013-06-12,564.77,565.11,557.98,557.98,5816000,55.45
2013-06-13,557.56,575.54,557.06,573.72,8606000,57.02
2013-06-14,574.01,574.78,569.2,571.16,6231000,56.76
2013-06-17,574.07,580.98,574.07,578.19,7248000,57.46
2013-06-18,581.55,584.88,580.23,584.41,5495000,58.08
2013-06-19,585.54,591.89,585.28,586.37,7661000,58.27
2013-06-20,579.6,585.7,572.19,572.72,9215000,56.92
2013-06-21,579.19,579.9,568.88,573.29,12178000,56.97
2013-06-24,563.37,569.58,557.48,562.6,9427000,55.91
2013-06-25,567.27,567.63,561.62,564.58,8312000,56.11
2013-06-26,568,572.75,563.79,570,5343000,56.65
2013-06-27,571.53,577.43,570,570.68,5942000,56.71
2013-06-28,569.17,574.5,566.47,574.5,10396000,57.09
2013-07-01,578.61,590,577.55,583.21,8534000,57.96
2013-07-02,581.9,588.95,579.71,583.06,5605000,57.95
2013-07-03,579.78,587.65,579.78,586.18,2434000,58.26
2013-07-05,590,595.03,586,595.03,5465000,59.2
2013-07-08,597.18,602.74,589.17,589.29,7052000,58.62
2013-07-09,593.72,596.49,591.87,593.59,5922000,59.05
2013-07-10,593.6,595.14,587.38,590.91,5330000,58.79
2013-07-11,596.82,601.62,592.16,601.02,4652000,59.79
2013-07-12,600.75,601.82,596.36,598.86,4498000,59.58
2013-07-15,599.24,600,594,595.87,4306000,59.28
2013-07-16,596.22,597.91,589.38,589.79,4682000,58.67
2013-07-17,583,593.94,582.95,593.35,9218000,59.03
2013-07-18,596.03,600.74,594.52,596.92,3487000,59.38
2013-07-19,598.78,600.95,592.66,593.33,8235000,59.03
2013-07-22,594.34,603.85,593.06,602.6,5362000,59.95
2013-07-23,603.83,604.85,597.5,598,4649000,59.49
2013-07-24,598.33,600,589.65,590.99,7752000,58.79
2013-07-25,594.2,601.86,594.14,598.98,7277000,59.59
2013-07-26,596.61,599.73,592.92,598.15,3848000,59.51
2013-07-29,598.87,600.99,594.53,597.02,3266000,59.39
2013-07-30,599.65,603.9,599.07,601.42,6028000,59.83
2013-07-31,624.49,626.23,567.02,610.61,40090000,60.75
2013-08-01,618.74,649.65,618.74,646.38,30337000,64.3
2013-08-02,644.28,647.02,640.4,645.57,6684000,64.22
2013-08-05,641.22,645.86,640.43,642.45,5878000,63.91
2013-08-06,642.21,656.98,639.95,654,8199000,65.06
2013-08-07,653,653,645.04,646.32,5860000,64.3
2013-08-08,649.06,650,641.49,645.84,4532000,64.25
2013-08-09,647.37,647.37,637.68,637.96,3933000,63.47
2013-08-12,639.61,639.61,629.2,630.72,5240000,62.75
2013-08-13,636.81,636.81,630.21,633.33,3245000,63.01
2013-08-14,635.61,637.13,628.07,629.98,3943000,62.67
2013-08-15,623.86,624.79,615.63,618.74,5329000,61.55
2013-08-16,618.3,624.23,616.12,618.21,4834000,61.5
2013-08-19,619.15,626.01,617.5,619.89,3907000,61.67
2013-08-20,621.15,625.08,618.98,622.41,2985000,61.92
2013-08-21,619.61,627.59,618.01,619.31,9306000,61.61
2013-08-22,623,623,616.86,621.08,3926000,61.79
2013-08-23,622.03,626.58,618.01,626.11,4587000,62.29
2013-08-26,625.75,625.75,614.54,615.18,5829000,61.2
2013-08-27,608.18,612.59,605.87,607.92,5471000,60.48
2013-08-28,605.9,613.22,605.42,610.61,6406000,60.75
2013-08-29,610.5,618.4,610.45,612.57,5060000,60.94
2013-08-30,613.95,614.98,603.59,606.08,6123000,60.29
2013-09-03,612,624.82,610.49,623.45,11390000,62.02
2013-09-04,623.45,627.67,617.5,623.4,4018000,62.02
2013-09-05,623,631.63,622.47,629,3822000,62.57
2013-09-06,632,639.74,627.12,636.62,5874000,63.33
2013-09-09,638.01,640.89,635.53,640.4,6169000,63.71
2013-09-10,643.98,652.1,643.63,651.5,7172000,64.81
2013-09-11,652.5,663.23,644.78,658.46,7539000,65.51
2013-09-12,661.75,672.3,654.5,667.52,10857000,66.41
2013-09-13,666.8,669.8,664.69,666.41,6090000,66.3
2013-09-16,673.8,675,668.65,671,7003000,66.75
2013-09-17,673.31,680.85,671.53,679.17,4810000,67.57
2013-09-18,679,688.52,676.44,687.64,4670000,68.41
2013-09-19,691.75,695.01,685.11,686.37,5099000,68.28
2013-09-20,689.67,689.67,682.48,685.74,6726000,68.22
2013-09-23,685.36,689.99,680.11,682.99,5171000,67.95
2013-09-24,682.5,691.66,678.34,685.37,6000000,68.18
2013-09-25,683.68,686.04,671.74,671.94,8780000,66.85
2013-09-26,675.23,679.77,672.49,677.58,3815000,67.41
2013-09-27,677.43,682.61,675.13,681.85,3133000,67.83
2013-09-30,677.66,677.81,670.18,672.78,4362000,66.93
2013-10-01,674.42,679.58,672.48,677.79,4121000,67.43
2013-10-02,675.43,676.42,671.34,676.31,4632000,67.28
2013-10-03,673.18,675.9,664.05,669.06,5547000,66.56
2013-10-04,668.06,674.72,667.44,673.33,4077000,66.98
2013-10-07,667.78,671,665.17,666.07,5289000,66.32
2013-10-08,666.3,667.35,651.44,653.87,7294000,65.11
2013-10-09,655.73,664.47,647.44,657.23,6541000,65.44
2013-10-10,668.34,678.59,666.88,678.59,4913000,67.57
2013-10-11,678.85,685.54,675.74,684.18,5458000,68.13
2013-10-14,679.42,690.05,674.3,689.1,3598000,68.61
2013-10-15,687.25,693.24,682.66,686.39,9156000,68.35
2013-10-16,689.46,699.59,687.77,695.5,5440000,69.25
2013-10-17,692.69,705,692.61,704.64,5420000,70.16
2013-10-18,707,716.39,701.1,715.19,5959000,71.21
2013-10-21,717.02,719.87,709.18,717.84,4799000,71.48
2013-10-22,721.76,727.4,716.61,718.68,4306000,71.56
2013-10-23,716,716.62,707.01,710.97,4414000,70.79
2013-10-24,714.55,726.99,714.01,724.69,4020000,72.16
2013-10-25,725,732.45,720.05,723.78,4640000,72.07
2013-10-28,724.03,731.6,721.36,729.94,4411000,72.68
2013-10-29,733.44,737.83,727.55,732.44,4655000,72.93
2013-10-30,733.99,734.6,721.35,725.68,5562000,72.26
2013-10-31,730.04,734.62,707.39,717.1,10221000,71.4
2013-11-01,723.95,739.24,723.18,737.48,8304000,73.43
2013-11-04,738.33,739.82,726.24,728.4,4568000,72.53
2013-11-05,727.31,738.24,723.23,736.38,6120000,73.32
2013-11-06,738,738.36,730.09,733.87,4849000,73.07
2013-11-07,737.36,737.55,719.63,721.32,4743000,71.82
2013-11-08,720.49,734.5,720.49,734.47,4558000,73.13
