Stock Quotes for MCD,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,96.77,97.99,96.57,97.96,4224000,93.98
2013-06-04,98.01,98.68,97.64,98.37,4902300,94.38
2013-06-05,98.13,98.16,96.12,96.42,5394800,92.51
2013-06-06,96.39,96.83,95.16,96.68,5817300,92.76
2013-06-07,97.06,98.69,97,98.28,5036800,94.29
2013-06-10,99.8,100.18,99.12,99.53,5718400,95.49
2013-06-11,99.02,99.49,98.07,98.23,4812800,94.24
2013-06-12,98.74,99.1,98.07,98.24,4485200,94.25
2013-06-13,98.1,99.07,97.87,98.88,2927800,94.87
2013-06-14,98.83,99.42,98.23,98.42,3351100,94.43
2013-06-17,99.3,99.69,98.3,98.74,4884800,94.73
2013-06-18,98.98,100.04,98.95,99.75,3340100,95.7
2013-06-19,99.71,100.07,98.53,98.81,3518200,94.8
2013-06-20,98.37,98.68,96.62,96.79,5550100,92.86
2013-06-21,97.36,97.75,96.89,97.23,7227000,93.28
2013-06-24,96.54,97.71,96.02,97.29,4244500,93.34
2013-06-25,97.91,97.99,97.14,97.52,3211300,93.56
2013-06-26,98.36,99.14,98.04,98.84,3585500,94.83
2013-06-27,99.45,99.82,99.13,99.65,4497100,95.61
2013-06-28,99.51,100.11,98.93,99,5386400,94.98
2013-07-01,99.35,100.3,99.26,99.82,4053500,95.77
2013-07-02,99.82,100.5,99.39,99.93,3850500,95.87
2013-07-03,99.95,100.56,99.71,100.35,1676300,96.28
2013-07-05,100.69,100.84,99.25,99.86,3933900,95.81
2013-07-08,100.28,100.5,99.55,99.88,4064300,95.83
2013-07-09,100.24,100.37,99.2,99.99,4120100,95.93
2013-07-10,100.15,100.36,99.4,99.98,3532400,95.92
2013-07-11,100.75,100.96,99.76,100.79,4064100,96.7
2013-07-12,100.59,101.81,100.5,101.58,4766800,97.46
2013-07-15,101.6,101.73,100.7,100.75,4480700,96.66
2013-07-16,100.18,101.12,99.47,100.88,4406200,96.79
2013-07-17,100.05,100.35,99.3,100.1,5377400,96.04
2013-07-18,100.48,100.77,99.99,100.18,3401600,96.11
2013-07-19,100.2,100.41,99.53,100.27,4508300,96.2
2013-07-22,97.75,97.93,97.06,97.58,13209600,93.62
2013-07-23,97.55,97.72,96.68,96.76,6989300,92.83
2013-07-24,97.21,97.4,96.3,96.66,5197900,92.74
2013-07-25,96.67,97.59,96.56,97.49,4208100,93.53
2013-07-26,97.25,98.08,96.92,98.03,4561600,94.05
2013-07-29,97.96,98.03,97.39,97.87,3592500,93.9
2013-07-30,98,98.54,97.84,98.37,4127400,94.38
2013-07-31,98.32,98.54,97.63,98.08,5343000,94.1
2013-08-01,98.62,99.24,98.32,99,3954600,94.98
2013-08-02,98.81,99.2,98.45,99.2,3224300,95.17
2013-08-05,99.01,99.44,98.83,99.31,3326400,95.28
2013-08-06,99.33,99.4,98.37,98.69,3507200,94.68
2013-08-07,98.6,98.99,98.27,98.33,3256400,94.34
2013-08-08,98.64,98.99,97.44,98.04,4862300,94.06
2013-08-09,97.9,98.4,97.07,97.62,4041800,93.66
2013-08-12,97.49,97.8,97,97.04,3256800,93.1
2013-08-13,97.02,97.1,96.11,96.45,5188300,92.54
2013-08-14,96.24,96.37,95.64,96.11,5448700,92.21
2013-08-15,95.55,95.91,95.19,95.39,4207500,91.52
2013-08-16,95.2,95.5,95.01,95.03,3324000,91.17
2013-08-19,95.12,95.99,95.05,95.48,3126200,91.6
2013-08-20,95.51,95.9,95.36,95.5,2827800,91.62
2013-08-21,95.41,95.82,95.11,95.11,3430600,91.25
2013-08-22,95.37,95.69,95.21,95.46,15364400,91.59
2013-08-23,95.57,95.68,94.91,95.13,12274200,91.27
2013-08-26,95.36,95.94,95.1,95.31,3060000,91.44
2013-08-27,94.86,95.19,94.01,94.84,4513100,90.99
2013-08-28,95,96.33,95,96.08,5482500,92.18
2013-08-29,95.65,95.98,94.7,94.86,4796600,91.75
2013-08-30,95,95.13,94.14,94.36,3993000,91.26
2013-09-03,95.1,95.28,94.12,94.52,3672100,91.42
2013-09-04,94.5,95.36,94.34,95.16,2898800,92.04
2013-09-05,95.33,96.46,95.08,95.66,4275300,92.52
2013-09-06,95.87,96.75,95.25,96.26,4485800,93.1
2013-09-09,96.22,96.79,96.21,96.45,3525200,93.28
2013-09-10,97.1,97.36,96.5,96.89,4984300,93.71
2013-09-11,96.66,97.46,96.37,97.46,3928600,94.26
2013-09-12,97.48,97.85,97.07,97.18,4277300,93.99
2013-09-13,97.34,97.65,97.13,97.35,2668700,94.15
2013-09-16,97.88,98.17,97.4,97.71,3490900,94.5
2013-09-17,97.58,98.36,97.49,97.92,3256900,94.7
2013-09-18,97.87,98.99,97.64,98.7,4279600,95.46
2013-09-19,98.5,98.51,97,97.92,6430800,94.7
2013-09-20,97.7,98.05,96.9,96.9,8077000,93.72
2013-09-23,96.97,97.58,96.82,97.28,3301600,94.09
2013-09-24,97.14,98.6,96.86,97.78,4810300,94.57
2013-09-25,97.8,97.99,97.41,97.62,4053200,94.41
2013-09-26,97.89,98.32,97.79,98.19,3604900,94.97
2013-09-27,97.89,97.99,97,97.12,3533100,93.93
2013-09-30,96.46,96.69,95.11,96.21,4404500,93.05
2013-10-01,96.18,96.39,95.85,96.13,3240700,92.97
2013-10-02,95.58,95.88,94.01,95.28,7250300,92.15
2013-10-03,95.15,95.21,94.61,94.67,4855700,91.56
2013-10-04,94.61,94.8,94.4,94.7,3047700,91.59
2013-10-07,94.26,94.8,94.14,94.36,3037100,91.26
2013-10-08,94.27,94.58,93.94,93.94,3643900,90.86
2013-10-09,93.82,93.96,93.14,93.27,5159400,90.21
2013-10-10,94.22,94.44,93.51,94.44,4531000,91.34
2013-10-11,94.69,94.8,94.33,94.74,4132600,91.63
2013-10-14,94.41,94.88,94.18,94.72,3429700,91.61
2013-10-15,93.99,94.2,93.45,93.8,5878900,90.72
2013-10-16,94.3,95.24,94.14,95.22,4708700,92.09
2013-10-17,95.19,95.52,94.65,95.47,3860500,92.34
2013-10-18,95.7,95.7,94.52,95.2,7286100,92.07
2013-10-21,93.7,94.85,93.24,94.59,9137700,91.48
2013-10-22,94.68,95.49,94.21,95.12,5144000,92
2013-10-23,95.08,95.2,93.93,94.21,4581200,91.12
2013-10-24,94.41,94.81,94.24,94.68,3640900,91.57
2013-10-25,94.78,94.95,94.36,94.78,3055900,91.67
2013-10-28,94.69,95.72,94.68,95.37,3836400,92.24
2013-10-29,95.62,96.1,95.3,96.05,3975100,92.9
2013-10-30,96.17,96.45,95.73,96.03,3404300,92.88
2013-10-31,96.2,96.7,96.11,96.52,4271300,93.35
2013-11-01,96.52,97.5,96.52,97.24,5127300,94.05
2013-11-04,97.26,97.5,96.83,97.31,5023900,94.11
2013-11-05,97.38,97.75,97.02,97.41,4338200,94.21
2013-11-06,97.66,98.19,97.47,97.9,4365900,94.69
