Stock Quotes for MDLZ,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,37.81,38.07,37.55,37.87,5801500,37.71
2014-07-02,37.89,37.94,37.59,37.91,4771400,37.75
2014-07-03,38.2,38.29,37.74,37.97,3084900,37.81
2014-07-07,37.97,37.99,37.77,37.95,3930700,37.79
2014-07-08,37.81,38.39,37.81,38.08,7012400,37.92
2014-07-09,38.15,38.45,37.98,38.01,7640700,37.85
2014-07-10,37.78,38.05,37.69,37.99,4420800,37.83
2014-07-11,37.76,39.54,37.76,38.42,13163000,38.25
2014-07-14,38.65,38.75,38.34,38.56,7135700,38.39
2014-07-15,38.44,38.61,38.08,38.1,7359900,37.94
2014-07-16,38.12,38.31,38,38.14,5971700,37.98
2014-07-17,37.9,38.17,37.84,37.99,6388100,37.83
2014-07-18,38.1,38.5,37.96,38.48,6069600,38.31
2014-07-21,38.02,38.48,38.02,38.27,5076300,38.1
2014-07-22,38.32,38.63,38.32,38.51,5438800,38.34
2014-07-23,38.54,38.61,38.27,38.29,4353100,38.12
2014-07-24,38.34,38.47,38.2,38.31,4430300,38.14
2014-07-25,38.29,38.31,38.04,38.18,4398400,38.02
2014-07-28,38.32,38.33,37.99,38.22,4912600,38.05
2014-07-29,38.3,38.39,37.98,38.01,4310200,37.85
2014-07-30,38.17,38.18,36.96,36.97,9331900,36.81
2014-07-31,36.62,36.79,35.98,36.02,8907300,35.86
2014-08-01,36.23,36.43,35.92,36.33,6496200,36.17
2014-08-04,36.22,36.51,36.13,36.45,7111900,36.29
2014-08-05,36.21,36.43,35.79,35.96,15630600,35.8
2014-08-06,35.29,36.76,35.12,35.66,15206400,35.51
2014-08-07,36.56,36.56,34.92,35.07,9249800,34.92
2014-08-08,35.14,35.52,35.1,35.48,5140400,35.33
2014-08-11,35.54,35.9,35.48,35.76,6642200,35.61
2014-08-12,35.65,35.79,35.57,35.67,5447100,35.52
2014-08-13,35.68,35.92,35.68,35.8,4901700,35.65
2014-08-14,35.79,35.9,35.64,35.7,4682800,35.55
2014-08-15,36,36,35.59,35.78,7733900,35.63
2014-08-18,36.08,36.08,35.86,36.04,6205400,35.88
2014-08-19,36.02,36.35,35.81,36.17,5423100,36.01
2014-08-20,36.25,36.29,36.06,36.2,3863100,36.04
2014-08-21,36.24,36.35,36.13,36.16,3025200,36
2014-08-22,36.06,36.19,35.81,35.85,4137100,35.7
2014-08-25,36.16,36.22,36,36.15,3616200,35.99
2014-08-26,36.14,36.26,35.93,36.07,2845100,35.91
2014-08-27,36.1,36.24,36,36.24,3703000,36.08
2014-08-28,36.18,36.44,36.06,36.29,3642000,36.13
2014-08-29,36.32,36.35,36.07,36.19,5086900,36.03
2014-09-02,36.29,36.35,35.55,35.74,7838100,35.59
2014-09-03,35.96,35.99,35.73,35.82,5485400,35.67
2014-09-04,35.87,36.02,35.4,35.5,6551700,35.35
2014-09-05,35.7,35.74,35.22,35.69,7349800,35.54
2014-09-08,35.5,35.69,35.27,35.32,5391500,35.17
2014-09-09,35.22,35.7,35.15,35.53,6641900,35.38
2014-09-10,35.67,35.68,35.36,35.6,3785800,35.45
2014-09-11,35.2,35.76,35.17,35.75,4768900,35.6
2014-09-12,35.59,35.68,35.25,35.32,5546900,35.17
2014-09-15,35.29,35.53,35.21,35.43,4355000,35.28
