Stock Quotes for MDT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,51.24,52.06,51.13,52.06,6809100,50.78
2013-06-04,51.77,52.09,51.41,51.42,5895200,50.16
2013-06-05,51.24,51.55,50.94,50.96,5508000,49.71
2013-06-06,51.04,51.48,50.6,51.48,4679500,50.21
2013-06-07,51.67,52.13,51.6,52.08,4558100,50.8
2013-06-10,52,52.23,51.66,52.03,3972600,50.75
2013-06-11,51.66,52.38,51.39,52.07,5355600,50.79
2013-06-12,52.26,52.48,51.54,51.61,4856600,50.34
2013-06-13,51.47,52.85,51.09,52.78,5175400,51.48
2013-06-14,52.88,53.3,52.62,52.92,5463600,51.62
2013-06-17,53.17,53.8,53.1,53.51,6131000,52.19
2013-06-18,52.99,53.25,52.45,52.92,5610000,51.62
2013-06-19,52.99,53.18,52.05,52.05,5714900,50.77
2013-06-20,51.66,51.98,51.06,51.19,7158700,49.93
2013-06-21,51.67,52.55,51.66,52.49,8406400,51.2
2013-06-24,52.07,52.23,51.19,51.58,6412400,50.31
2013-06-25,52,52.19,51.37,51.83,3921300,50.56
2013-06-26,52.38,52.76,52,52,4362200,50.72
2013-06-27,52.13,52.22,51.71,51.93,4382200,50.65
2013-06-28,51.93,52.17,51.47,51.47,6747100,50.21
2013-07-01,52.06,52.63,51.91,52.05,4715800,50.77
2013-07-02,51.78,52.29,51.65,51.81,4872100,50.81
2013-07-03,51.66,51.87,51.28,51.53,2259100,50.54
2013-07-05,51.87,52.42,51.85,52.41,3673200,51.4
2013-07-08,52.61,52.98,52.51,52.79,4606400,51.77
2013-07-09,52.95,52.99,52.48,52.88,4269500,51.86
2013-07-10,52.8,53.16,52.69,53,4333300,51.98
2013-07-11,53.4,53.77,53.36,53.74,5063400,52.7
2013-07-12,53,53.55,52.8,53.44,5866200,52.41
2013-07-15,53.58,53.91,53.52,53.69,4725500,52.65
2013-07-16,53.63,53.99,53.33,53.52,3623600,52.49
2013-07-17,54.03,54.78,53.92,54.4,5190200,53.35
2013-07-18,54.44,54.75,54.32,54.7,4708000,53.64
2013-07-19,54.65,55.12,54.42,55.02,7319300,53.96
2013-07-22,54.95,55.58,54.95,55.48,4019000,54.41
2013-07-23,55.45,55.63,55.15,55.48,4099600,54.41
2013-07-24,55.51,55.62,55.02,55.09,3155400,54.03
2013-07-25,55.18,55.53,54.9,55.38,4180700,54.31
2013-07-26,55.23,55.6,54.84,55.6,2671700,54.53
2013-07-29,55.54,55.59,55.19,55.32,2831700,54.25
2013-07-30,55.57,55.9,55.03,55.07,4319100,54.01
2013-07-31,55.14,55.75,55.03,55.24,4376700,54.17
2013-08-01,55.34,55.62,55.23,55.49,4418300,54.42
2013-08-02,54.91,55.16,54.35,54.94,11814400,53.88
2013-08-05,54.76,55.46,54.67,55.36,5395300,54.29
2013-08-06,55.35,55.48,55.09,55.13,4429600,54.07
2013-08-07,55.04,55.35,54.84,55.18,3839300,54.12
2013-08-08,55.49,55.98,55.39,55.88,4641500,54.8
2013-08-09,55.76,55.78,55.29,55.37,3868100,54.3
2013-08-12,55.21,55.29,54.96,55.22,3247400,54.15
2013-08-13,55.2,55.35,54.65,54.84,4612600,53.78
2013-08-14,55.1,55.33,54.91,55.2,4784700,54.13
2013-08-15,54.79,54.95,54.08,54.33,4479400,53.28
2013-08-16,54.13,54.29,53.89,53.91,4583300,52.87
2013-08-19,53.65,54.26,53.57,54.1,4325200,53.06
2013-08-20,52.73,53.14,52.4,52.83,6160700,51.81
2013-08-21,52.72,53.18,52.52,52.68,5298000,51.66
2013-08-22,52.76,53.53,52.7,53.36,3485100,52.33
2013-08-23,53.34,53.72,52.62,52.74,5979800,51.72
2013-08-26,52.77,53,52.35,52.37,4871300,51.36
2013-08-27,51.89,52.11,51.47,51.51,5667000,50.52
2013-08-28,51.48,51.8,51.47,51.56,4532200,50.56
2013-08-29,51.47,52.35,51.22,51.83,4865700,50.83
2013-08-30,51.97,51.97,51.53,51.75,5442900,50.75
2013-09-03,52.25,52.58,51.78,52.09,5625300,51.08
2013-09-04,53.38,53.49,52.86,53.2,11290000,52.17
2013-09-05,53.22,53.74,53.22,53.66,4618100,52.62
2013-09-06,53.66,53.88,52.88,53.46,4443300,52.43
2013-09-09,53.48,53.99,53.45,53.92,3662700,52.88
2013-09-10,54.09,54.26,53.78,53.96,2956700,52.92
2013-09-11,54,54.25,53.96,54.09,3191600,53.05
2013-09-12,54.07,54.21,53.51,53.58,3907100,52.55
2013-09-13,53.71,53.8,53.44,53.58,2256400,52.55
2013-09-16,54.04,54.23,53.79,54.06,2515700,53.02
2013-09-17,54.04,54.21,53.8,53.94,2522100,52.9
2013-09-18,53.91,54.24,53.29,54.08,4809900,53.04
2013-09-19,54.14,54.15,53.8,54,2778200,52.96
2013-09-20,54.25,54.3,53.65,53.71,6328700,52.67
2013-09-23,53.72,53.89,53.52,53.76,2611200,52.72
2013-09-24,53.85,53.87,53.41,53.43,2919000,52.4
2013-09-25,53.46,53.48,52.76,52.81,3631200,51.79
2013-09-26,52.74,53.13,52.71,52.94,2067300,51.92
2013-09-27,52.78,53.11,52.64,53,2920300,51.98
2013-09-30,52.82,53.88,52.6,53.25,5588300,52.22
2013-10-01,53.34,53.58,53.05,53.52,2987300,52.49
2013-10-02,53.07,53.53,52.98,53.52,3440300,52.76
2013-10-03,53.33,53.4,52.62,53.04,3178000,52.29
2013-10-04,52.99,53.4,52.73,53.35,2228900,52.6
2013-10-07,52.96,52.98,52.63,52.72,2631300,51.97
2013-10-08,52.77,53.32,52.44,52.46,5094000,51.72
2013-10-09,52.56,53.28,52.53,53.06,4238200,52.31
2013-10-10,53.47,54.27,53.39,54.27,3543400,53.5
2013-10-11,54.03,55.04,54.02,54.99,4230100,54.21
2013-10-14,54.76,55.34,54.66,55.19,3452200,54.41
2013-10-15,55.04,55.37,54.52,54.58,3086100,53.81
2013-10-16,54.68,55.48,54.67,55.48,3352500,54.7
2013-10-17,55.41,56.37,55.26,56.32,3477800,55.52
2013-10-18,56.48,56.7,56.14,56.59,4941000,55.79
2013-10-21,56.43,56.53,56.01,56.49,3657800,55.69
