Stock Quotes for MMM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,110.7,110.95,109.69,110.61,2647100,107.45
2013-06-04,110.65,111.2,109.53,110.02,2508500,106.87
2013-06-05,109.8,109.89,108.39,108.59,2690400,105.48
2013-06-06,108.46,108.78,107.64,108.67,2680800,105.56
2013-06-07,109.38,111.12,108.97,111.11,3374900,107.93
2013-06-10,111.41,111.45,110.54,110.81,2224100,107.64
2013-06-11,109.9,111.08,109.51,110.22,1752100,107.07
2013-06-12,110.99,111.06,108.95,109.03,2400700,105.91
2013-06-13,108.95,111.44,108.58,111.2,2604200,108.02
2013-06-14,111.3,112.07,110.75,111.03,2016800,107.85
2013-06-17,111.85,112.87,111.64,111.91,2617800,108.71
2013-06-18,112.07,113.23,111.9,112.97,1695300,109.74
2013-06-19,112.96,113.25,111.53,111.57,1971700,108.38
2013-06-20,110.71,110.76,108.52,108.78,2975600,105.67
2013-06-21,109.5,110.06,108.74,109.59,4674400,106.46
2013-06-24,108.78,108.78,107.15,107.5,3602500,104.43
2013-06-25,108.2,108.75,107.54,108.24,2676700,105.14
2013-06-26,109.07,109.98,108.73,109.68,2524400,106.54
2013-06-27,110.54,110.9,109.97,110.24,2229600,107.09
2013-06-28,109.86,110.47,109.14,109.35,3428500,106.22
2013-07-01,108.37,110.36,108.36,109.31,2668800,106.18
2013-07-02,109.05,109.75,108.33,108.73,3008800,105.62
2013-07-03,108.28,109.9,108.21,109.45,1358800,106.32
2013-07-05,110.37,111.56,109.87,111.54,2064500,108.35
2013-07-08,112,112.78,111.9,112.13,2571600,108.92
2013-07-09,113.09,113.52,112.79,113.35,2196200,110.11
2013-07-10,113.38,113.88,112.91,113.43,2307500,110.19
2013-07-11,114.36,114.75,114.17,114.53,2387500,111.25
2013-07-12,114.57,115.24,114.27,115.14,2291700,111.85
2013-07-15,115.14,115.49,114.75,114.85,2064400,111.56
2013-07-16,114.99,115.44,114.06,114.34,2458400,111.07
2013-07-17,114.97,115.27,114.31,114.64,2096600,111.36
2013-07-18,114.61,115.75,114.57,115.48,2945800,112.18
2013-07-19,115.34,116.47,115.34,116.19,3093900,112.87
2013-07-22,116,116.82,115.66,116.28,2823500,112.95
2013-07-23,116.44,117.3,116.01,116.75,2254400,113.41
2013-07-24,117.07,117.09,116.06,116.33,1808800,113
2013-07-25,115.3,116.9,114.84,116.55,3346700,113.22
2013-07-26,116.17,116.93,115.34,116.91,2332200,113.57
2013-07-29,116.41,116.81,116.06,116.61,1460400,113.27
2013-07-30,116.9,117.12,116.33,116.84,2285200,113.5
2013-07-31,117.13,118.6,117.01,117.43,2694000,114.07
2013-08-01,118.38,119.26,118.27,118.41,2997000,115.02
2013-08-02,117.98,118.35,117.47,118.26,1899300,114.88
2013-08-05,118.17,118.25,117.81,117.92,1351800,114.55
2013-08-06,117.82,117.95,117.14,117.5,1841100,114.14
2013-08-07,117.3,117.95,117.04,117.83,1934000,114.46
2013-08-08,118.27,119,117.64,118.68,2380600,115.29
2013-08-09,118.73,119.2,117.7,118.31,2460100,114.93
2013-08-12,118,118.76,117.72,118.38,1647400,114.99
2013-08-13,118.52,119.18,117.19,118.67,2023300,115.28
