Stock Quotes for MO,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,41.87,42,41.52,41.83,5197700,41.33
2014-07-02,41.85,41.97,41.72,41.87,3579200,41.37
2014-07-03,42.02,42.58,41.99,42.39,5819600,41.89
2014-07-07,42.25,42.78,42.25,42.62,5212400,42.11
2014-07-08,42.65,42.81,42.51,42.71,5145000,42.2
2014-07-09,42.85,43.05,42.72,42.8,5904300,42.29
2014-07-10,42.61,42.95,42.61,42.95,7554700,42.44
2014-07-11,43.53,43.6,43.02,43.43,9915900,42.92
2014-07-14,43.61,43.7,43.26,43.35,8341300,42.84
2014-07-15,43,43.08,41.75,41.76,18024000,41.26
2014-07-16,42.08,42.36,41.7,41.82,7945200,41.32
2014-07-17,41.71,41.98,41.55,41.58,6506800,41.09
2014-07-18,41.79,42.26,41.6,42.17,6800500,41.67
2014-07-21,41.54,42.05,41.45,42.01,8636800,41.51
2014-07-22,41.78,42.25,41.15,41.93,8835500,41.43
2014-07-23,41.99,42,41.65,41.72,6523500,41.23
2014-07-24,41.87,42.15,41.79,42.04,6824500,41.54
2014-07-25,41.88,42.02,41.52,41.74,4829600,41.25
2014-07-28,41.73,41.86,41.37,41.65,4501800,41.16
2014-07-29,41.59,41.82,41.47,41.54,8603900,41.05
2014-07-30,41.83,41.89,41.06,41.12,7223700,40.63
2014-07-31,40.93,41.04,40.59,40.6,7194000,40.12
2014-08-01,40.37,40.8,40.26,40.5,6192600,40.02
2014-08-04,40.47,40.83,40.4,40.73,6302200,40.25
2014-08-05,40.72,40.96,40.41,40.57,4395800,40.09
2014-08-06,40.47,41.55,40.47,41.43,7964000,40.94
2014-08-07,41.44,41.52,40.91,41.15,7828400,40.66
2014-08-08,41.2,41.66,41.13,41.63,4407600,41.14
2014-08-11,41.82,42.31,41.64,42.01,6134700,41.51
2014-08-12,41.9,42.01,41.72,41.96,3843500,41.46
2014-08-13,42.08,42.28,41.89,42.07,3724800,41.57
2014-08-14,42.11,42.26,42.01,42.26,2976900,41.76
2014-08-15,42.39,42.47,41.93,42.2,4737300,41.7
2014-08-18,42.3,42.59,42.3,42.5,3987100,42
2014-08-19,42.6,42.71,42.3,42.7,4320700,42.19
2014-08-20,42.71,42.72,42.32,42.46,4538600,41.96
2014-08-21,42.47,42.68,42.34,42.58,4830000,42.08
2014-08-22,42.59,42.7,42.43,42.59,3796900,42.09
2014-08-25,42.74,42.93,42.66,42.77,3278700,42.26
2014-08-26,42.91,42.98,42.71,42.86,4468100,42.35
2014-08-27,42.8,42.86,42.58,42.82,3489300,42.31
2014-08-28,42.7,43,42.64,42.91,3195500,42.4
2014-08-29,43,43.12,42.93,43.08,3645300,42.57
2014-09-02,43.16,43.68,43.05,43.19,4573300,42.68
2014-09-03,43.39,43.46,43.11,43.22,3497000,42.71
2014-09-04,43.22,43.48,43.05,43.14,4583100,42.63
2014-09-05,43.13,43.41,43.08,43.39,4949600,42.88
2014-09-08,43.38,43.6,43.36,43.49,6454800,42.97
2014-09-09,43.61,43.66,43.46,43.65,8571300,43.13
2014-09-10,43.7,44.05,43.49,43.86,8282400,43.34
2014-09-11,43.33,43.47,42.92,43.19,6328700,43.19
2014-09-12,43.19,43.3,42.96,43.16,7327700,43.16
2014-09-15,43.6,44.5,43.37,44.27,11428100,44.27
