Stock Quotes for MON,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,124.5,125.07,124,124.3,3946500,124.3
2014-07-02,124.68,127.48,124.68,126.53,8821500,126.53
2014-07-03,126.55,126.85,125.82,126.52,1410800,126.52
2014-07-07,126.03,126.63,125.1,125.25,3145600,125.25
2014-07-08,125,125.28,124.13,124.56,2579900,124.56
2014-07-09,124.61,124.95,123.23,123.47,3158200,123.47
2014-07-10,122.6,123.05,121.96,122.56,3931600,122.56
2014-07-11,122.43,122.56,120.6,120.9,3390700,120.9
2014-07-14,121.17,121.54,119.81,120,3887200,120
2014-07-15,120.35,121.17,119.7,119.98,5930700,119.98
2014-07-16,121.02,121.29,119.89,120.18,4350700,120.18
2014-07-17,119.76,120.61,119.36,119.59,3561000,119.59
2014-07-18,120,120.6,119.77,119.98,3112500,119.98
2014-07-21,119.39,119.83,118.83,118.96,2863800,118.96
2014-07-22,119.24,120.01,118.67,118.77,3554300,118.77
2014-07-23,118.34,118.79,116.16,116.27,7301200,116.27
2014-07-24,116.39,116.5,115.7,116.19,5658700,116.19
2014-07-25,116.05,116.87,115.64,115.79,3905700,115.79
2014-07-28,115.79,116.21,114.71,114.97,4170800,114.97
2014-07-29,115,115.59,113.93,114.41,3613600,114.41
2014-07-30,114.94,115.59,114.3,114.39,4331000,114.39
2014-07-31,113.79,114.58,113.09,113.09,3704800,113.09
2014-08-01,112.17,113.98,112.13,113.59,4206600,113.59
2014-08-04,113.77,115.15,112.87,114.91,4540000,114.91
2014-08-05,114.22,115.39,114.09,115,5163800,115
2014-08-06,114.71,116.17,114.71,116.05,4304000,116.05
2014-08-07,116.37,116.71,114.93,115.15,3455700,115.15
2014-08-08,115.34,115.83,114.6,115.47,2998900,115.47
2014-08-11,115.45,116.42,115.16,115.42,3208000,115.42
2014-08-12,115.35,115.96,114.69,115.71,2663100,115.71
2014-08-13,115.74,117,115.31,116.87,2541200,116.87
2014-08-14,116.81,117.44,116.77,117.06,3038000,117.06
2014-08-15,117.34,119.17,117.05,118.99,4948200,118.99
2014-08-18,120.03,120.1,119.24,119.43,4502300,119.43
2014-08-19,119.42,120.14,119.24,119.83,2370900,119.83
2014-08-20,119.91,121,119.65,120.92,3678800,120.92
2014-08-21,121.23,121.23,117.52,117.65,6808900,117.65
2014-08-22,117.86,118.13,116.52,116.62,3464900,116.62
2014-08-25,117.12,117.61,116.45,117.51,2840000,117.51
2014-08-26,117.85,117.91,117,117.12,2835700,117.12
2014-08-27,117.17,117.61,115.6,115.97,4576400,115.97
2014-08-28,115.72,115.93,114.92,115.76,3624300,115.76
2014-08-29,116.03,116.54,115.45,115.65,3068700,115.65
2014-09-02,115.9,115.92,114.6,114.94,3291900,114.94
2014-09-03,115.44,115.93,115.18,115.3,2227500,115.3
2014-09-04,114.93,115.35,113.25,113.63,4015600,113.63
2014-09-05,113.57,114.43,113.04,114.26,2794900,114.26
2014-09-08,114.26,114.81,114.01,114.67,2602200,114.67
2014-09-09,114.12,114.9,114.05,114.44,1898100,114.44
2014-09-10,113.74,113.85,111.03,113.01,8916200,113.01
2014-09-11,112.82,114.24,112.8,113.62,3354000,113.62
2014-09-12,113.42,113.8,112.63,113.05,2648200,113.05
2014-09-15,113.13,113.73,112.57,113.14,2895300,113.14
