Stock Quotes for MRK,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,57.7,58.64,57.48,58.51,8838000,58.09
2014-07-02,58.47,59.1,58.37,59.05,6941000,58.62
2014-07-03,59.39,59.45,59.07,59.2,5220100,58.77
2014-07-07,58.91,59.65,58.49,58.52,9276200,58.1
2014-07-08,58.66,58.67,57.91,58.17,8270100,57.75
2014-07-09,58.45,58.72,58.18,58.55,6938700,58.13
2014-07-10,58.28,58.77,57.73,58.58,5583700,58.16
2014-07-11,58.65,58.74,58.16,58.44,6106800,58.02
2014-07-14,58.62,58.67,58.06,58.18,8379100,57.76
2014-07-15,58.13,58.4,57.49,57.91,10158100,57.49
2014-07-16,57.94,58.21,57.73,58.15,6805000,57.73
2014-07-17,57.87,58.24,57.57,57.6,6649700,57.18
2014-07-18,57.92,58.43,57.62,58.34,7432700,57.92
2014-07-21,57.89,58.19,57.71,58,7095700,57.58
2014-07-22,58.13,58.88,58.13,58.43,6509200,58.01
2014-07-23,58.3,58.5,58.05,58.11,6292400,57.69
2014-07-24,58.32,58.5,57.92,58.21,10064200,57.79
2014-07-25,58.13,58.36,57.92,58.15,5525100,57.73
2014-07-28,58.17,58.34,57.85,57.97,8600700,57.55
2014-07-29,58.82,59.28,58.14,58.58,10328000,58.16
2014-07-30,58.58,58.85,57.61,58.08,8051800,57.66
2014-07-31,57.76,58.07,56.72,56.74,10119000,56.33
2014-08-01,56.58,57.12,56.28,56.8,10141000,56.39
2014-08-04,56.95,57.27,56.36,57.06,8649500,56.65
2014-08-05,56.72,56.97,55.82,56.03,9031200,55.62
2014-08-06,55.88,56.14,55.72,55.93,12275800,55.52
2014-08-07,56.21,56.56,55.57,55.64,7215500,55.24
2014-08-08,55.87,56.61,55.58,56.55,7081500,56.14
2014-08-11,56.7,57.05,56.46,56.66,5499100,56.25
2014-08-12,56.55,57.14,56.52,57.03,7090200,56.62
2014-08-13,57.39,57.89,57.16,57.85,10670400,57.43
2014-08-14,58.05,58.79,58,58.78,7932300,58.35
2014-08-15,58.8,59,58.03,58.61,9046800,58.19
2014-08-18,58.8,58.87,58.35,58.42,9443900,58
2014-08-19,58.85,58.95,58.34,58.91,7435000,58.48
2014-08-20,58.68,59.57,58.53,59.48,7038400,59.05
2014-08-21,59.4,59.66,58.79,58.85,7646800,58.42
2014-08-22,59.04,59.36,58.9,59.17,5187600,58.74
2014-08-25,59.34,59.87,59.26,59.73,5170800,59.3
2014-08-26,59.67,60.4,59.66,60.2,9220600,59.76
2014-08-27,60.4,60.58,60.11,60.28,6546700,59.84
2014-08-28,59.89,60.23,59.84,60,5241000,59.57
2014-08-29,60.42,60.42,59.83,60.11,5715800,59.67
2014-09-02,59.73,60.1,59.67,59.79,6054500,59.36
2014-09-03,60.12,60.86,60.06,60.48,9096200,60.04
2014-09-04,60.57,61,59.92,60.08,10809000,59.64
2014-09-05,60.42,61.18,60.15,61.18,10744200,60.74
2014-09-08,61.22,61.33,60.83,61.05,8420400,60.61
2014-09-09,60.84,61.03,60.47,60.56,7443700,60.12
2014-09-10,60.67,60.87,60.35,60.76,9212800,60.32
2014-09-11,60.21,60.44,59.81,60.1,7785200,60.1
2014-09-12,59.88,60.13,59.26,59.55,7021800,59.55
2014-09-15,59.65,59.99,59.5,59.52,7738900,59.52
