Stock Quotes for MS,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,32.41,32.59,32.22,32.32,7787600,32.22
2014-07-02,32.32,32.68,32.3,32.49,6190600,32.39
2014-07-03,32.73,33.07,32.62,32.62,5994200,32.52
2014-07-07,32.51,32.56,32.1,32.39,5635300,32.29
2014-07-08,32.19,32.24,31.47,31.75,9205600,31.65
2014-07-09,31.93,32.05,31.62,32.01,6292100,31.91
2014-07-10,31.25,31.74,31.2,31.68,7784900,31.58
2014-07-11,31.59,31.69,31.33,31.41,10112200,31.32
2014-07-14,32.11,32.16,31.74,31.81,11323100,31.71
2014-07-15,32.19,32.27,31.73,32,13796400,31.9
2014-07-16,32.27,32.61,32.14,32.5,16389300,32.4
2014-07-17,33.04,33.16,32.12,32.3,18525600,32.2
2014-07-18,32.45,32.78,32.23,32.64,9239500,32.54
2014-07-21,32.55,32.7,32.37,32.55,7125400,32.45
2014-07-22,32.61,33.12,32.61,32.91,8845100,32.81
2014-07-23,32.95,33.45,32.81,33.35,9363200,33.25
2014-07-24,33.43,33.6,33.24,33.4,6575500,33.3
2014-07-25,33.34,33.45,33.19,33.24,6292600,33.14
2014-07-28,33.2,33.38,32.87,33.07,7114900,32.97
2014-07-29,33.08,33.1,32.65,32.65,5716600,32.65
2014-07-30,32.77,33.49,32.75,33.34,9992400,33.34
2014-07-31,33.03,33.14,32.33,32.34,9131500,32.34
2014-08-01,32.18,32.33,31.44,31.6,11539300,31.6
2014-08-04,31.77,31.95,31.54,31.83,6846800,31.83
2014-08-05,31.7,31.95,31.29,31.41,9478400,31.41
2014-08-06,31.23,31.92,31.19,31.56,9049600,31.56
2014-08-07,31.74,31.84,31.22,31.36,6553100,31.36
2014-08-08,31.36,32.03,31.12,31.95,8512700,31.95
2014-08-11,31.99,32.3,31.77,32.08,6540300,32.08
2014-08-12,32.02,32.34,31.88,32.01,4522600,32.01
2014-08-13,32.15,32.26,32.01,32.02,4802300,32.02
2014-08-14,32.07,32.26,32.07,32.17,3974100,32.17
2014-08-15,32.28,32.71,31.98,32.22,9329600,32.22
2014-08-18,32.47,32.74,32.39,32.61,4801200,32.61
2014-08-19,32.69,32.84,32.53,32.53,4188000,32.53
2014-08-20,32.4,32.65,32.38,32.54,4210500,32.54
2014-08-21,32.66,33.05,32.5,33.03,7277900,33.03
2014-08-22,32.99,33.56,32.92,33.47,8979300,33.47
2014-08-25,33.68,34.57,33.68,34.2,13899500,34.2
2014-08-26,34.17,34.55,34.17,34.4,8441400,34.4
2014-08-27,34.49,34.5,34.05,34.13,5668100,34.13
2014-08-28,34,34.12,33.72,34.06,4443800,34.06
2014-08-29,34.15,34.51,34.08,34.31,4926800,34.31
2014-09-02,34.42,34.65,34.18,34.55,5029100,34.55
2014-09-03,34.74,34.99,34.48,34.56,7101700,34.56
2014-09-04,34.52,34.91,34.52,34.7,7150000,34.7
2014-09-05,34.42,34.64,33.94,34.63,9940500,34.63
2014-09-08,34.59,35.09,34.59,34.86,8055200,34.86
2014-09-09,34.44,34.44,33.82,33.91,11394500,33.91
2014-09-10,34.04,34.4,34.04,34.33,6384100,34.33
2014-09-11,34.12,34.75,34.1,34.73,6794200,34.73
2014-09-12,34.73,35.08,34.7,35.01,10199400,35.01
2014-09-15,34.97,35.23,34.76,35.21,9563400,35.21
