Stock Quotes for NKE,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,61.6,63.08,61.11,63.03,5070600,62.05
2013-06-04,63.25,63.57,62.31,62.78,3392700,61.8
2013-06-05,62.6,62.94,61.6,61.75,3102700,60.79
2013-06-06,61.74,62.18,61.21,62.16,2380700,61.19
2013-06-07,62.48,63.09,62.25,62.75,2666000,61.77
2013-06-10,62.91,63.48,62.74,63.04,2739500,62.06
2013-06-11,62.3,62.94,61.97,62.15,2770200,61.18
2013-06-12,62.57,62.57,61.35,61.41,2721300,60.45
2013-06-13,61.3,61.92,61.03,61.76,3916300,60.8
2013-06-14,61.63,62.4,61.61,61.89,2611200,60.93
2013-06-17,62.38,62.72,61.82,61.94,3756400,60.98
2013-06-18,61.84,62.25,61.62,62.15,4534400,61.18
2013-06-19,62.14,62.34,61.73,61.75,4611800,60.79
2013-06-20,61.33,61.63,60.64,60.78,4912100,59.83
2013-06-21,60.82,61.38,60.07,60.57,5044600,59.63
2013-06-24,60.16,60.51,59.11,59.95,4744700,59.02
2013-06-25,60.42,60.99,59.95,60.39,5448200,59.45
2013-06-26,60.86,62.12,60.79,61.85,5688400,60.89
2013-06-27,62.87,63.25,62.13,62.32,6141400,61.35
2013-06-28,61.94,64.07,60.18,63.68,13401900,62.69
2013-07-01,63.94,64.59,62.2,62.33,7199400,61.36
2013-07-02,61.93,63.08,61.9,62.62,3701200,61.65
2013-07-03,62.24,62.94,62.1,62.86,1687800,61.88
2013-07-05,63.16,63.83,63.15,63.64,2578900,62.65
2013-07-08,64,64.66,63.48,63.72,3490800,62.73
2013-07-09,64,64.28,63.4,63.93,3494600,62.94
2013-07-10,63.91,63.91,63.32,63.6,2550900,62.61
2013-07-11,64.2,64.44,63.44,63.72,3573000,62.73
2013-07-12,63.63,63.83,63.49,63.67,2212000,62.68
2013-07-15,63.46,63.65,63.25,63.35,2880900,62.36
2013-07-16,63.14,63.47,62.47,62.7,3429100,61.72
2013-07-17,62.6,63.67,62.57,63.33,3123800,62.34
2013-07-18,63.24,63.78,62.9,63.32,2243400,62.33
2013-07-19,63.25,63.59,63.08,63.35,2959700,62.36
2013-07-22,63.11,63.57,62.84,63.29,2790800,62.31
2013-07-23,63.52,63.58,63.14,63.19,2144800,62.21
2013-07-24,63.19,63.43,62.57,62.63,2352700,61.66
2013-07-25,62.75,62.89,62.2,62.49,4455700,61.52
2013-07-26,62.05,62.6,62.03,62.53,2758900,61.56
2013-07-29,62.25,62.79,62.25,62.71,2537800,61.73
2013-07-30,62.65,63.1,62.64,62.85,3199800,61.87
2013-07-31,63.12,63.5,62.77,62.92,4230900,61.94
2013-08-01,63.24,66.11,63.24,65.97,7906600,64.94
2013-08-02,65.99,66.61,65.41,66.3,3749900,65.27
2013-08-05,66.2,66.54,66.16,66.4,2106500,65.37
2013-08-06,66.31,66.85,65.88,66.54,3122000,65.5
2013-08-07,66.14,66.24,65.61,65.63,2944400,64.61
2013-08-08,66.06,66.45,65.78,66.05,2528700,65.02
2013-08-09,65.92,66.74,65.84,66.31,2822400,65.28
2013-08-12,66.09,66.6,66.05,66.51,2200900,65.48
2013-08-13,66.61,66.75,65.69,65.81,2149700,64.79
2013-08-14,65.53,65.66,64.23,64.35,2980900,63.35
2013-08-15,63.78,64,63.16,63.49,3113500,62.5
2013-08-16,63.44,64.31,63.34,63.65,2630600,62.66
2013-08-19,63.7,65.11,63.5,64.71,3874800,63.7
2013-08-20,64.55,65.71,64.31,64.63,3834200,63.62
