Stock Quotes for NOV,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,82.66,82.77,81.8,82.41,2738200,81.95
2014-07-02,82.39,82.87,82.16,82.61,2360300,82.15
2014-07-03,82.48,83.04,82.18,83.02,1430800,82.55
2014-07-07,82.81,83.23,82.61,83.14,2342800,82.67
2014-07-08,82.56,83.32,82.5,83.14,2889000,82.67
2014-07-09,83.14,84.67,83.08,84.5,3297800,84.02
2014-07-10,83.56,83.77,82.76,83.36,3699100,82.89
2014-07-11,83.28,83.3,82.09,82.75,2824400,82.28
2014-07-14,83.12,83.76,83.07,83.75,1919200,83.28
2014-07-15,83.44,84.1,82.9,83.88,3391900,83.41
2014-07-16,84.25,85.47,84.14,85.36,3563900,84.88
2014-07-17,85.2,85.75,84.4,84.6,2714400,84.12
2014-07-18,84.59,85.45,84.36,85.45,3178500,84.97
2014-07-21,85.16,85.76,85.11,85.58,2507900,85.1
2014-07-22,85.85,86.34,85.8,86.03,2536000,85.55
2014-07-23,86.12,86.3,85.06,86.18,3123900,85.7
2014-07-24,86.13,86.41,85.07,85.45,3306900,84.97
2014-07-25,85,85.39,84.78,85.17,2611400,84.69
2014-07-28,85.17,85.2,83.79,84.7,4034800,84.22
2014-07-29,85.74,85.79,82.92,83.41,4670700,82.94
2014-07-30,83,83.45,81.73,81.73,5051000,81.27
2014-07-31,81.3,81.93,80.9,81.04,4249200,80.58
2014-08-01,80.53,81.6,80.3,81.09,3567000,80.63
2014-08-04,81.09,82.99,80.52,82.87,3384100,82.4
2014-08-05,82.56,82.56,80.76,81.56,3580300,81.1
2014-08-06,81.17,82.71,81.14,82.01,2724900,81.55
2014-08-07,82.18,82.72,81.31,81.64,2496000,81.18
2014-08-08,81.76,82.38,81.41,82.31,4121000,81.85
2014-08-11,82.5,82.89,81.87,81.97,2452000,81.51
2014-08-12,81.74,82.45,81.57,81.89,2081900,81.43
2014-08-13,82.35,82.83,82.1,82.22,1637200,81.76
2014-08-14,82.29,82.7,80.55,80.77,2745300,80.32
2014-08-15,81.14,82.2,81.14,82.11,2780500,81.65
2014-08-18,82.7,82.86,82.01,82.49,2124500,82.03
2014-08-19,82.53,84.14,82.45,83.62,3039000,83.15
2014-08-20,83.1,83.87,82.48,83.84,2279600,83.37
2014-08-21,84,84.64,83.3,84.41,2543600,83.94
2014-08-22,84.18,84.32,83.52,84,2246800,83.53
2014-08-25,84.2,84.79,83.76,84.67,2097300,84.19
2014-08-26,84.82,85.96,84.78,84.91,2193000,84.43
2014-08-27,85.14,85.75,84.3,85.62,1736700,85.14
2014-08-28,85.17,85.73,84.69,85.42,1847800,84.94
2014-08-29,85.55,86.46,85.21,86.43,2116900,85.94
2014-09-02,86.5,86.55,84.2,84.63,3297100,84.15
2014-09-03,85.34,85.71,85.07,85.13,2095900,84.65
2014-09-04,85.16,85.25,83.19,83.63,3715400,83.16
2014-09-05,83.63,83.89,82.25,83.55,2911900,83.08
2014-09-08,83.2,83.2,81.8,82.63,2562800,82.17
2014-09-09,82.5,82.69,81.21,81.75,3812200,81.29
2014-09-10,81.27,81.51,80.14,81.49,4836700,81.49
2014-09-11,80.96,82.53,80.8,82.49,3131200,82.49
2014-09-12,82.15,82.17,80.31,80.64,3220100,80.64
2014-09-15,80.78,81.53,80.3,81.3,2816000,81.3
