Stock Quotes for NSC,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,103.21,103.75,102.47,102.55,1829600,101.99
2014-07-02,103.08,103.63,102.31,103.56,1664300,102.99
2014-07-03,103.82,104.29,103.48,103.84,782500,103.27
2014-07-07,103.58,103.84,103.01,103.23,1190400,102.66
2014-07-08,103.18,103.49,102.26,102.69,1393800,102.12
2014-07-09,103.28,103.83,102.83,103.4,963000,102.83
2014-07-10,102.25,102.72,101.83,102.41,1365400,101.85
2014-07-11,102.45,104.06,102.3,103.95,1356000,103.38
2014-07-14,104.22,105.05,104.22,104.43,1032200,103.85
2014-07-15,104.07,105.11,104.07,104.35,2011100,103.78
2014-07-16,104.49,105.37,103.97,105.3,1122900,104.72
2014-07-17,104.51,105.47,104.33,104.38,1479500,103.8
2014-07-18,104.66,106.22,104.63,106.18,1152900,105.6
2014-07-21,105.72,106.37,105.52,106.22,1148500,105.63
2014-07-22,106.97,107.81,106.4,107.61,1696100,107.02
2014-07-23,108.42,108.84,106.05,106.84,1922400,106.25
2014-07-24,107.19,108.3,106.88,107.78,1673300,107.19
2014-07-25,107.63,107.89,107.12,107.5,989100,106.91
2014-07-28,107.03,107.4,105.02,105.33,1650800,104.75
2014-07-29,105.25,105.4,103.44,103.46,1879800,102.89
2014-07-30,103.52,104.05,103.18,103.65,1663400,103.65
2014-07-31,103.46,103.46,101.55,101.66,1341700,101.66
2014-08-01,101.54,102.02,100.15,101.2,1581100,101.2
2014-08-04,101.21,101.42,99.86,101.37,2143200,101.37
2014-08-05,100.63,101.92,100.46,100.69,1741700,100.69
2014-08-06,99.98,100.85,99.63,100.09,1662800,100.09
2014-08-07,100.08,101.1,99.76,100,1764300,100
2014-08-08,100.09,101.44,99.82,101.37,1720800,101.37
2014-08-11,101.51,103.42,101.4,102.84,1467900,102.84
2014-08-12,102.28,103.04,102.01,102.45,1053500,102.45
2014-08-13,102.49,103.37,102.49,103.23,903000,103.23
2014-08-14,103.29,104.08,103.2,103.97,914200,103.97
2014-08-15,104.45,104.68,103.53,104.49,1178200,104.49
2014-08-18,105.45,106.14,105.01,106.03,1358100,106.03
2014-08-19,106.17,106.59,105.8,106.08,1103000,106.08
2014-08-20,106.11,106.92,105.98,106.36,2115600,106.36
2014-08-21,106.57,106.62,104.22,105.18,2992200,105.18
2014-08-22,105.11,105.88,105.04,105.48,1155400,105.48
2014-08-25,105.95,106.08,105.38,105.55,590200,105.55
2014-08-26,105.88,106.06,105.51,105.53,916600,105.53
2014-08-27,106.14,106.93,106,106.82,1238600,106.82
2014-08-28,106.33,106.77,106.11,106.58,815900,106.58
2014-08-29,106.8,107,106.29,107,699300,107
2014-09-02,107,107.87,106.64,107.01,1317100,107.01
2014-09-03,107.34,108.49,107.34,107.96,1267700,107.96
2014-09-04,106.6,109.22,106.6,108.56,1731700,108.56
2014-09-05,108.67,109.61,108.3,109.55,1808300,109.55
2014-09-08,109.41,109.7,108.17,108.64,1365000,108.64
2014-09-09,108.64,109.2,108.12,108.78,1240100,108.78
2014-09-10,108.87,109.13,107.75,107.99,1485400,107.99
2014-09-11,107.7,108.65,107.54,108.64,888600,108.64
2014-09-12,108.74,108.92,107.56,107.89,867300,107.89
2014-09-15,108.07,108.39,107.32,108.17,889200,108.17
