Stock Quotes for OXY,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,103.77,104.04,102.72,102.8,3314300,102.07
2014-07-02,102.74,102.93,101.28,102.24,5346300,101.51
2014-07-03,102.33,102.75,101.77,102.17,2414700,101.44
2014-07-07,102.27,102.32,101.29,101.59,2880500,100.87
2014-07-08,101.48,102.39,101.32,101.88,2549000,101.16
2014-07-09,102.07,102.29,101.45,101.95,2257800,101.23
2014-07-10,101.11,101.55,99.89,100.41,4825000,99.7
2014-07-11,100.55,100.72,99.73,100.48,3116100,99.77
2014-07-14,100.95,101.39,100.76,101.22,2611800,100.5
2014-07-15,101.3,101.53,99.27,99.52,3802300,98.81
2014-07-16,99.83,101.91,99.83,101.73,3101400,101.01
2014-07-17,101.88,102.17,99.83,99.95,2781900,99.24
2014-07-18,100.03,101.01,99.5,100.93,3388600,100.21
2014-07-21,101.16,101.16,100.03,100.58,2606300,99.87
2014-07-22,100.96,102.01,100.74,101.27,2569600,100.55
2014-07-23,101.25,101.73,100.73,101.6,1693400,100.88
2014-07-24,101.53,101.59,100.35,100.88,2352600,100.16
2014-07-25,100.38,100.93,100,100.09,2590000,99.38
2014-07-28,100.2,100.6,99.5,99.82,2341300,99.11
2014-07-29,99.55,99.94,99.26,99.33,2256400,98.62
2014-07-30,99.76,100.31,98.08,98.11,4248500,97.41
2014-07-31,98.83,99.09,97.48,97.71,5444300,97.02
2014-08-01,97.64,98.93,96.82,97.89,5187600,97.19
2014-08-04,98.76,101.23,98.62,100.75,5124000,100.03
2014-08-05,100.24,100.26,98.41,99.11,4715100,98.41
2014-08-06,98.92,100.55,98.72,99.41,2907800,98.7
2014-08-07,99.55,99.75,97.77,98.29,3263000,97.59
2014-08-08,98.65,99.85,98.36,99.8,3005800,99.09
2014-08-11,100.2,101.05,99.52,99.77,2471600,99.06
2014-08-12,99.4,100.38,99.05,99.81,2980800,99.1
2014-08-13,99.99,100.96,99.19,99.99,2457900,99.28
2014-08-14,100.29,100.82,99.74,99.97,3461800,99.26
2014-08-15,100.03,100.61,99.33,100.46,4278100,99.75
2014-08-18,100.78,100.91,99.49,100.6,2969700,99.89
2014-08-19,101.08,102.11,100.65,101.8,3161900,101.08
2014-08-20,101.36,101.9,100.92,101.74,1919100,101.02
2014-08-21,101.76,102.5,101.54,102.27,2665800,101.54
2014-08-22,102.24,102.82,101.95,102.44,3061200,101.71
2014-08-25,102.89,103.55,102.67,103.28,3188400,102.55
2014-08-26,103.57,103.7,103.1,103.15,2287300,102.42
2014-08-27,103.41,103.68,102.95,103.38,2233600,102.65
2014-08-28,103.24,104.48,103.09,104.01,2809600,103.27
2014-08-29,103.02,104.07,103.02,103.73,2485800,102.99
2014-09-02,103.43,103.69,102.08,102.36,2713600,101.63
2014-09-03,103.17,103.57,102.39,102.45,2978900,101.72
2014-09-04,102.65,103.47,101.91,102.37,3786600,101.64
2014-09-05,102.34,102.58,100.77,101.31,4764000,100.59
2014-09-08,100.25,100.32,98.11,98.55,4971000,98.55
2014-09-09,98.52,99.27,97.79,98.35,4155600,98.35
2014-09-10,98.46,98.6,97.59,98.54,3545700,98.54
2014-09-11,97.86,98.43,97.34,98.35,3145000,98.35
2014-09-12,98,98.13,97.05,97.4,2903700,97.4
2014-09-15,97.1,98.55,96.34,98.29,4380000,98.29
