Stock Quotes for PM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,84.35,84.54,83.87,84.21,6615400,83.23
2014-07-02,84.21,85.1,83.83,84.86,4335400,83.87
2014-07-03,84.76,86.09,84.73,85.69,3562500,84.69
2014-07-07,85.58,86.45,85.46,86.08,4229900,85.08
2014-07-08,86.13,86.66,85.94,86.29,3726100,85.29
2014-07-09,86.51,86.85,85.82,86.03,3188000,85.03
2014-07-10,85.61,86.04,84.88,84.9,5465500,83.91
2014-07-11,85.6,86.08,84.84,85.41,4861300,84.42
2014-07-14,85.92,86.26,85.75,85.95,3470200,84.95
2014-07-15,85.57,85.61,84.48,84.59,5770400,83.61
2014-07-16,84.99,85.55,84.49,84.7,6244300,83.72
2014-07-17,84.58,86.65,84.52,84.55,5932700,83.57
2014-07-18,85.01,86.15,84.9,86.02,4563900,85.02
2014-07-21,85.29,85.78,85.2,85.57,3273300,84.58
2014-07-22,85.66,85.89,85.26,85.38,2741900,84.39
2014-07-23,85.53,85.73,84.97,85.08,2750300,84.09
2014-07-24,85.29,85.78,85.25,85.54,3703000,84.55
2014-07-25,85.32,85.53,84.57,84.85,2715100,83.86
2014-07-28,84.98,84.98,84.1,84.48,3053900,83.5
2014-07-29,84.5,85.38,84.5,84.65,2677200,83.67
2014-07-30,84.72,85.07,83.14,83.19,4670900,82.22
2014-07-31,82.96,82.99,82,82.01,4633400,81.06
2014-08-01,82,82.59,81.72,81.9,3956500,80.95
2014-08-04,81.8,82.33,81.5,82.13,3293400,81.18
2014-08-05,81.85,82.26,81.19,81.58,3710200,80.63
2014-08-06,81.59,83.95,81.59,83.48,5053700,82.51
2014-08-07,83.55,83.9,82.38,82.71,4445100,81.75
2014-08-08,82.8,83.95,82.6,83.84,3809400,82.87
2014-08-11,83.97,84.96,83.75,84.35,3414500,83.37
2014-08-12,84.12,84.26,83.74,84.18,2196300,83.2
2014-08-13,84.44,84.82,84.23,84.47,2360600,83.49
2014-08-14,84.49,84.99,84.47,84.93,1795900,83.94
2014-08-15,85.1,85.17,83.82,84.5,4226900,83.52
2014-08-18,84.71,85.1,84.63,84.99,3080800,84
2014-08-19,85.1,85.47,84.63,85.38,2272800,84.39
2014-08-20,85.21,85.37,84.6,85.09,2441400,84.1
2014-08-21,85.23,85.69,85.12,85.15,2183800,84.16
2014-08-22,84.82,85.23,84.2,84.34,3774400,83.36
2014-08-25,84.93,85.54,84.93,85.19,2858700,84.2
2014-08-26,85.24,85.46,84.83,85.26,2466200,84.27
2014-08-27,85.13,85.29,84.83,85.25,2094300,84.26
2014-08-28,84.92,85.38,84.84,85.26,1797300,84.27
2014-08-29,85.28,85.69,85.04,85.58,2570600,84.59
2014-09-02,85.3,85.9,85.06,85.49,3344100,84.5
2014-09-03,85.85,85.88,85.2,85.4,2448900,84.41
2014-09-04,85.77,85.79,84.79,84.99,3143300,84
2014-09-05,85.06,85.5,84.81,85.45,2782300,84.46
2014-09-08,85.29,85.36,83.92,84,4851400,83.02
2014-09-09,84.1,84.31,83.63,83.83,3892300,82.86
2014-09-10,84.12,84.41,83.81,84.19,3433300,83.21
2014-09-11,84.15,84.56,83.95,84.5,4369800,83.52
2014-09-12,84.71,84.75,83.72,84.02,3585700,83.04
2014-09-15,84.29,84.3,83.88,84.2,3947100,83.22
