Stock Quotes for RTN,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,66.3,66.63,65.69,66.24,2897400,63.64
2013-06-04,66.12,66.64,65.8,66.35,1528500,63.75
2013-06-05,66.14,66.24,65.34,65.5,1386500,62.93
2013-06-06,65.52,66.12,65.06,65.98,1363800,63.39
2013-06-07,66.41,67.49,66.35,67.41,1907400,64.77
2013-06-10,67.44,67.48,66.77,66.95,1467300,64.33
2013-06-11,66.48,67.18,66.22,66.54,1470800,63.93
2013-06-12,67.05,67.3,66.56,66.71,1336800,64.09
2013-06-13,66.69,68.13,66.66,67.67,1873900,65.02
2013-06-14,67.36,67.83,66.97,67.41,1834100,64.77
2013-06-17,68.01,68.49,67.35,67.78,1226900,65.12
2013-06-18,68,68.35,67.7,68.07,1855300,65.4
2013-06-19,68.07,68.07,66.82,66.9,2434700,64.28
2013-06-20,66.59,66.96,66.01,66.11,1925300,63.52
2013-06-21,66.36,66.68,66.04,66.11,2344300,63.52
2013-06-24,65.86,66.21,65.14,65.51,1788600,62.94
2013-06-25,65.96,66.04,65.03,65.32,1453000,62.76
2013-06-26,65.81,66.32,65.22,65.93,2034200,63.35
2013-06-27,66.5,66.79,66.36,66.44,1730500,63.84
2013-06-28,66.35,66.66,65.95,66.12,1958000,63.53
2013-07-01,66,66.44,65.43,66.1,1585300,64.04
2013-07-02,66.05,66.05,64.48,64.82,1939100,62.8
2013-07-03,64.62,65.28,64.53,65.15,753000,63.12
2013-07-05,65.63,66.01,65.15,65.84,1070500,63.79
2013-07-08,66.3,66.96,66.14,66.84,1969400,64.76
2013-07-09,67.28,67.88,66.74,67.44,2054400,65.34
2013-07-10,67.49,68.42,67.49,68.18,1738600,66.06
2013-07-11,68.77,69.49,68.77,69.38,1759800,67.22
2013-07-12,69.3,69.6,68.93,69.47,1647900,67.31
2013-07-15,69.91,70.13,69.68,70.04,1397100,67.86
2013-07-16,70.01,70.09,69.44,69.56,1287800,67.39
2013-07-17,69.69,69.94,69.29,69.46,1268400,67.3
2013-07-18,69.71,69.94,69.42,69.7,1717800,67.53
2013-07-19,69.74,69.84,69.49,69.8,2856200,67.63
2013-07-22,69.78,69.87,69.31,69.37,1470400,67.21
2013-07-23,69.66,69.94,69.35,69.71,2272200,67.54
2013-07-24,70,70.55,69.73,69.75,2035500,67.58
2013-07-25,70.51,70.71,68.86,69.75,2365100,67.58
2013-07-26,69.6,70.4,69.36,70.01,2546700,67.83
2013-07-29,70,71.24,69.86,70.95,3030200,68.74
2013-07-30,71.23,71.55,71.06,71.22,2267700,69
2013-07-31,71.37,72.34,71.32,71.84,2702600,69.6
2013-08-01,72.34,73.83,72.2,73.77,3591600,71.47
2013-08-02,75.48,76.27,74.34,75.65,6525600,73.29
2013-08-05,75.76,76.39,75.01,76.08,3293200,73.71
2013-08-06,75.96,76.08,75.35,75.79,2499300,73.43
2013-08-07,75.75,76.55,75.52,76.38,2589200,74
2013-08-08,76.67,77.15,76.2,76.8,2048700,74.41
2013-08-09,76.88,77.23,76.55,76.98,2177200,74.58
2013-08-12,76.82,76.95,75.91,76.02,1704900,73.65
2013-08-13,75.97,76.98,75.95,76.8,1405000,74.41
2013-08-14,76.62,76.79,76.26,76.4,1541000,74.02
2013-08-15,75.8,76.16,75.28,75.6,1461800,73.25
