Stock Quotes for SBUX,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,63.26,63.54,62.62,63.46,5708800,62.4
2013-06-04,62.61,64.14,62.61,63.33,4311300,62.27
2013-06-05,63.04,63.3,62.31,62.34,4204300,61.3
2013-06-06,62.35,63.06,62.32,63.02,4312700,61.97
2013-06-07,63.41,65.09,63.41,65.04,6876500,63.95
2013-06-10,65.66,66.31,65.48,66.11,6206200,65
2013-06-11,65.47,66.11,65.31,65.42,3948800,64.33
2013-06-12,65.82,66,64.26,64.45,5035000,63.37
2013-06-13,64.54,66.19,64.07,65.97,5954900,64.87
2013-06-14,65.95,66.67,65.45,65.6,4927300,64.5
2013-06-17,66.19,66.56,65.71,66.03,4057900,64.93
2013-06-18,66,67.13,65.95,67.1,3726800,65.98
2013-06-19,67.02,67.48,66.41,66.41,5323600,65.3
2013-06-20,65.82,66.32,65.04,65.22,5803300,64.13
2013-06-21,65.71,65.92,64.23,64.69,7354800,63.61
2013-06-24,64,64.58,63.18,64.01,4956600,62.94
2013-06-25,64.53,65.36,64.44,64.74,4928500,63.66
2013-06-26,65.37,66.71,64.89,65.8,4772900,64.7
2013-06-27,66.27,66.5,65.65,65.69,3148000,64.59
2013-06-28,65.51,66.25,65.4,65.51,5418300,64.41
2013-07-01,66.09,66.49,65.82,66.24,3346100,65.13
2013-07-02,66.24,67.2,66.08,66.79,3382800,65.67
2013-07-03,66.43,67.68,66.4,67.3,2808200,66.17
2013-07-05,67.87,68,66.9,67.72,2594700,66.59
2013-07-08,67.94,68.82,67.88,68.29,4015000,67.15
2013-07-09,68.9,69,67.99,68.13,3730000,66.99
2013-07-10,67.87,68.12,67.45,68.1,4045400,66.96
2013-07-11,68.68,69.52,68.35,69.34,4192900,68.18
2013-07-12,69.24,69.72,68.78,69.72,4853300,68.55
2013-07-15,69.69,69.9,69.53,69.66,3090300,68.49
2013-07-16,69.64,69.72,69.08,69.52,3034100,68.36
2013-07-17,69.74,69.82,67.89,68.2,6073700,67.06
2013-07-18,68.45,69.01,68.04,68.48,4268900,67.33
2013-07-19,68.57,69.11,68.4,68.79,3598500,67.64
2013-07-22,69.08,69.21,68.55,69.02,3279900,67.87
2013-07-23,69.24,69.32,67.45,67.66,4233100,66.53
2013-07-24,68.12,68.43,66.3,66.61,7017100,65.5
2013-07-25,66.94,68.3,66.73,68.17,7989200,67.03
2013-07-26,72.6,73.52,71.85,73.36,16146700,72.13
2013-07-29,72.75,73.08,72.1,72.45,6400400,71.24
2013-07-30,72.9,72.98,71.71,71.93,4904400,70.73
2013-07-31,72.14,72.5,71.22,71.29,5624200,70.1
2013-08-01,72.27,73.73,72.08,73.48,6427300,72.25
