Stock Quotes for SLB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,73.19,73.53,72.74,73.25,8164000,71.85
2013-06-04,73.14,73.56,72.57,72.85,9450800,71.46
2013-06-05,72.6,73.11,72.1,72.18,7499400,70.8
2013-06-06,72.12,73.3,71.8,73.3,7292900,71.9
2013-06-07,74.04,74.35,73.29,73.93,6703700,72.52
2013-06-10,74.11,74.39,73.11,73.3,6263700,71.9
2013-06-11,72.37,72.61,71.31,71.44,8572800,70.07
2013-06-12,72.14,72.19,70.88,70.95,6256100,69.59
2013-06-13,71.11,72.57,71,72.46,6800300,71.07
2013-06-14,72.51,72.68,71.55,71.6,4937500,70.23
2013-06-17,72.4,73.43,72.4,73.1,5376400,71.7
2013-06-18,73.18,74.6,73.06,74.16,5682300,72.74
2013-06-19,74.26,74.79,73.4,73.4,6332400,72
2013-06-20,72.61,72.82,71.81,72.14,8916000,70.76
2013-06-21,72.78,73.13,71.81,72.83,9785400,71.44
2013-06-24,71.84,71.98,70.25,71.24,7984300,69.88
2013-06-25,72.04,72.99,71.87,72.09,6693400,70.71
2013-06-26,72.62,72.73,71.61,71.81,5199700,70.44
2013-06-27,72.12,72.54,71.85,71.93,5951000,70.55
2013-06-28,71.81,72.28,71.6,71.66,7497100,70.29
2013-07-01,72.19,73.34,71.95,72.78,6432900,71.39
2013-07-02,73.31,73.31,72.25,72.61,4931300,71.22
2013-07-03,72.49,73.14,71.84,73.01,3147100,71.61
2013-07-05,73.42,74.38,72.98,74.09,3992100,72.67
2013-07-08,74.62,75.22,74.31,74.79,5457700,73.36
2013-07-09,75.23,76.79,75.23,76.54,7159600,75.08
2013-07-10,76.37,76.54,75.96,76.18,4594000,74.72
2013-07-11,77.08,77.22,76.01,76.63,4889800,75.16
2013-07-12,76.42,76.88,76.34,76.84,4254400,75.37
2013-07-15,76.84,77.31,76.39,77.02,3927800,75.55
2013-07-16,77.19,77.53,75.94,76.52,6037200,75.06
2013-07-17,76.76,77.77,76.76,77.61,6667600,76.12
2013-07-18,77.76,78.85,77.76,78.48,6141300,76.98
2013-07-19,81.21,83.55,80.89,82.74,17430400,81.16
2013-07-22,82.36,85.02,82.22,83.81,11197700,82.21
2013-07-23,83.86,84.47,83.4,83.57,6866900,81.97
2013-07-24,83.73,83.8,82.33,82.85,5378100,81.26
2013-07-25,82.52,83.28,82.02,82.57,5837900,80.99
2013-07-26,82.27,82.27,81.15,81.91,5040600,80.34
2013-07-29,81.11,81.52,80.8,81.15,4867300,79.6
2013-07-30,81.48,81.88,81.24,81.43,5142600,79.87
2013-07-31,81.99,82.13,81.11,81.33,5034500,79.77
2013-08-01,82.35,83.7,82.35,83.55,7005700,81.95
2013-08-02,83.49,83.59,82.55,82.89,5881400,81.3
2013-08-05,82.87,83.01,81.95,82.89,4036200,81.3
2013-08-06,82.73,82.96,82.1,82.22,5372400,80.65
2013-08-07,81.64,81.8,80.41,81.05,7098700,79.5
2013-08-08,81.57,82.03,81.12,81.23,3996900,79.68
2013-08-09,81.14,81.53,80.26,80.49,4523100,78.95
2013-08-12,80.03,80.73,79.8,80.25,4988700,78.71
2013-08-13,80.67,82.5,80.58,82.22,7282400,80.65
2013-08-14,82.3,82.74,81.99,82.16,4401200,80.59
2013-08-15,81.62,82.32,81.48,81.99,4601100,80.42
2013-08-16,81.92,82.33,81.72,81.92,4754300,80.35
2013-08-19,81.26,81.9,80.3,80.41,4684300,78.87
2013-08-20,80.47,81.18,80.15,80.62,3642200,79.08
2013-08-21,80.26,80.93,80,80.05,4118100,78.52
2013-08-22,80.77,82.64,80.51,82.21,4504300,80.64
2013-08-23,82.51,82.51,81.35,81.67,5122500,80.11
2013-08-26,81.83,82.52,81.74,81.9,4677000,80.33
2013-08-27,81.1,82.13,80.92,81.17,4422500,79.62
2013-08-28,81.4,83.33,81.24,82.68,5511700,81.1
2013-08-29,82.7,82.91,81.48,81.6,4834400,80.04
2013-08-30,81.56,81.6,80.68,80.94,4455500,79.7
2013-09-03,81.69,82.83,81.68,82.42,5299300,81.15
2013-09-04,82.11,83.49,81.86,82.86,5521100,81.59
2013-09-05,83.23,84.55,83,84.22,8640500,82.93
2013-09-06,84.72,85.92,83.72,85.14,9117100,83.83
2013-09-09,85.18,86.75,85.18,86.45,5954500,85.12
2013-09-10,86.15,86.9,85.46,86.9,10257200,85.57
2013-09-11,86.81,87.11,86.19,87.05,5414000,85.71
2013-09-12,86.85,87.18,86,86.58,5860700,85.25
2013-09-13,86.47,86.91,86.08,86.72,3874800,85.39
2013-09-16,87.36,87.61,86.59,87,4213300,85.66
2013-09-17,86.96,88.22,86.66,87.74,6074500,86.39
2013-09-18,87.64,89.48,86.94,88.95,6756500,87.58
2013-09-19,88.84,89.72,88.72,88.79,6010200,87.43
2013-09-20,89.08,89.28,87.44,87.44,8555600,86.1
2013-09-23,87.16,87.86,87.03,87.04,5480900,85.7
2013-09-24,87.42,88.52,86.57,87.91,5688300,86.56
2013-09-25,87.83,89.24,87.51,88.57,8082500,87.21
2013-09-26,88.77,89.25,88.43,88.83,5042900,87.47
2013-09-27,88.31,89.1,88.12,88.82,4980100,87.46
2013-09-30,87.49,88.88,87.16,88.36,5597200,87
2013-10-01,87.99,89.59,87.98,89.05,5580200,87.68
2013-10-02,89,89.9,88.75,89.85,7487100,88.47
2013-10-03,89.63,89.98,89,89.44,6618300,88.07
2013-10-04,89.56,90.47,89,90.01,3983600,88.63
2013-10-07,89.28,90.1,89.01,89.29,4570100,87.92
2013-10-08,89.33,89.41,87.84,87.95,5902800,86.6
2013-10-09,87.95,88.08,86.3,87.04,6185100,85.7
2013-10-10,87.97,89.44,87.9,89.42,6081800,88.05
2013-10-11,89.05,90.29,88.52,90.02,5335400,88.64
2013-10-14,89.33,91.3,89.24,91.17,5475000,89.77
2013-10-15,90.54,91.26,89.63,90.54,6370800,89.15
2013-10-16,90.93,92.4,90.85,92.18,9084500,90.76
2013-10-17,91.83,91.85,90.71,91.43,8871400,90.03
2013-10-18,93.1,94.88,92.99,93.99,11240000,92.55
2013-10-21,94.12,94.91,92.91,93.48,7325900,92.04
2013-10-22,93.39,94.9,93.29,94.46,7692500,93.01
2013-10-23,93.67,93.75,92.62,92.84,7718600,91.41
2013-10-24,92.81,93.45,92.31,92.85,4376500,91.42
2013-10-25,92.47,93.28,92.41,92.9,4697700,91.47
2013-10-28,92.71,93.14,92.12,92.85,4936700,91.42
2013-10-29,93.24,94.01,92.89,94,4078100,92.56
2013-10-30,94.43,94.77,93.36,93.88,5615900,92.44
2013-10-31,93.88,94.45,93.27,93.72,5305400,92.28
2013-11-01,93.95,94.1,92.13,93,5907400,91.57
2013-11-04,93.4,93.72,92.83,93.51,3841400,92.07
2013-11-05,92.97,93.11,91.86,92.39,4892700,90.97
2013-11-06,93.07,93.88,92.6,93.23,4244300,91.8
2013-11-07,93.65,93.79,91.84,92.05,5349000,90.64
2013-11-08,91.87,93.89,91.81,93.79,6832400,92.35
2013-11-11,93.78,94.81,93.51,93.87,3847200,92.43
2013-11-12,93.47,93.57,91.29,91.99,6598400,90.58
2013-11-13,91.66,93.1,90.78,93.08,6008000,91.65
2013-11-14,93.18,93.5,92.67,93.31,4226700,91.88
2013-11-15,93.39,93.87,92.33,92.98,5056400,91.55
2013-11-18,93.21,93.3,91.63,92.02,4352100,90.61
2013-11-19,91.67,92.2,90.57,91.28,6261800,89.88
2013-11-20,91.94,91.97,90.31,90.45,5554300,89.06
2013-11-21,90.81,91.14,90.39,91.01,5774700,89.61
2013-11-22,91.31,92.79,91,92.73,5274000,91.31
2013-11-25,92.46,92.7,89.5,89.81,7255000,88.43
2013-11-26,89.87,90.01,88.9,89.46,6987200,88.09
2013-11-27,89.32,89.49,86.79,87.95,8571100,86.6
2013-11-29,88.13,89.66,87.68,88.42,4093900,87.06
2013-12-02,88.64,88.99,87.34,87.6,4653800,86.56
2013-12-03,87.16,88.1,86.38,87.64,5831900,86.6
2013-12-04,87.37,87.9,86.5,87.28,6694500,86.24
2013-12-05,86.74,87.91,86.56,86.87,5986200,85.84
2013-12-06,88.1,88.53,87.77,88.15,6102400,87.1
2013-12-09,88.52,88.52,86.94,88.03,5066900,86.99
2013-12-10,87.7,88.1,86.85,87.01,4867100,85.98
