Stock Quotes for SO,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,43.99,44.43,43.25,44.09,6858800,41.55
2013-06-04,44.01,44.2,43.68,43.95,4301200,41.41
2013-06-05,43.86,43.93,43.56,43.69,4568300,41.17
2013-06-06,43.85,44.54,43.7,44.43,6556700,41.87
2013-06-07,44.56,44.86,44.18,44.44,6141000,41.88
2013-06-10,44.47,44.62,44.18,44.4,3525300,41.84
2013-06-11,44.2,44.61,44.07,44.26,3773700,41.71
2013-06-12,44.46,44.59,43.8,43.92,3768700,41.39
2013-06-13,43.91,44.66,43.78,44.65,4084300,42.07
2013-06-14,44.59,44.76,44.38,44.49,4414300,41.92
2013-06-17,44.75,45.06,44.38,44.52,3550700,41.95
2013-06-18,44.63,44.89,44.45,44.75,3507100,42.17
2013-06-19,44.74,44.75,43.56,43.57,4637700,41.06
2013-06-20,43.42,43.53,42.32,42.48,6965400,40.03
2013-06-21,43.15,43.59,42.33,43.1,9914300,40.61
2013-06-24,42.84,43.33,42.47,42.94,4379300,40.46
2013-06-25,43.13,43.82,42.91,43.56,5035900,41.05
2013-06-26,43.8,44.17,43.68,44.03,3435000,41.49
2013-06-27,44.15,44.49,43.94,44,2884300,41.46
2013-06-28,43.78,44.23,43.52,44.13,4859700,41.58
2013-07-01,44.24,44.44,43.65,43.81,4845500,41.28
2013-07-02,43.61,43.9,43.47,43.61,4468000,41.09
2013-07-03,43.45,43.52,43.27,43.4,2318000,40.9
2013-07-05,43.51,43.57,42.93,43.14,5048600,40.65
2013-07-08,43.39,43.9,43.22,43.85,3633800,41.32
2013-07-09,43.97,44.16,43.77,44.12,3055000,41.57
2013-07-10,44.07,44.28,43.85,44.23,2776700,41.68
2013-07-11,44.84,44.99,44.52,44.96,3517600,42.37
2013-07-12,44.95,45.03,44.63,44.99,3660400,42.39
2013-07-15,44.98,45.71,44.86,45.55,3737200,42.92
2013-07-16,45.59,45.66,45.16,45.25,3691100,42.64
2013-07-17,45.5,45.52,45.01,45.26,3792100,42.65
2013-07-18,45.43,45.75,45.28,45.62,2965900,42.99
2013-07-19,45.62,45.71,45.37,45.56,2640800,42.93
2013-07-22,45.51,45.65,45.41,45.51,2918600,42.88
2013-07-23,45.56,45.69,45.41,45.62,2004600,42.99
2013-07-24,45.59,45.59,44.83,45.04,2469500,42.44
2013-07-25,44.93,45.18,44.85,45.14,12347200,42.53
2013-07-26,44.93,45.37,44.8,45.34,13119600,42.72
2013-07-29,45.22,45.56,45.15,45.4,11789600,42.78
2013-07-30,45.58,45.75,45.24,45.42,3727400,42.8
