Stock Quotes for SPG,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,166.87,167.51,165.31,166.88,1093100,165.58
2014-07-02,166.7,166.9,165.45,166.74,900200,165.44
2014-07-03,166.68,166.68,164.94,166.13,831400,164.84
2014-07-07,166.13,166.81,165.8,166.48,1324700,165.19
2014-07-08,165.95,167.69,165.86,166.71,1183300,165.41
2014-07-09,165.96,167.87,165.07,167.66,1360000,166.36
2014-07-10,166.53,169.13,166.53,168.22,1026800,166.91
2014-07-11,167.97,169.08,167.55,168.99,837700,167.68
2014-07-14,169.1,169.59,168.4,169.41,982100,168.09
2014-07-15,169.45,170.39,168.84,170.27,1160400,168.95
2014-07-16,170.25,170.98,169.62,170.86,1264400,169.53
2014-07-17,170.19,170.93,169.44,169.61,683600,168.29
2014-07-18,170.29,171.27,169.68,171.03,866700,169.7
2014-07-21,170.8,170.8,169.62,170.41,913900,169.08
2014-07-22,170.03,172.01,170.03,171.33,1491100,170
2014-07-23,171.35,172.72,168.74,170.42,1873000,169.09
2014-07-24,170.88,171.31,169.28,171.31,1479500,169.98
2014-07-25,170.69,171.11,168.55,168.97,1140900,167.66
2014-07-28,169,171,168.81,170.47,820500,169.14
2014-07-29,170.21,171.01,169.63,170.1,979900,168.78
2014-07-30,170.09,171.01,169,170.16,1217400,168.84
2014-07-31,169.24,169.96,168.13,168.19,1293300,166.88
2014-08-01,166.13,169.36,165.82,167.67,1428500,166.37
2014-08-04,168.14,168.93,167.07,168.38,1228000,167.07
2014-08-05,168.2,168.29,165.98,166.36,1440500,165.07
2014-08-06,166.03,166.77,165.16,165.3,1569500,164.01
2014-08-07,165.58,166.76,165.02,165.27,1721300,163.98
2014-08-08,166.22,166.74,165.14,166.28,1628600,164.99
2014-08-11,166.63,168.38,166.3,168.04,1097900,166.73
2014-08-12,168.05,168.26,167.12,167.13,1250900,165.83
2014-08-13,166.45,168.52,166.45,168.52,1455900,168.52
2014-08-14,169.13,169.28,167.37,168.25,1189200,168.25
2014-08-15,169.09,169.41,167.77,168.85,2295400,168.85
2014-08-18,169.09,170.42,168.98,170.24,1020200,170.24
2014-08-19,170.2,170.36,169.31,169.87,998300,169.87
2014-08-20,169.8,171,168.77,170.52,794000,170.52
2014-08-21,170.96,171.49,170.29,170.46,865100,170.46
2014-08-22,170.19,170.86,169.27,169.42,1112400,169.42
2014-08-25,169.9,170.27,168.79,169.21,943900,169.21
2014-08-26,168.87,170.28,168.55,169.25,818700,169.25
2014-08-27,169.25,169.76,168.75,169.51,639500,169.51
2014-08-28,169.08,169.67,168.65,168.98,725700,168.98
2014-08-29,169.6,170.43,168.98,170.03,1641300,170.03
2014-09-02,170.62,170.74,169.63,170.12,940800,170.12
2014-09-03,170.53,172.21,169.68,170.79,829900,170.79
2014-09-04,170.76,172.07,169.86,170.3,1066000,170.3
2014-09-05,170.81,173.31,170.59,173.18,1410000,173.18
2014-09-08,172.86,173.23,172.12,172.39,877600,172.39
2014-09-09,172.05,172.96,171.62,172.44,1089500,172.44
2014-09-10,172.11,172.77,170.05,170.43,1368900,170.43
2014-09-11,170.3,170.99,169.33,169.92,1193500,169.92
2014-09-12,169.49,169.54,164.2,165.5,2819600,165.5
2014-09-15,165.52,166.23,164.44,165.54,1538200,165.54
