Stock Quotes for T,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,34.99,35.21,34.58,35.07,29759400,32.86
2013-06-04,35.19,35.87,35.15,35.67,40467000,33.42
2013-06-05,35.66,35.72,35.25,35.26,22863800,33.04
2013-06-06,35.21,35.86,35.1,35.81,23058700,33.55
2013-06-07,35.97,36.05,35.38,35.45,26049300,33.22
2013-06-10,35.87,36.11,35.69,35.99,21852200,33.72
2013-06-11,35.86,36.2,35.72,35.76,26002900,33.51
2013-06-12,36,36.14,35.57,35.62,16955600,33.37
2013-06-13,35.61,36.39,35.61,36.3,20142600,34.01
2013-06-14,36.2,36.31,35.89,35.91,23972700,33.65
2013-06-17,36.07,36.14,35.48,35.76,23364400,33.51
2013-06-18,35.83,36.35,35.79,36.17,15357900,33.89
2013-06-19,36.06,36.14,35.25,35.25,24464500,33.03
2013-06-20,35,35.2,34.32,34.35,31797500,32.18
2013-06-21,34.55,34.73,34.1,34.47,97444100,32.3
2013-06-24,34.31,34.85,34.13,34.46,71219500,32.29
2013-06-25,34.69,35.21,34.54,35.03,67155500,32.82
2013-06-26,35.42,35.49,35.09,35.33,21911600,33.1
2013-06-27,35.53,35.95,35.5,35.63,18251500,33.38
2013-06-28,35.55,35.69,35.31,35.4,23913900,33.17
2013-07-01,35.4,35.68,35.19,35.3,19903400,33.07
2013-07-02,35.29,35.8,35.15,35.53,18634900,33.29
2013-07-03,35.47,35.74,35.2,35.62,11600000,33.37
2013-07-05,35.8,35.9,35.25,35.83,17139100,33.57
2013-07-08,35.62,35.69,35.39,35.58,15853600,33.76
2013-07-09,35.77,35.83,35.54,35.6,14487500,33.78
2013-07-10,35.59,35.68,35.25,35.39,17837100,33.58
2013-07-11,35.75,36.01,35.68,35.87,23075400,34.04
2013-07-12,35.88,35.91,35.56,35.81,19065700,33.98
2013-07-15,35.68,35.76,35.26,35.55,17175600,33.73
2013-07-16,35.62,35.9,35.6,35.88,17601900,34.05
2013-07-17,35.96,36.31,35.9,35.96,16805500,34.12
2013-07-18,35.86,35.99,35.61,35.74,19576400,33.91
2013-07-19,35.83,35.85,35.52,35.81,21153500,33.98
2013-07-22,35.77,35.89,35.54,35.58,19201200,33.76
2013-07-23,35.75,35.95,35.5,35.81,22951700,33.98
2013-07-24,35.39,35.5,34.93,35.4,30938800,33.59
2013-07-25,35.18,35.57,35.16,35.46,22083700,33.65
2013-07-26,35.41,35.7,35.31,35.6,14157900,33.78
2013-07-29,35.64,36,35.57,35.88,16625400,34.05
2013-07-30,36,36.07,35.41,35.42,19091300,33.61
2013-07-31,35.43,35.58,35.22,35.27,21326100,33.47
2013-08-01,35.65,35.82,35.37,35.72,18436200,33.89
2013-08-02,35.6,35.78,35.51,35.77,21751400,33.94
2013-08-05,35.7,35.85,35.57,35.67,10239000,33.85
2013-08-06,35.62,35.66,35.41,35.48,12804200,33.67
2013-08-07,35.42,35.73,35.42,35.59,13290600,33.77
2013-08-08,35.66,35.72,35.12,35.29,17956300,33.49
2013-08-09,35.26,35.31,34.75,34.8,21541600,33.02
2013-08-12,34.75,34.97,34.73,34.92,15988300,33.13
2013-08-13,34.95,34.99,34.57,34.72,16207800,32.95
2013-08-14,34.76,34.79,34.51,34.77,17403800,32.99
2013-08-15,34.6,34.71,34.35,34.35,17793700,32.59
2013-08-16,34.27,34.38,33.91,34.18,24561800,32.43
2013-08-19,34.1,34.18,33.63,33.79,21122800,32.06
2013-08-20,33.85,34.09,33.78,33.87,16153300,32.14
2013-08-21,33.8,33.85,33.46,33.48,20549500,31.77
2013-08-22,33.5,34,33.19,33.82,25915800,32.09
2013-08-23,33.81,34.33,33.75,34.29,29728700,32.54
2013-08-26,34.31,34.41,33.8,33.82,13925200,32.09
2013-08-27,33.57,34.06,33.53,33.69,18669800,31.97
2013-08-28,33.7,33.84,33.58,33.58,16659000,31.86
2013-08-29,33.64,34.06,33.61,33.65,22239100,31.93
2013-08-30,33.65,33.89,33.57,33.83,20389100,32.1
2013-09-03,34.01,34.11,33.24,33.32,30766900,31.62
2013-09-04,33.22,33.75,33.21,33.74,18719300,32.02
2013-09-05,33.77,33.92,33.27,33.34,19837600,31.64
2013-09-06,33.5,33.58,33.23,33.41,19689900,31.7
2013-09-09,33.47,33.72,33.25,33.63,18992500,31.91
2013-09-10,33.88,34.1,33.75,33.97,27691300,32.23
2013-09-11,33.98,34.25,33.87,33.97,21088000,32.23
2013-09-12,33.94,34.45,33.94,34.38,24637200,32.62
2013-09-13,34.51,34.73,34.21,34.32,14228600,32.57
2013-09-16,34.57,34.73,34.36,34.57,15869100,32.8
2013-09-17,34.59,34.85,34.55,34.75,17798800,32.97
2013-09-18,34.73,35.01,34.31,34.95,22818400,33.16
2013-09-19,34.95,34.95,34.68,34.81,15692200,33.03
2013-09-20,34.82,34.85,34.2,34.31,36732100,32.56
2013-09-23,34.4,34.4,33.71,34.22,23220100,32.47
2013-09-24,34.1,34.29,34.01,34.09,19233000,32.35
2013-09-25,34.11,34.37,33.95,34.05,19111300,32.31
2013-09-26,34.17,34.43,34.09,34.23,16494200,32.48
2013-09-27,34.11,34.15,33.82,33.98,13997900,32.24
